entry,pair,workload,variant,mode,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness
sieve-noopt,sieve,Sieve,baseline,noopt,process,recorded,1,23298000,0,pass
sieve-opt,sieve,Sieve,candidate,opt,process,recorded,1,23038000,0,pass
permute-noopt,permute,Permute,baseline,noopt,process,recorded,1,53010000,0,pass
permute-opt,permute,Permute,candidate,opt,process,recorded,1,85976000,0,pass
mandelbrot-noopt,mandelbrot,Mandelbrot,baseline,noopt,process,recorded,1,154007000,0,pass
mandelbrot-opt,mandelbrot,Mandelbrot,candidate,opt,process,recorded,1,152287000,0,pass
towers-noopt,towers,Towers,baseline,noopt,process,recorded,1,323770000,0,pass
towers-opt,towers,Towers,candidate,opt,process,recorded,1,687815000,0,pass
bounce-noopt,bounce,Bounce,baseline,noopt,process,recorded,1,305952000,0,pass
bounce-opt,bounce,Bounce,candidate,opt,process,recorded,1,339655000,0,pass
storage-noopt,storage,Storage,baseline,noopt,process,recorded,1,810494000,0,pass
storage-opt,storage,Storage,candidate,opt,process,recorded,1,1782604000,0,pass
list-noopt,list,List,baseline,noopt,process,recorded,1,184325000,0,pass
list-opt,list,List,candidate,opt,process,recorded,1,186077000,0,pass
richards-noopt,richards,Richards,baseline,noopt,process,recorded,1,44894000,0,pass
richards-opt,richards,Richards,candidate,opt,process,recorded,1,589190000,0,pass
json-noopt,json,JSON,baseline,noopt,process,recorded,1,257703000,0,pass
json-opt,json,JSON,candidate,opt,process,recorded,1,256986000,0,pass
base64-noopt,base64,Base64,baseline,noopt,process,recorded,1,388998000,0,pass
base64-opt,base64,Base64,candidate,opt,process,recorded,1,367546000,0,pass
rexxcps-noopt,rexxcps,RexxCPS,baseline,noopt,process,recorded,1,1042987000,0,pass
rexxcps-opt,rexxcps,RexxCPS,candidate,opt,process,recorded,1,973993000,0,pass
