rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1000000,2,1,6,over_3_symbols,"IADD_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r3) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R5;r2=R3;r3=R4;r4=R2;r5=R10;c1=int:1","benchmark_awfy_bounce_noopt",426
2,1000000,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r3,r4,r1) | UNLINK_REG(r1) | UNLINK_REG(r4)","r1=R4;r2=R10;c1=int:2;r3=R5;r4=R3","benchmark_awfy_bounce_noopt",422
3,1000000,2,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | BRF_ID_REG(c3,r3)","r1=R5;r2=R10;c1=int:1;r3=R4;c2=int:500;c3=label@537","benchmark_awfy_bounce_noopt",468
4,1000000,2,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ILT_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | BRF_ID_REG(c3,r3)","r1=R8;r2=R10;c1=int:1;r3=R7;c2=int:0;c3=label@597","benchmark_awfy_bounce_noopt",537
5,1000000,2,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | IADD_REG_REG_REG(r4,r1,r3) | UNLINK_REG(r3)","r1=R3;r2=R10;c1=int:1;r3=R4;c2=int:2;r4=R5","benchmark_awfy_bounce_noopt",418
6,1000000,2,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r2,r4) | UNLINK_REG(r2)","r1=R3;r2=R2;r3=R10;c1=int:1;r4=R5","benchmark_awfy_bounce_noopt",432
7,1000000,2,1,6,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r3,r5)","r1=R4;r2=R3;r3=R2;r4=R10;c1=int:1;r5=R5","benchmark_awfy_bounce_noopt",430
8,692901,8,2,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_bounce_noopt",0
9,571300,3,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r4,r2,c2)","r1=R2;r2=R10;c1=int:1;r3=R5;r4=R4;c2=int:3","benchmark_awfy_bounce_noopt",434
10,550301,7,1,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2) | SETNUMSTD_INT(c2)","c1=int:0;c2=int:1","benchmark_awfy_bounce_noopt",2
11,540100,3,1,4,over_3_symbols,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","r1=R5;c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_bounce_noopt",211
