workload,vm,entry,rank,procedure,module,kind,calls,total_ns,average_ns
sieve,rxvm,noopt,1,awfy_sieve.sieve_once,benchmark_awfy_sieve_noopt,procedure,50,0,0
sieve,rxvm,noopt,2,awfy_sieve.main,benchmark_awfy_sieve_noopt,procedure,1,0,0
sieve,rxvm,opt,1,awfy_sieve.main,benchmark_awfy_sieve_opt,procedure,1,0,0
permute,rxvm,noopt,1,awfy_permute.permutebenchmark.swap,benchmark_awfy_permute_noopt,method,503900,0,0
permute,rxvm,noopt,2,awfy_permute.permutebenchmark.permute,benchmark_awfy_permute_noopt,method,433000,0,0
permute,rxvm,noopt,3,awfy_permute.permutebenchmark.run,benchmark_awfy_permute_noopt,method,50,0,0
permute,rxvm,noopt,4,awfy_permute.permutebenchmark.§factory,benchmark_awfy_permute_noopt,factory,50,0,0
permute,rxvm,noopt,5,awfy_permute.main,benchmark_awfy_permute_noopt,procedure,1,0,0
permute,rxvm,opt,1,awfy_permute.permutebenchmark.permute,benchmark_awfy_permute_opt,method,432950,0,0
permute,rxvm,opt,2,awfy_permute.main,benchmark_awfy_permute_opt,procedure,1,0,0
bounce,rxvm,noopt,1,awfy_bounce.bounceball.bounce,benchmark_awfy_bounce_noopt,method,500000,0,0
bounce,rxvm,noopt,2,rxfnsb.intabs,intabs,procedure,142600,0,0
bounce,rxvm,noopt,3,awfy_bounce.awfyrandom.next,benchmark_awfy_bounce_noopt,method,40000,0,0
bounce,rxvm,noopt,4,awfy_bounce.bounceball.§factory,benchmark_awfy_bounce_noopt,factory,10000,0,0
bounce,rxvm,noopt,5,awfy_bounce.awfyrandom.§factory,benchmark_awfy_bounce_noopt,factory,100,0,0
bounce,rxvm,opt,1,awfy_bounce.bounceball.§factory,benchmark_awfy_bounce_opt,factory,10000,0,0
bounce,rxvm,opt,2,awfy_bounce.bouncebenchmark.run,benchmark_awfy_bounce_opt,method,100,0,0
bounce,rxvm,opt,3,awfy_bounce.main,benchmark_awfy_bounce_opt,procedure,1,0,0
richards,rxvm,noopt,1,awfy_richards.richardsscheduler.isholdingorwaiting,benchmark_awfy_richards_noopt,method,106604,0,0
richards,rxvm,noopt,2,awfy_richards.richardsscheduler.iswaitingwithpacket,benchmark_awfy_richards_noopt,method,65790,0,0
richards,rxvm,noopt,3,awfy_richards.richardsscheduler.runtask,benchmark_awfy_richards_noopt,method,65790,0,0
richards,rxvm,noopt,4,awfy_richards.richardsscheduler.findtask,benchmark_awfy_richards_noopt,method,33245,0,0
richards,rxvm,noopt,5,awfy_richards.richardsscheduler.rundevice,benchmark_awfy_richards_noopt,method,27884,0,0
richards,rxvm,opt,1,awfy_richards.richardsscheduler.runtask,benchmark_awfy_richards_opt,method,65790,0,0
richards,rxvm,opt,2,awfy_richards.richardsscheduler.queuepacket,benchmark_awfy_richards_opt,method,23246,0,0
richards,rxvm,opt,3,awfy_richards.richardsscheduler.appendpacket,benchmark_awfy_richards_opt,method,20114,0,0
richards,rxvm,opt,4,awfy_richards.richardsscheduler.release,benchmark_awfy_richards_opt,method,9999,0,0
richards,rxvm,opt,5,awfy_richards.richardsscheduler.createpacket,benchmark_awfy_richards_opt,method,3,0,0
base64,rxvm,noopt,1,rxfnsb.substr,substr,procedure,685000,0,0
base64,rxvm,noopt,2,base64_roundtrip.base64_digit,benchmark_base64_roundtrip_noopt,procedure,683000,0,0
base64,rxvm,noopt,3,rxfnsb.pos,pos,procedure,683000,0,0
base64,rxvm,noopt,4,rxfnsb.binresize,binary,procedure,1001,0,0
base64,rxvm,noopt,5,rxfnsb.length,length,procedure,502,0,0
base64,rxvm,opt,1,base64_roundtrip.base64_decode,benchmark_base64_roundtrip_opt,procedure,500,0,0
base64,rxvm,opt,2,base64_roundtrip.main,benchmark_base64_roundtrip_opt,procedure,1,0,0
rexxcps,rxvm,noopt,1,rxfnsb.upper,upper,procedure,201600,0,0
