workload,vm,entry,rank,opcode,count,total_ns,average_ns
sieve,rxvm,noopt,1,BRT_ID_REG,1087001,0,0
sieve,rxvm,noopt,2,IGT_REG_REG_REG,1087001,0,0
sieve,rxvm,noopt,3,BR_ID,1053451,0,0
sieve,rxvm,noopt,4,ISETUNLINK_REG_REG,803450,0,0
sieve,rxvm,noopt,5,SETLINKILOAD_REG_REG_INT_REG_REG_INT,803450,0,0
sieve,rxvm,opt,1,IGT_REG_REG_REG,1087001,0,0
sieve,rxvm,opt,2,ISETUNLINK_REG_REG,803450,0,0
sieve,rxvm,opt,3,SETLINKILOAD_REG_REG_INT_REG_REG_INT,803450,0,0
sieve,rxvm,opt,4,BLT_ID_REG_INT,586900,0,0
sieve,rxvm,opt,5,BRTF_ID_ID_REG,586900,0,0
permute,rxvm,noopt,1,LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT,2015600,0,0
permute,rxvm,noopt,2,UNLINK_REG,1440800,0,0
permute,rxvm,noopt,3,IGETUNLINK_REG_REG,1007801,0,0
permute,rxvm,noopt,4,NUMSCI_INT_INT_INT,937001,0,0
permute,rxvm,noopt,5,ASSERTINITIALIZED_REG,936950,0,0
permute,rxvm,opt,1,LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT,2014400,0,0
permute,rxvm,opt,2,UNLINK_REG,1440800,0,0
permute,rxvm,opt,3,COPY_REG_REG,1008001,0,0
permute,rxvm,opt,4,IGETUNLINK_REG_REG,1007851,0,0
permute,rxvm,opt,5,ISETUNLINKN_REG_REG_REG,503900,0,0
bounce,rxvm,noopt,1,LINKATTR1_REG_REG_INT,4222600,0,0
bounce,rxvm,noopt,2,UNLINK_REG,3207600,0,0
bounce,rxvm,noopt,3,BRF_ID_REG,2642702,0,0
bounce,rxvm,noopt,4,ISETATTR1_REG_INT_REG,1365300,0,0
bounce,rxvm,noopt,5,ILT_REG_REG_INT,1000001,0,0
bounce,rxvm,opt,1,LINKATTR1_REG_REG_INT,4222600,0,0
bounce,rxvm,opt,2,UNLINK_REG,3065000,0,0
bounce,rxvm,opt,3,BRF_ID_REG,2142702,0,0
bounce,rxvm,opt,4,ISETATTR1_REG_INT_REG,1365300,0,0
bounce,rxvm,opt,5,ICOPY_REG_REG,1142600,0,0
richards,rxvm,noopt,1,BRF_ID_REG,1266713,0,0
richards,rxvm,noopt,2,LINKATTR1_REG_REG_INT,924233,0,0
richards,rxvm,noopt,3,LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT,769814,0,0
richards,rxvm,noopt,4,UNLINK_REG,714609,0,0
richards,rxvm,noopt,5,IEQ_REG_REG_INT,595811,0,0
richards,rxvm,opt,1,BRF_ID_REG,1183583,0,0
richards,rxvm,opt,2,LINKATTR1_REG_REG_INT,924267,0,0
richards,rxvm,opt,3,LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT,769796,0,0
richards,rxvm,opt,4,UNLINK_REG,617306,0,0
richards,rxvm,opt,5,IEQ_REG_REG_INT,595811,0,0
base64,rxvm,noopt,1,BRF_ID_REG,9583006,0,0
base64,rxvm,noopt,2,SETTP_REG_INT,5471002,0,0
base64,rxvm,noopt,3,LOAD_REG_INT,4797519,0,0
base64,rxvm,noopt,4,SWAP_REG_REG,4449008,0,0
base64,rxvm,noopt,5,BRTPANDT_ID_REG_INT,2738001,0,0
base64,rxvm,opt,1,BRF_ID_REG,6847007,0,0
base64,rxvm,opt,2,LOAD_REG_INT,3427515,0,0
base64,rxvm,opt,3,SCOPY_REG_REG,2907503,0,0
base64,rxvm,opt,4,IADD_REG_REG_INT,2736524,0,0
base64,rxvm,opt,5,BR_ID,2734005,0,0
rexxcps,rxvm,noopt,1,BRF_ID_REG,3020192,0,0
rexxcps,rxvm,noopt,2,LOAD_REG_INT,2735460,0,0
rexxcps,rxvm,noopt,3,NULL_REG,2167654,0,0
rexxcps,rxvm,noopt,4,SCOPY_REG_REG,1772491,0,0
rexxcps,rxvm,noopt,5,ITOS_REG,1195209,0,0
rexxcps,rxvm,opt,1,SCOPY_REG_REG,4437381,0,0
rexxcps,rxvm,opt,2,BRF_ID_REG,2270485,0,0
rexxcps,rxvm,opt,3,LOAD_REG_STRING,2105127,0,0
rexxcps,rxvm,opt,4,ITOS_REG,1247406,0,0
rexxcps,rxvm,opt,5,CONCAT_REG_STRING_REG,1247402,0,0
sieve,rxbvm,noopt,1,BRT_ID_REG,1087001,0,0
sieve,rxbvm,noopt,2,IGT_REG_REG_REG,1087001,0,0
sieve,rxbvm,noopt,3,BR_ID,1053451,0,0
sieve,rxbvm,noopt,4,ISETUNLINK_REG_REG,803450,0,0
sieve,rxbvm,noopt,5,SETLINKILOAD_REG_REG_INT_REG_REG_INT,803450,0,0
sieve,rxbvm,opt,1,IGT_REG_REG_REG,1087001,0,0
sieve,rxbvm,opt,2,ISETUNLINK_REG_REG,803450,0,0
sieve,rxbvm,opt,3,SETLINKILOAD_REG_REG_INT_REG_REG_INT,803450,0,0
sieve,rxbvm,opt,4,BLT_ID_REG_INT,586900,0,0
sieve,rxbvm,opt,5,BRTF_ID_ID_REG,586900,0,0
permute,rxbvm,noopt,1,LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT,2015600,0,0
permute,rxbvm,noopt,2,UNLINK_REG,1440800,0,0
permute,rxbvm,noopt,3,IGETUNLINK_REG_REG,1007801,0,0
permute,rxbvm,noopt,4,NUMSCI_INT_INT_INT,937001,0,0
permute,rxbvm,noopt,5,ASSERTINITIALIZED_REG,936950,0,0
permute,rxbvm,opt,1,LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT,2014400,0,0
permute,rxbvm,opt,2,UNLINK_REG,1440800,0,0
permute,rxbvm,opt,3,COPY_REG_REG,1008001,0,0
permute,rxbvm,opt,4,IGETUNLINK_REG_REG,1007851,0,0
permute,rxbvm,opt,5,ISETUNLINKN_REG_REG_REG,503900,0,0
bounce,rxbvm,noopt,1,LINKATTR1_REG_REG_INT,4222600,0,0
bounce,rxbvm,noopt,2,UNLINK_REG,3207600,0,0
bounce,rxbvm,noopt,3,BRF_ID_REG,2642702,0,0
bounce,rxbvm,noopt,4,ISETATTR1_REG_INT_REG,1365300,0,0
bounce,rxbvm,noopt,5,ILT_REG_REG_INT,1000001,0,0
bounce,rxbvm,opt,1,LINKATTR1_REG_REG_INT,4222600,0,0
bounce,rxbvm,opt,2,UNLINK_REG,3065000,0,0
bounce,rxbvm,opt,3,BRF_ID_REG,2142702,0,0
bounce,rxbvm,opt,4,ISETATTR1_REG_INT_REG,1365300,0,0
bounce,rxbvm,opt,5,ICOPY_REG_REG,1142600,0,0
richards,rxbvm,noopt,1,BRF_ID_REG,1266713,0,0
richards,rxbvm,noopt,2,LINKATTR1_REG_REG_INT,924233,0,0
richards,rxbvm,noopt,3,LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT,769814,0,0
richards,rxbvm,noopt,4,UNLINK_REG,714609,0,0
richards,rxbvm,noopt,5,IEQ_REG_REG_INT,595811,0,0
richards,rxbvm,opt,1,BRF_ID_REG,1183583,0,0
richards,rxbvm,opt,2,LINKATTR1_REG_REG_INT,924267,0,0
richards,rxbvm,opt,3,LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT,769796,0,0
richards,rxbvm,opt,4,UNLINK_REG,617306,0,0
richards,rxbvm,opt,5,IEQ_REG_REG_INT,595811,0,0
base64,rxbvm,noopt,1,BRF_ID_REG,9583006,0,0
base64,rxbvm,noopt,2,SETTP_REG_INT,5471002,0,0
base64,rxbvm,noopt,3,LOAD_REG_INT,4797519,0,0
base64,rxbvm,noopt,4,SWAP_REG_REG,4449008,0,0
base64,rxbvm,noopt,5,BRTPANDT_ID_REG_INT,2738001,0,0
base64,rxbvm,opt,1,BRF_ID_REG,6847007,0,0
base64,rxbvm,opt,2,LOAD_REG_INT,3427515,0,0
base64,rxbvm,opt,3,SCOPY_REG_REG,2907503,0,0
