workload,vm,entry,schema,dynamic_instructions,calls,fresh_frames,reused_frames,frame_entry_work,copy_ops,copy_bytes,move_ops,move_bytes,clear_reset_destroy_ops,clear_reset_destroy_bytes,conversion_ops,allocation_requests,allocation_bytes,max_request_bytes,frame_high_water,branch_executions,branch_taken,branch_fallthrough,backedges,selector_attempts,frame_entry_ns,copy_ns,move_ns,clear_reset_destroy_ns,conversion_ns,status
sieve,rxvm,noopt,5,7912375,50,2,49,712,2,10,50,0,506699,120209,3,8425,4234464,2031616,2,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
sieve,rxvm,opt,5,6825375,0,1,0,19,52,10,0,0,506584,120209,3,8319,4231352,2031616,1,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
permute,rxvm,noopt,5,15463326,937000,11,936990,16077414,181052,1448010,50,1200,2809,2741,3,1875480,537800,5768,9,1551005,1118003,433002,252000,0,0,0,0,0,0,complete
permute,rxvm,opt,5,12906826,432950,7,432944,11256730,10259602,74012810,0,0,2893,2645,3,866526,239912,7880,7,1118005,685053,432952,252000,0,0,0,0,0,0,complete
bounce,rxvm,noopt,5,23560426,692900,8,692893,6748414,171302,400011,581600,401600,2064981,1206716,3,1627312,83746512,15872,4,3820705,2958603,862102,515100,0,0,0,0,0,0,complete
bounce,rxvm,opt,5,21139726,10100,3,10098,152314,1203002,9542411,10100,400000,920170,1206764,3,260520,83328648,15872,3,4003305,3274303,729002,515100,0,0,0,0,0,0,complete
richards,rxvm,noopt,5,9302120,469638,24,469615,6525631,119629,83745,337221,224,675775,2846,4,939889,262096,8144,8,1591510,1002931,588579,116253,0,0,0,0,0,0,complete
richards,rxvm,opt,5,8726851,119157,9,119149,5228903,73307574,582076729,99035,0,865839,4011486,4,738482,173528696,17120,6,1750622,1220546,530076,116253,0,0,0,0,0,0,complete
base64,rxvm,noopt,5,67952436,2054007,12,2053996,26714069,1368002,10944011,2054006,2566024,4108554,5146148,4,4109761,2666416,7088,4,18487108,12329056,6158052,344548,0,0,0,0,0,0,complete
base64,rxvm,opt,5,46724369,500,2,499,21045,2221507,18789128,500,512000,1382,1075088,4,1700,608160,11840,2,13007111,9587060,3420051,344548,0,0,0,0,0,0,complete
rexxcps,rxvm,noopt,5,27750006,609843,25,609819,7603402,661824,23301497,557025,2074445,1116425,18146668,1945522,1616658,13112024,28256,5,5475953,4091526,1384427,205731,0,0,0,0,0,0,complete
rexxcps,rxvm,opt,5,27841418,143642,21,143622,3974586,1109124,48425897,2624,8046,1641006,71902353,3169511,1515811,274924728,27992,5,4527340,3388619,1138721,564832,0,0,0,0,0,0,complete
sieve,rxbvm,noopt,5,7912375,50,2,49,712,2,10,50,0,506699,120209,3,8425,4234464,2031616,2,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
sieve,rxbvm,opt,5,6825375,0,1,0,19,52,10,0,0,506584,120209,3,8319,4231352,2031616,1,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
permute,rxbvm,noopt,5,15463326,937000,11,936990,16077414,181052,1448010,50,1200,2809,2741,3,1875480,537800,5768,9,1551005,1118003,433002,252000,0,0,0,0,0,0,complete
permute,rxbvm,opt,5,12906826,432950,7,432944,11256730,10259602,74012810,0,0,2893,2645,3,866526,239912,7880,7,1118005,685053,432952,252000,0,0,0,0,0,0,complete
bounce,rxbvm,noopt,5,23560426,692900,8,692893,6748414,171302,400011,581600,401600,2064981,1206716,3,1627312,83746512,15872,4,3820705,2958603,862102,515100,0,0,0,0,0,0,complete
bounce,rxbvm,opt,5,21139726,10100,3,10098,152314,1203002,9542411,10100,400000,920170,1206764,3,260520,83328648,15872,3,4003305,3274303,729002,515100,0,0,0,0,0,0,complete
richards,rxbvm,noopt,5,9302120,469638,24,469615,6525631,119629,83745,337221,224,675775,2846,4,939889,262096,8144,8,1591510,1002931,588579,116253,0,0,0,0,0,0,complete
richards,rxbvm,opt,5,8726851,119157,9,119149,5228903,73307574,582076729,99035,0,865839,4011486,4,738482,173528696,17120,6,1750622,1220546,530076,116253,0,0,0,0,0,0,complete
base64,rxbvm,noopt,5,67952436,2054007,12,2053996,26714069,1368002,10944011,2054006,2566024,4108554,5146148,4,4109761,2666416,7088,4,18487108,12329056,6158052,344548,0,0,0,0,0,0,complete
base64,rxbvm,opt,5,46724369,500,2,499,21045,2221507,18789128,500,512000,1382,1075088,4,1700,608160,11840,2,13007111,9587060,3420051,344548,0,0,0,0,0,0,complete
rexxcps,rxbvm,noopt,5,26986406,593043,25,593019,7394802,643724,22656297,541625,2017037,1085625,17643448,1891522,1572058,12760024,28256,5,5325853,3979326,1346527,200031,0,0,0,0,0,0,complete
rexxcps,rxbvm,opt,5,26448437,136642,21,136622,3778586,1053624,45983897,2624,8036,1558506,68272386,3009511,1439811,261060728,27992,5,4302342,3220119,1082223,536331,0,0,0,0,0,0,complete
