rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,172394,2,1,9,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r5,r1,c1,c2,r6,r3,c3)","r1=R4;r2=R67;r3=R3;r4=R68;r5=R6;c1=int:23;c2=int:6;r6=R5;c3=int:1","benchmark_awfy_richards_opt",3014
2,165076,5,1,5,candidate,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINKN_REG_REG(r2,r3) | BRF_ID_REG(c2,r1)","r1=R17;r2=R14;c1=int:0;r3=R15;c2=label@2960","benchmark_awfy_richards_opt",2883
3,129850,2,1,5,candidate,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1) | IGETUNLINK_REG_REG(r4,r3)","r1=R1;r2=R27;r3=R14;c1=int:2;r4=R3","benchmark_awfy_richards_opt",2853
4,129850,2,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGETUNLINK_REG_REG(r3,r1) | COPY_REG_REG(r4,r5)","r1=R14;r2=R27;c1=int:2;r3=R3;r4=R13;r5=R1","benchmark_awfy_richards_opt",2856
5,106953,2,1,4,candidate,"BTOI_REG(r1) | IEQ_REG_REG_INT(r2,r1,c1) | UNLINKN_REG_REG(r1,r3)","r1=R5;r2=R8;c1=int:0;r3=R6","benchmark_awfy_richards_opt",3028
6,106953,2,1,9,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | BTOI_REG(r3) | IEQ_REG_REG_INT(r5,r3,c4)","r1=R6;r2=R4;c1=int:23;c2=int:6;r3=R5;r4=R3;c3=int:1;r5=R8;c4=int:0","benchmark_awfy_richards_opt",3020
7,106605,1,1,4,candidate,"IGTE_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | BRF_ID_REG(c2,r1)","r1=R1;r2=R2;c1=int:0;c2=label@7019","benchmark_awfy_richards_opt",6864
8,106605,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R2;r2=R15;c1=int:2;r3=R1;c2=int:0","benchmark_awfy_richards_opt",6860
9,106605,2,1,5,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2) | COPY_REG_REG(r3,r4)","r1=R8;c1=label@3371;r2=R7;r3=R19;r4=R17","benchmark_awfy_richards_opt",3293
10,106604,1,1,6,candidate,"BRF_ID_REG(c1,r1) | COPY_REG_REG(r2,r3) | LINKATTR1_REG_REG_INT(r4,r3,c2)","c1=label@7019;r1=R1;r2=R3;r3=R15;r4=R2;c2=int:2","benchmark_awfy_richards_opt",6870
11,106604,1,1,9,candidate,"ICOPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c1,c2,r5,r1,c3) | BRF_ID_REG(c4,r5)","r1=R5;r2=R4;r3=R7;r4=R6;c1=int:19;c2=int:6;r5=R2;c3=int:1;c4=label@6908","benchmark_awfy_richards_opt",6886
12,106604,1,1,5,candidate,"IGETUNLINK_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r1)","r1=R4;r2=R2;r3=R6;r4=R3;r5=R5","benchmark_awfy_richards_opt",6880
13,101043,1,1,9,candidate,"UNLINKN_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r2,r3,c1,c2,r4,r5,c3) | BRF_ID_REG(c4,r4)","r1=R2;r2=R7;r3=R6;c1=int:23;c2=int:6;r4=R9;r5=R5;c3=int:1;c4=label@6930","benchmark_awfy_richards_opt",6908
14,97858,10,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINLINKATTR1_REG_REG_REG_INT(r3,r1,r4,c2) | IGETUNLINK_REG_REG(r5,r3)","r1=R6;r2=R9;c1=int:17;r3=R7;r4=R11;c2=int:0;r5=R0","benchmark_awfy_richards_opt",2129
15,92655,10,1,8,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | SETLINKATTR1_REG_REG_INT_REG_INT(r4,r1,c3,r3,c4)","r1=R9;r2=R13;c1=int:24;r3=R5;c2=int:2;r4=R3;c3=int:6;c4=int:1","benchmark_awfy_richards_opt",2701
16,92655,10,1,7,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETLINKATTR1_REG_REG_INT_REG_INT(r3,r4,c2,r1,c3) | UNLINK_REG(r1)","r1=R5;r2=R13;c1=int:2;r3=R3;r4=R9;c2=int:6;c3=int:1","benchmark_awfy_richards_opt",2705
17,89264,4,1,4,candidate,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1) | BR_ID(c2)","r1=R9;c1=int:0;r2=R8;c2=label@3110","benchmark_awfy_richards_opt",3040
18,89036,14,1,5,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | BR_ID(c1)","r1=R27;r2=R13;r3=R25;r4=R11;c1=label@3003","benchmark_awfy_richards_opt",2950
19,83075,4,1,8,candidate,"LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r1,r2,c1,c2,r3,r4,c3) | IGETUNLINK_REG_REG(r5,r3) | UNLINK_REG(r1)","r1=R5;r2=R67;c1=int:20;c2=int:6;r3=R7;r4=R68;c3=int:1;r5=R1","benchmark_awfy_richards_opt",3113
20,74382,3,1,6,candidate,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6)","r1=R13;r2=R1;r3=R10;r4=R5;r5=R7;r6=R28","benchmark_awfy_richards_opt",2863
21,69125,4,1,5,candidate,"UNLINK_REG(r1) | IEQ_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R51;r2=R53;r3=R25;c1=int:0;c2=label@3928","benchmark_awfy_richards_opt",3874
22,65791,2,1,4,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | UNLINK_REG(r1)","r1=R2;r2=R15;c1=int:22;c2=int:2","benchmark_awfy_richards_opt",6850
23,65790,1,1,5,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r2,c3)","r1=R67;c1=int:18;c2=int:1;r2=R1;c3=int:0","benchmark_awfy_richards_opt",3005
24,65790,1,1,8,candidate,"ICOPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r4,c1,c2,r5,r1,c3) | BTOI_REG(r5)","r1=R3;r2=R68;r3=R6;r4=R4;c1=int:23;c2=int:6;r5=R5;c3=int:1","benchmark_awfy_richards_opt",3017
25,65790,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r1,c2)","r1=R15;c1=int:1;r2=R13;r3=R9;c2=int:2","benchmark_awfy_richards_opt",6993
26,65790,1,1,6,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETTP_REG_INT(r2,c2) | CALL2_REG_FUNC_REG_REG(r3,c3,r2,r1)","r1=R9;r2=R15;c1=int:2;c2=int:256;r3=R7;c3=func@109696","benchmark_awfy_richards_opt",6999
27,65790,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | COPY_REG_REG(r2,r3) | ICOPY_REG_REG(r4,r5)","r1=R1;c1=int:0;r2=R4;r3=R67;r4=R3;r5=R68","benchmark_awfy_richards_opt",3011
28,65790,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r1,c3) | COPY_REG_REG(r2,r3)","c1=int:18;c2=int:1;r1=R1;c3=int:0;r2=R4;r3=R67","benchmark_awfy_richards_opt",3007
