-- Install configuration: "Release"
-- Installing: /tmp/ni-s5/install/share/crexx/messages
-- Installing: /tmp/ni-s5/install/share/crexx/messages/diagnostics.en_GB.msg
-- Installing: /tmp/ni-s5/install/share/crexx/messages/diagnostics.nl_NL.msg
-- Installing: /tmp/ni-s5/install/share/crexx/messages/diagnostics.de_DE.msg
-- Installing: /tmp/ni-s5/install/share/crexx/messages/diagnostics.en_US.msg
-- Installing: /tmp/ni-s5/install/include/crexx_version.h
-- Installing: /tmp/ni-s5/install/./VERSION
-- Installing: /tmp/ni-s5/install/./BUILDINFO
-- Installing: /tmp/ni-s5/install/bin/libcrexxsaa.dylib
-- Installing: /tmp/ni-s5/install/include/crexxsaa.h
-- Installing: /tmp/ni-s5/install/bin/crexxsaa
-- Installing: /tmp/ni-s5/install/include/rxpa/crexxpa.h
-- Installing: /tmp/ni-s5/install/include/platform/rxinteger.h
-- Installing: /tmp/ni-s5/install/include/rxpa/crexx_version.h
-- Installing: /tmp/ni-s5/install/bin/maclib.rexx
-- Installing: /tmp/ni-s5/install/bin/macsys.rexx
-- Installing: /tmp/ni-s5/install/bin/mathlib.rexx
-- Installing: /tmp/ni-s5/install/bin/syslib.rexx
-- Installing: /tmp/ni-s5/install/bin/rxpp-sh
-- Installing: /tmp/ni-s5/install/bin/libcrexx-ggml-cpu.so
-- Installing: /tmp/ni-s5/install/bin/libcrexx-ggml-metal.so
-- Installing: /tmp/ni-s5/install/lib/libcrexx-ggml.0.23.0.dylib
-- Installing: /tmp/ni-s5/install/lib/libcrexx-ggml.0.dylib
-- Installing: /tmp/ni-s5/install/lib/libcrexx-ggml.dylib
-- Installing: /tmp/ni-s5/install/include/ggml.h
-- Installing: /tmp/ni-s5/install/include/ggml-cpu.h
-- Installing: /tmp/ni-s5/install/include/ggml-alloc.h
-- Installing: /tmp/ni-s5/install/include/ggml-backend.h
-- Installing: /tmp/ni-s5/install/include/ggml-blas.h
-- Installing: /tmp/ni-s5/install/include/ggml-cann.h
-- Installing: /tmp/ni-s5/install/include/ggml-cpp.h
-- Installing: /tmp/ni-s5/install/include/ggml-cuda.h
-- Installing: /tmp/ni-s5/install/include/ggml-opt.h
-- Installing: /tmp/ni-s5/install/include/ggml-metal.h
-- Installing: /tmp/ni-s5/install/include/ggml-rpc.h
-- Installing: /tmp/ni-s5/install/include/ggml-virtgpu.h
-- Installing: /tmp/ni-s5/install/include/ggml-sycl.h
-- Installing: /tmp/ni-s5/install/include/ggml-vulkan.h
-- Installing: /tmp/ni-s5/install/include/ggml-webgpu.h
-- Installing: /tmp/ni-s5/install/include/ggml-zendnn.h
-- Installing: /tmp/ni-s5/install/include/ggml-openvino.h
-- Installing: /tmp/ni-s5/install/include/gguf.h
-- Installing: /tmp/ni-s5/install/lib/libcrexx-ggml-base.0.23.0.dylib
-- Installing: /tmp/ni-s5/install/lib/libcrexx-ggml-base.0.dylib
-- Installing: /tmp/ni-s5/install/lib/libcrexx-ggml-base.dylib
-- Installing: /tmp/ni-s5/install/lib/cmake/ggml/ggml-config.cmake
-- Installing: /tmp/ni-s5/install/lib/cmake/ggml/ggml-config-version.cmake
-- Installing: /tmp/ni-s5/install/lib/libcrexx-llama-engine.0.4.0.dylib
-- Installing: /tmp/ni-s5/install/lib/libcrexx-llama-engine.0.dylib
-- Installing: /tmp/ni-s5/install/lib/libcrexx-llama-engine.dylib
-- Installing: /tmp/ni-s5/install/include/llama.h
-- Installing: /tmp/ni-s5/install/include/llama-cpp.h
-- Installing: /tmp/ni-s5/install/lib/cmake/llama/llama-config.cmake
-- Installing: /tmp/ni-s5/install/lib/cmake/llama/llama-config-version.cmake
-- Installing: /tmp/ni-s5/install/lib/pkgconfig/llama.pc
-- Installing: /tmp/ni-s5/install/share/crexx/llama/README.md
-- Installing: /tmp/ni-s5/install/share/crexx/llama/examples
-- Installing: /tmp/ni-s5/install/share/crexx/llama/examples/shared_generation.crexx
-- Installing: /tmp/ni-s5/install/share/crexx/llama/examples/shared_embeddings.crexx
-- Installing: /tmp/ni-s5/install/share/crexx/llama/examples/persistent_generation.crexx
-- Installing: /tmp/ni-s5/install/share/crexx/llama/examples/persistent_embeddings.crexx
-- Installing: /tmp/ni-s5/install/share/crexx/rxconsole/README.md
-- Installing: /tmp/ni-s5/install/bin/ui_catalog.rxbin
-- Installing: /tmp/ni-s5/install/bin/ui_contract.rxbin
-- Installing: /tmp/ni-s5/install/share/crexx/ui/contracts/catalogue.json
-- Installing: /tmp/ni-s5/install/share/crexx/ui/contracts/README.md
-- Installing: /tmp/ni-s5/install/share/crexx/ui/contracts/conformance.jsonl
-- Installing: /tmp/ni-s5/install/share/crexx/ui/contracts/ui-contract.ts
-- Installing: /tmp/ni-s5/install/share/crexx/ui/contracts/ui-contract.schema.json
-- Installing: /tmp/ni-s5/install/share/crexx/ui/contracts/CATALOGUE.md
-- Installing: /tmp/ni-s5/install/bin/ui_dialogs.rxbin
-- Installing: /tmp/ni-s5/install/bin/ui_terminal_view.rxbin
-- Installing: /tmp/ni-s5/install/bin/ui_local_resources.rxbin
-- Installing: /tmp/ni-s5/install/bin/ui_ansi.rxbin
-- Installing: /tmp/ni-s5/install/bin/ui.rxbin
-- Installing: /tmp/ni-s5/install/bin/ui_tui.rxbin
-- Installing: /tmp/ni-s5/install/share/crexx/ui/README.md
-- Installing: /tmp/ni-s5/install/share/crexx/ui/TERMINAL.md
-- Installing: /tmp/ni-s5/install/share/crexx/ui/EXTENDING.md
-- Installing: /tmp/ni-s5/install/share/crexx/ui/rxpp/ui
-- Installing: /tmp/ni-s5/install/share/crexx/ui/rxpp/ui/ui_launcher.rxpm
-- Installing: /tmp/ni-s5/install/share/crexx/ui/rxpp/ui/ui_node.rxpm
-- Installing: /tmp/ni-s5/install/share/crexx/ui/rxpp/ui/ui_command.rxpm
-- Installing: /tmp/ni-s5/install/examples/functions/array-formatting/arrayformatdemo.rxbin
-- Installing: /tmp/ni-s5/install/examples/exits/pprint/pprint_example.rxbin
-- Installing: /tmp/ni-s5/install/examples/ui/text-inspector/text_inspector.rxbin
-- Installing: /tmp/ni-s5/install/examples/ui/text-inspector/text_inspector_tui.rxbin
-- Installing: /tmp/ni-s5/install/examples/ui/text-inspector/text_inspector_ansi.rxbin
-- Up-to-date: /tmp/ni-s5/install/examples
-- Installing: /tmp/ni-s5/install/examples/hello.dSYM
-- Installing: /tmp/ni-s5/install/examples/hello.dSYM/Contents
-- Installing: /tmp/ni-s5/install/examples/hello.dSYM/Contents/Resources
-- Installing: /tmp/ni-s5/install/examples/hello.dSYM/Contents/Resources/Relocations
-- Installing: /tmp/ni-s5/install/examples/hello.dSYM/Contents/Resources/Relocations/aarch64
-- Installing: /tmp/ni-s5/install/examples/hello.dSYM/Contents/Resources/DWARF
-- Up-to-date: /tmp/ni-s5/install/examples/ui
-- Up-to-date: /tmp/ni-s5/install/examples/ui/text-inspector
-- Installing: /tmp/ni-s5/install/examples/ui/text-inspector/text_inspector_tui.rxpp
-- Installing: /tmp/ni-s5/install/examples/ui/text-inspector/text_inspector_ansi.rxpp
-- Installing: /tmp/ni-s5/install/examples/ui/text-inspector/text_inspector_gtk.rxpp
-- Installing: /tmp/ni-s5/install/examples/ui/text-inspector/test_text_inspector_tui.crexx
-- Installing: /tmp/ni-s5/install/examples/ui/text-inspector/test_host.crexx
-- Installing: /tmp/ni-s5/install/examples/ui/text-inspector/test_text_inspector_gtk.crexx
-- Installing: /tmp/ni-s5/install/examples/ui/text-inspector/README.md
-- Installing: /tmp/ni-s5/install/examples/ui/text-inspector/test_text_inspector_core.crexx
-- Installing: /tmp/ni-s5/install/examples/ui/text-inspector/text_inspector.rxpp
-- Installing: /tmp/ni-s5/install/examples/ui/text-inspector/fixtures
