entry,name,count,bytes,max_bytes,high_water,status
rexxcps-noopt,frame_blocks,25,146968,28256,0,complete
rexxcps-noopt,standalone_values,39,9672,248,0,complete
rexxcps-noopt,attribute_value_blocks,21,59520,7936,0,complete
rexxcps-noopt,attribute_pointer_storage,57,5568,256,0,complete
rexxcps-noopt,string_buffers,132029,4226560,128,0,complete
rexxcps-noopt,binary_buffers,2,4096,2048,0,complete
rexxcps-noopt,value_slots,785,194680,26040,0,complete
rexxcps-noopt,frame_activations,206644,0,0,5,complete
rexxcps-noopt,frame_reuses,206619,0,0,0,complete
rexxcps-opt,frame_blocks,21,134720,27992,0,complete
rexxcps-opt,standalone_values,148539,36837672,248,0,complete
rexxcps-opt,attribute_value_blocks,21,59520,7936,0,complete
rexxcps-opt,attribute_pointer_storage,57,5568,256,0,complete
rexxcps-opt,string_buffers,37823,1211584,128,0,complete
rexxcps-opt,binary_buffers,2,4096,2048,0,complete
rexxcps-opt,value_slots,149246,37013008,25792,0,complete
rexxcps-opt,frame_activations,42843,0,0,5,complete
rexxcps-opt,frame_reuses,42822,0,0,0,complete
