workload,pairs,paired_mean_percent,ci95_low_percent,ci95_high_percent,paired_median_percent,favorable_pairs
Sieve,12,0.532824,-0.374609,1.440257,0.773343,9
Richards,12,-0.825421,-2.620995,0.970153,-0.504225,5
Towers,12,3.045318,2.601586,3.489049,3.396244,12
RexxCPS,12,1.120157,0.520790,1.719524,0.977023,10
Pooled core four,48,0.968219,0.342326,1.594113,1.301434,36
