workload,vm,metric,pairs,before_median,after_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,favorable,total,interval_result,guard_hit
GenericWord-rxvm,rxvm,elapsed_ns,22,184529500.000000,7673500.000000,-96.459690,-96.006290,-95.868139,-95.691846,-94.713131,-95.807380,-95.964840,-95.649920,22,22,clear_favorable,no
GenericWord-rxbvm,rxbvm,elapsed_ns,22,199864000.000000,9575500.000000,-95.477074,-95.219699,-95.128105,-95.020251,-94.746640,-95.135645,-95.214620,-95.056670,22,22,clear_favorable,no
