workload,frozen_45e027685_sha256,current_k01_sha256,k01_accepts,verdict
Richards,92cda4c0cc9eb2aa38cd04b5ed0de4f35f1b6b2276f93b00a994818bc56241a7,92cda4c0cc9eb2aa38cd04b5ed0de4f35f1b6b2276f93b00a994818bc56241a7,0,byte_identical
Towers,11b140614e5ad6fa98ccd3c86d0aaee95e63d17f08df59ec158c6e676d98dfe9,11b140614e5ad6fa98ccd3c86d0aaee95e63d17f08df59ec158c6e676d98dfe9,0,byte_identical
RexxCPS,96bc599ba1bb25c0934000251e6c33cb17a4271a2776f609b06dbf8be697f005,96bc599ba1bb25c0934000251e6c33cb17a4271a2776f609b06dbf8be697f005,0,byte_identical
