mode,tool,sample,elapsed_seconds,max_rss_bytes,instructions_retired
ordinary,m01,1,0.05,22134784,974472124
ordinary,m01,2,0.05,22069248,974345219
ordinary,m01,3,0.04,22151168,974535406
ordinary,m02,1,0.06,30081024,1075027485
ordinary,m02,2,0.05,30081024,1074054266
ordinary,m02,3,0.05,29949952,1074076722
diagnostic,m01,1,0.39,22216704,8068686928
diagnostic,m01,2,0.39,22265856,8186320342
diagnostic,m01,3,0.39,22233088,8225686150
diagnostic,m02,1,0.66,30081024,8206611982
diagnostic,m02,2,0.39,31277056,8284690851
diagnostic,m02,3,0.39,31195136,8245046776
