workload,runtime,variant,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness,benchmark_metric,benchmark_unit
sha256-4096,rxtvm,native,process,recorded,1,11964000,0,pass,4863,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,rxtvm,native,process,recorded,2,15796000,0,pass,4877,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,rxtvm,native,process,recorded,3,12116000,0,pass,4909,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,rxtvm,native,process,recorded,4,12613000,0,pass,4999,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,rxtvm,native,process,recorded,5,13696000,0,pass,5082,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,rxtvm,native,process,recorded,6,21749000,0,pass,5042,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,rxtvm,native,process,recorded,7,12950000,0,pass,5349,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,rxtvm,native,process,recorded,8,14211000,0,pass,5149,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,rxtvm,native,process,recorded,9,11268000,0,pass,5677,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
sha256-4096,rxtvm,native,process,recorded,10,16145000,0,pass,5628,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
