workload,runtime,variant,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness,benchmark_metric,benchmark_unit
richards,crexx,state-machine-port,process,warmup,1,669797000,0,pass,,
richards,crexx,state-machine-port,process,recorded,1,639886000,0,pass,,
richards,crexx,state-machine-port,process,recorded,2,675391000,0,pass,,
richards,crexx,state-machine-port,process,recorded,3,647576000,0,pass,,
