workload,runtime,variant,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness,benchmark_metric,benchmark_unit
sha256-1048576,rxbvm,native,process,recorded,1,30892000,0,pass,4919,digest=06B7BBFB7824AA03382051691630EB26DE85102D1B08A81E907EC0744CD8A286
sha256-1048576,rxbvm,native,process,recorded,2,30891000,0,pass,4966,digest=06B7BBFB7824AA03382051691630EB26DE85102D1B08A81E907EC0744CD8A286
sha256-1048576,rxbvm,native,process,recorded,3,30016000,0,pass,4921,digest=06B7BBFB7824AA03382051691630EB26DE85102D1B08A81E907EC0744CD8A286
sha256-1048576,rxbvm,native,process,recorded,4,30887000,0,pass,4906,digest=06B7BBFB7824AA03382051691630EB26DE85102D1B08A81E907EC0744CD8A286
sha256-1048576,rxbvm,native,process,recorded,5,29400000,0,pass,4907,digest=06B7BBFB7824AA03382051691630EB26DE85102D1B08A81E907EC0744CD8A286
sha256-1048576,rxbvm,native,process,recorded,6,26085000,0,pass,4964,digest=06B7BBFB7824AA03382051691630EB26DE85102D1B08A81E907EC0744CD8A286
sha256-1048576,rxbvm,native,process,recorded,7,30820000,0,pass,4876,digest=06B7BBFB7824AA03382051691630EB26DE85102D1B08A81E907EC0744CD8A286
sha256-1048576,rxbvm,native,process,recorded,8,27947000,0,pass,4957,digest=06B7BBFB7824AA03382051691630EB26DE85102D1B08A81E907EC0744CD8A286
sha256-1048576,rxbvm,native,process,recorded,9,30833000,0,pass,4867,digest=06B7BBFB7824AA03382051691630EB26DE85102D1B08A81E907EC0744CD8A286
sha256-1048576,rxbvm,native,process,recorded,10,30832000,0,pass,4914,digest=06B7BBFB7824AA03382051691630EB26DE85102D1B08A81E907EC0744CD8A286
