runtime,vm,lifecycle,phase,sequence,elapsed_ns,correctness
crexx,shared,compile-load-first-result,compile,1,77050000,pass
crexx,shared,compile-load-first-result,assemble,1,19322000,pass
crexx,rxvm,compile-load-first-result,load_first_result,1,2744000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,1,2634000,pass
crexx,shared,compile-load-first-result,compile,2,77645000,pass
crexx,shared,compile-load-first-result,assemble,2,6833000,pass
crexx,rxvm,compile-load-first-result,load_first_result,2,2762000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,2,2662000,pass
crexx,shared,compile-load-first-result,compile,3,78292000,pass
crexx,shared,compile-load-first-result,assemble,3,6743000,pass
crexx,rxvm,compile-load-first-result,load_first_result,3,2674000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,3,2542000,pass
crexx,shared,compile-load-first-result,compile,4,77589000,pass
crexx,shared,compile-load-first-result,assemble,4,6873000,pass
crexx,rxvm,compile-load-first-result,load_first_result,4,2833000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,4,2609000,pass
crexx,shared,compile-load-first-result,compile,5,80252000,pass
crexx,shared,compile-load-first-result,assemble,5,6845000,pass
crexx,rxvm,compile-load-first-result,load_first_result,5,2747000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,5,2672000,pass
crexx,shared,compile-load-first-result,compile,6,80027000,pass
crexx,shared,compile-load-first-result,assemble,6,6598000,pass
crexx,rxvm,compile-load-first-result,load_first_result,6,2752000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,6,2660000,pass
crexx,shared,compile-load-first-result,compile,7,75431000,pass
crexx,shared,compile-load-first-result,assemble,7,6667000,pass
crexx,rxvm,compile-load-first-result,load_first_result,7,2737000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,7,2676000,pass
crexx,shared,compile-load-first-result,compile,8,77156000,pass
crexx,shared,compile-load-first-result,assemble,8,6715000,pass
crexx,rxvm,compile-load-first-result,load_first_result,8,2761000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,8,2737000,pass
crexx,shared,compile-load-first-result,compile,9,77364000,pass
crexx,shared,compile-load-first-result,assemble,9,7010000,pass
crexx,rxvm,compile-load-first-result,load_first_result,9,3286000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,9,2707000,pass
crexx,shared,compile-load-first-result,compile,10,76035000,pass
crexx,shared,compile-load-first-result,assemble,10,6782000,pass
crexx,rxvm,compile-load-first-result,load_first_result,10,2800000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,10,2648000,pass
crexx,shared,compile-load-first-result,compile,11,78121000,pass
crexx,shared,compile-load-first-result,assemble,11,6722000,pass
crexx,rxvm,compile-load-first-result,load_first_result,11,2758000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,11,2601000,pass
crexx,shared,compile-load-first-result,compile,12,76302000,pass
crexx,shared,compile-load-first-result,assemble,12,6655000,pass
crexx,rxvm,compile-load-first-result,load_first_result,12,2787000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,12,2674000,pass
crexx,shared,compile-load-first-result,compile,13,76514000,pass
crexx,shared,compile-load-first-result,assemble,13,6712000,pass
crexx,rxvm,compile-load-first-result,load_first_result,13,2754000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,13,2686000,pass
crexx,shared,compile-load-first-result,compile,14,76766000,pass
crexx,shared,compile-load-first-result,assemble,14,6604000,pass
crexx,rxvm,compile-load-first-result,load_first_result,14,2734000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,14,2687000,pass
crexx,shared,compile-load-first-result,compile,15,76700000,pass
crexx,shared,compile-load-first-result,assemble,15,6553000,pass
crexx,rxvm,compile-load-first-result,load_first_result,15,2726000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,15,2727000,pass
crexx,shared,compile-load-first-result,compile,16,76255000,pass
crexx,shared,compile-load-first-result,assemble,16,6513000,pass
crexx,rxvm,compile-load-first-result,load_first_result,16,2809000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,16,2677000,pass
crexx,shared,compile-load-first-result,compile,17,75775000,pass
crexx,shared,compile-load-first-result,assemble,17,6813000,pass
crexx,rxvm,compile-load-first-result,load_first_result,17,2761000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,17,2716000,pass
crexx,shared,compile-load-first-result,compile,18,75004000,pass
crexx,shared,compile-load-first-result,assemble,18,7655000,pass
crexx,rxvm,compile-load-first-result,load_first_result,18,3066000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,18,2828000,pass
crexx,shared,compile-load-first-result,compile,19,74736000,pass
crexx,shared,compile-load-first-result,assemble,19,6603000,pass
crexx,rxvm,compile-load-first-result,load_first_result,19,2706000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,19,2590000,pass
crexx,shared,compile-load-first-result,compile,20,77020000,pass
crexx,shared,compile-load-first-result,assemble,20,6945000,pass
crexx,rxvm,compile-load-first-result,load_first_result,20,2752000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,20,2661000,pass
