workload,vm,entry,schema,dynamic_instructions,calls,fresh_frames,reused_frames,frame_entry_work,copy_ops,copy_bytes,move_ops,move_bytes,clear_reset_destroy_ops,clear_reset_destroy_bytes,conversion_ops,allocation_requests,allocation_bytes,max_request_bytes,frame_high_water,branch_executions,branch_taken,branch_fallthrough,backedges,selector_attempts,frame_entry_ns,copy_ns,move_ns,clear_reset_destroy_ns,conversion_ns,status
sieve,rxvm,noopt,5,7912375,50,2,49,712,2,10,50,0,506699,120209,3,8425,4234464,2031616,2,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
sieve,rxvm,opt,5,6825375,0,1,0,19,52,10,0,0,506584,120209,3,8319,4231352,2031616,1,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
permute,rxvm,noopt,5,15463326,937000,11,936990,16077414,181052,1448010,50,1200,2809,2741,3,1875480,537800,5768,9,1551005,1118003,433002,252000,0,0,0,0,0,0,complete
permute,rxvm,opt,5,11898926,432950,7,432944,10390827,181202,1448810,0,0,1256,461,3,866199,124072,7088,7,1118005,685053,432952,252000,0,0,0,0,0,0,complete
towers,rxvm,noopt,5,9109896,737610,25,737586,7129674,15099112,114239770,163970,5247360,30467424,84423162,3,21385840,6902403640,4976,18,1297785,791903,505882,150,0,0,0,0,0,0,complete
towers,rxvm,opt,5,7143456,163950,14,163937,4343135,26789582,206454410,0,0,31345134,41935002,3,17243733,5864230528,9728,14,1461605,1037873,423732,150,0,0,0,0,0,0,complete
bounce,rxvm,noopt,5,23560426,692900,8,692893,6748414,171302,400011,581600,401600,2064981,1206716,3,1627312,83746512,15872,4,3820705,2958603,862102,515100,0,0,0,0,0,0,complete
bounce,rxvm,opt,5,21139726,10100,3,10098,152314,1203002,9542411,10100,400000,920170,1206764,3,260520,83328648,15872,3,4003305,3274303,729002,515100,0,0,0,0,0,0,complete
richards,rxvm,noopt,5,9302120,469638,24,469615,6525631,119629,83745,337221,224,675775,2846,4,939889,262096,8144,8,1591510,1002931,588579,116253,0,0,0,0,0,0,complete
richards,rxvm,opt,5,8615245,119157,9,119149,4702575,56902732,451730841,99035,0,860895,3978206,4,735010,172258936,15008,6,1750622,1220546,530076,116253,0,0,0,0,0,0,complete
base64,rxvm,noopt,5,67952436,2054007,12,2053996,26714069,1368002,10944011,2054006,2566024,4108554,5146148,4,4109761,2666416,7088,4,18487108,12329056,6158052,344548,0,0,0,0,0,0,complete
base64,rxvm,opt,5,46724369,500,2,499,21045,2221507,18789128,500,512000,1382,1075088,4,1700,608160,11840,2,13007111,9587060,3420051,344548,0,0,0,0,0,0,complete
rexxcps,rxvm,noopt,5,9423542,206643,25,206619,2596602,227378,7816331,187425,696732,377158,6069032,649522,546221,4647064,28256,5,1873536,1398719,474817,68930,0,0,0,0,0,0,complete
rexxcps,rxvm,opt,5,7782235,42842,21,42822,1151786,309878,13260731,2624,8019,452939,19629806,865511,421374,75266168,27992,5,1287342,962219,325123,154431,0,0,0,0,0,0,complete
sieve,rxbvm,noopt,5,7912375,50,2,49,712,2,10,50,0,506699,120209,3,8425,4234464,2031616,2,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
sieve,rxbvm,opt,5,6825375,0,1,0,19,52,10,0,0,506584,120209,3,8319,4231352,2031616,1,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
permute,rxbvm,noopt,5,15463326,937000,11,936990,16077414,181052,1448010,50,1200,2809,2741,3,1875480,537800,5768,9,1551005,1118003,433002,252000,0,0,0,0,0,0,complete
permute,rxbvm,opt,5,11898926,432950,7,432944,10390827,181202,1448810,0,0,1256,461,3,866199,124072,7088,7,1118005,685053,432952,252000,0,0,0,0,0,0,complete
towers,rxbvm,noopt,5,9109896,737610,25,737586,7129674,15099112,114239770,163970,5247360,30467424,84423162,3,21385840,6902403640,4976,18,1297785,791903,505882,150,0,0,0,0,0,0,complete
towers,rxbvm,opt,5,7143456,163950,14,163937,4343135,26789582,206454410,0,0,31345134,41935002,3,17243733,5864230528,9728,14,1461605,1037873,423732,150,0,0,0,0,0,0,complete
bounce,rxbvm,noopt,5,23560426,692900,8,692893,6748414,171302,400011,581600,401600,2064981,1206716,3,1627312,83746512,15872,4,3820705,2958603,862102,515100,0,0,0,0,0,0,complete
bounce,rxbvm,opt,5,21139726,10100,3,10098,152314,1203002,9542411,10100,400000,920170,1206764,3,260520,83328648,15872,3,4003305,3274303,729002,515100,0,0,0,0,0,0,complete
richards,rxbvm,noopt,5,9302120,469638,24,469615,6525631,119629,83745,337221,224,675775,2846,4,939889,262096,8144,8,1591510,1002931,588579,116253,0,0,0,0,0,0,complete
richards,rxbvm,opt,5,8615245,119157,9,119149,4702575,56902732,451730841,99035,0,860895,3978206,4,735010,172258936,15008,6,1750622,1220546,530076,116253,0,0,0,0,0,0,complete
base64,rxbvm,noopt,5,67952436,2054007,12,2053996,26714069,1368002,10944011,2054006,2566024,4108554,5146148,4,4109761,2666416,7088,4,18487108,12329056,6158052,344548,0,0,0,0,0,0,complete
base64,rxbvm,opt,5,46724369,500,2,499,21045,2221507,18789128,500,512000,1382,1075088,4,1700,608160,11840,2,13007111,9587060,3420051,344548,0,0,0,0,0,0,complete
rexxcps,rxbvm,noopt,5,9423561,206643,25,206619,2596602,227378,7816331,187425,696746,377158,6069105,649522,546221,4647064,28256,5,1873538,1398719,474819,68929,0,0,0,0,0,0,complete
rexxcps,rxbvm,opt,5,8618035,47042,21,47022,1269386,343178,14725931,2624,7977,502439,21807724,961511,466974,83584568,27992,5,1422342,1063319,359023,171531,0,0,0,0,0,0,complete
