rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,737611,13,1,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_towers_noopt",0
2,737611,13,1,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2) | SETNUMSTD_INT(c2)","c1=int:0;c2=int:1","benchmark_awfy_towers_noopt",2
3,737460,10,1,4,over_3_symbols,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","r1=R3;c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_towers_noopt",220
4,327890,7,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | CALL_REG_FUNC_REG(r4,c3,r1)","r1=R7;c1=int:1;r2=R6;c2=int:256;r3=R8;r4=R2;c3=func@6776","benchmark_awfy_towers_noopt",92
5,245720,5,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | SWAP_REG_REG(r4,r5)","r1=R4;c1=int:2;r2=R10;c2=int:256;r3=R5;r4=R6;r5=R11","benchmark_awfy_towers_noopt",927
6,204890,3,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3) | SWAP_REG_REG(r4,r3)","c1=label@631;r1=R1;r2=R6;c2=int:1;r3=R12;c3=int:256;r4=R7","benchmark_awfy_towers_noopt",563
7,190910,3,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | RET()","r1=R3;r2=R5;c1=int:2;r3=R2","benchmark_awfy_towers_noopt",309
8,164180,2,1,3,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1)","c1=int:1;r1=R2;r2=R1","benchmark_awfy_towers_noopt",191
9,164040,1,1,3,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | RET_REG(r1)","c1=int:1;r1=R1;r2=R3","benchmark_awfy_towers_noopt",228
10,163960,2,1,3,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1) | SETOBJUNINIT_REG_STRING(r1,c2)","c1=int:1;r1=R3;c2=string@21344","benchmark_awfy_towers_noopt",470
11,163960,2,1,2,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | NULL_REG(r1)","c1=int:1;r1=R3","benchmark_awfy_towers_noopt",468
