# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 19789569375
#
# Overhead  Command  Shared Object  Symbol                              IPC   [IPC Coverage]
# ........  .......  .............  ..................................  ....................
#
    95.59%  rxvm     rxvm           [.] run                             -      -            
     1.42%  rxvm     libc.so.6      [.] __memmove_evex_unaligned_erms   -      -            
     0.78%  rxvm     libc.so.6      [.] __GI_____strtod_l_internal      -      -            
     0.62%  rxvm     libc.so.6      [.] __strlen_evex                   -      -            
     0.48%  rxvm     libc.so.6      [.] __memcmp_evex_movbe             -      -            
     0.25%  rxvm     libc.so.6      [.] __memchr_evex                   -      -            
     0.17%  rxvm     rxvm           [.] resolve_runtime_procedure       -      -            
     0.14%  rxvm     rxvm           [.] __errno_location@plt            -      -            
     0.14%  rxvm     rxvm           [.] memcmp@plt                      -      -            
     0.11%  rxvm     rxvm           [.] memcpy@plt                      -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
