ledger_id,pattern_id,revision,role,normalized_pattern,window,dynamic_count,entry_count,workload_count,site_observations,max_sites_per_entry,module_observations,max_modules_per_entry,modes,optimized_occurrence,unoptimized_occurrence,entries,workloads,rxseq_statuses,example_module,example_start,evidence_links,semantic_review_status,opcode_effect_completeness,opcode_effects,control_flow_risk,liveness_risk,alias_risk,reference_risk,exception_risk,interrupt_risk,likely_owner,proposed_lowering,prerequisite,measured_disposition,status,selected,selection_reason
seq-2-1590753747@nr05-6a064499f327-rxseq-schema4,seq-2-1590753747,nr05-6a064499f327-rxseq-schema4,historical,"SETATTRS_REG_INT(r1,c1) | LINKATTR1_REG_REG_REG(r2,r1,r3)",2,2107218,4,2,12,3,4,1,noopt;opt,yes,yes,sieve-noopt;sieve-opt;rexxcps-noopt;rexxcps-opt,sieve;rexxcps,over_3_symbols,benchmark_awfy_sieve_noopt,170,performance/evidence/2026-07-16-nr-05-call-census/entries/sieve-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/sieve-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/rexxcps-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/rexxcps-opt/rxseq,mechanical-complete,complete,SETATTRS_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_1;W=RXOP_OP_1;K=RXOP_OP_NONE;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_LIFETIME_END | RXOP_SEM_INDIRECT_WRITE | RXOP_SEM_MAY_THROW]; LINKATTR1_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_23;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_ALIAS_CREATE | RXOP_SEM_MAY_THROW],no,needs-proof,yes,yes,yes,needs-proof,compiler-or-source,none,instruction-boundary and liveness proof,,unsafe,yes,workload-top-10:sieve
seq-2-3635382226@nr05-6a064499f327-rxseq-schema4,seq-2-3635382226,nr05-6a064499f327-rxseq-schema4,historical,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1)",2,8212066,18,9,372,131,24,4,noopt;opt,yes,yes,sieve-noopt;sieve-opt;permute-noopt;permute-opt;towers-noopt;towers-opt;bounce-noopt;bounce-opt;storage-noopt;storage-opt;list-noopt;list-opt;richards-noopt;richards-opt;json-noopt;json-opt;rexxcps-noopt;rexxcps-opt,sieve;permute;towers;bounce;storage;list;richards;json;rexxcps,candidate,benchmark_awfy_sieve_noopt,180,performance/evidence/2026-07-16-nr-05-call-census/entries/sieve-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/sieve-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/permute-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/permute-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/towers-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/towers-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/bounce-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/bounce-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/storage-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/storage-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/list-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/list-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/richards-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/richards-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/json-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/json-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/rexxcps-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/rexxcps-opt/rxseq,mechanical-complete,complete,ICOPY_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; UNLINK_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_1;W=RXOP_OP_1;K=RXOP_OP_NONE;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_ALIAS_RELEASE | RXOP_SEM_MAY_THROW],no,needs-proof,yes,no,yes,needs-proof,compiler-or-source,none,instruction-boundary and liveness proof,,unsafe,yes,workload-top-10:sieve;workload-top-10:towers;workload-top-10:bounce;workload-top-10:richards
seq-2-4110644254@nr05-6a064499f327-rxseq-schema4,seq-2-4110644254,nr05-6a064499f327-rxseq-schema4,historical,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1)",2,1989352,6,3,39,16,6,1,noopt;opt,yes,yes,sieve-noopt;sieve-opt;richards-noopt;richards-opt;json-noopt;json-opt,sieve;richards;json,over_3_symbols,benchmark_awfy_sieve_noopt,173,performance/evidence/2026-07-16-nr-05-call-census/entries/sieve-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/sieve-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/richards-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/richards-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/json-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/json-opt/rxseq,mechanical-complete,complete,LINKATTR1_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_23;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_ALIAS_CREATE | RXOP_SEM_MAY_THROW]; LOAD_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_NONE;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE],no,needs-proof,yes,no,yes,needs-proof,compiler-or-source,none,instruction-boundary and liveness proof,,unsafe,yes,workload-top-10:sieve
seq-2-401038279@nr05-6a064499f327-rxseq-schema4,seq-2-401038279,nr05-6a064499f327-rxseq-schema4,historical,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1)",2,3380680,10,6,141,80,16,4,noopt;opt,yes,yes,sieve-noopt;sieve-opt;bounce-opt;richards-noopt;richards-opt;json-noopt;json-opt;base64-opt;rexxcps-noopt;rexxcps-opt,sieve;bounce;richards;json;base64;rexxcps,candidate,benchmark_awfy_sieve_noopt,177,performance/evidence/2026-07-16-nr-05-call-census/entries/sieve-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/sieve-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/bounce-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/richards-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/richards-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/json-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/json-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/base64-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/rexxcps-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/rexxcps-opt/rxseq,mechanical-complete,complete,LOAD_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_NONE;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; ICOPY_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE],no,needs-proof,no,no,no,needs-proof,compiler-or-rxas,peephole or emitter lowering after proof,"liveness, destination, and interrupt-equivalence proof",,candidate,yes,workload-top-10:sieve;workload-top-10:richards
seq-2-2216332259@nr05-6a064499f327-rxseq-schema4,seq-2-2216332259,nr05-6a064499f327-rxseq-schema4,historical,"BRT_ID_REG(c1,r1) | IGT_REG_REG_REG(r1,r2,r3)",2,588132,3,2,9,4,3,1,noopt;opt,yes,yes,sieve-noopt;rexxcps-noopt;rexxcps-opt,sieve;rexxcps,over_3_symbols,benchmark_awfy_sieve_noopt,232,performance/evidence/2026-07-16-nr-05-call-census/entries/sieve-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/rexxcps-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/rexxcps-opt/rxseq,mechanical-complete,complete,BRT_ID_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_NONE;K=RXOP_OP_NONE;B=RXOP_OP_1;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; IGT_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_23;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE],yes,needs-proof,no,no,no,needs-proof,none-until-runtime-proof,none,instruction-boundary and liveness proof,,unsafe,no,
seq-2-203668494@nr05-6a064499f327-rxseq-schema4,seq-2-203668494,nr05-6a064499f327-rxseq-schema4,historical,"IGT_REG_REG_REG(r1,r2,r3) | BRTF_ID_ID_REG(c1,c2,r1)",2,1173800,2,1,2,1,2,1,noopt;opt,yes,yes,sieve-noopt;sieve-opt,sieve,over_3_symbols,benchmark_awfy_sieve_noopt,235,performance/evidence/2026-07-16-nr-05-call-census/entries/sieve-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/sieve-opt/rxseq,mechanical-complete,complete,IGT_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_23;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; BRTF_ID_ID_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_3;W=RXOP_OP_NONE;K=RXOP_OP_NONE;B=RXOP_OP_12;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE],yes,needs-proof,no,no,no,needs-proof,none-until-runtime-proof,none,instruction-boundary and liveness proof,,unsafe,no,
seq-2-2643393231@nr05-6a064499f327-rxseq-schema4,seq-2-2643393231,nr05-6a064499f327-rxseq-schema4,historical,"ILT_REG_REG_INT(r1,r2,c1) | BRT_ID_REG(c2,r1)",2,1502034,9,6,44,18,9,1,noopt;opt,yes,yes,sieve-noopt;permute-noopt;towers-noopt;richards-noopt;richards-opt;json-noopt;json-opt;rexxcps-noopt;rexxcps-opt,sieve;permute;towers;richards;json;rexxcps,over_3_symbols,benchmark_awfy_sieve_noopt,228,performance/evidence/2026-07-16-nr-05-call-census/entries/sieve-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/permute-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/towers-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/richards-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/richards-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/json-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/json-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/rexxcps-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/rexxcps-opt/rxseq,mechanical-complete,complete,ILT_REG_REG_INT[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; BRT_ID_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_NONE;K=RXOP_OP_NONE;B=RXOP_OP_1;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE],yes,needs-proof,no,no,no,needs-proof,none-until-runtime-proof,none,instruction-boundary and liveness proof,,unsafe,no,
seq-2-2683066875@nr05-6a064499f327-rxseq-schema4,seq-2-2683066875,nr05-6a064499f327-rxseq-schema4,historical,"IADD_REG_REG_REG(r1,r2,r1) | BR_ID(c1)",2,1611080,6,3,7,2,6,1,noopt;opt,yes,yes,sieve-noopt;sieve-opt;permute-noopt;permute-opt;towers-noopt;towers-opt,sieve;permute;towers,candidate,benchmark_awfy_sieve_noopt,265,performance/evidence/2026-07-16-nr-05-call-census/entries/sieve-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/sieve-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/permute-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/permute-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/towers-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/towers-opt/rxseq,mechanical-complete,complete,IADD_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_23;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW]; BR_ID[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_NONE;W=RXOP_OP_NONE;K=RXOP_OP_NONE;B=RXOP_OP_1;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE],yes,needs-proof,no,no,yes,needs-proof,none-until-runtime-proof,none,instruction-boundary and liveness proof,,unsafe,no,
seq-2-476341813@nr05-6a064499f327-rxseq-schema4,seq-2-476341813,nr05-6a064499f327-rxseq-schema4,historical,"UNLINK_REG(r1) | IADD_REG_REG_REG(r2,r3,r2)",2,1106900,2,1,2,1,2,1,noopt;opt,yes,yes,sieve-noopt;sieve-opt,sieve,candidate,benchmark_awfy_sieve_noopt,263,performance/evidence/2026-07-16-nr-05-call-census/entries/sieve-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/sieve-opt/rxseq,mechanical-complete,complete,UNLINK_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_1;W=RXOP_OP_1;K=RXOP_OP_NONE;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_ALIAS_RELEASE | RXOP_SEM_MAY_THROW]; IADD_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_23;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_MAY_THROW],no,needs-proof,yes,no,yes,needs-proof,compiler-or-source,none,instruction-boundary and liveness proof,,unsafe,no,
seq-2-1096152183@nr05-6a064499f327-rxseq-schema4,seq-2-1096152183,nr05-6a064499f327-rxseq-schema4,historical,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1)",2,19623744,22,11,81,18,34,6,noopt;opt,yes,yes,sieve-noopt;sieve-opt;permute-noopt;permute-opt;mandelbrot-noopt;mandelbrot-opt;towers-noopt;towers-opt;bounce-noopt;bounce-opt;storage-noopt;storage-opt;list-noopt;list-opt;richards-noopt;richards-opt;json-noopt;json-opt;base64-noopt;base64-opt;rexxcps-noopt;rexxcps-opt,sieve;permute;mandelbrot;towers;bounce;storage;list;richards;json;base64;rexxcps,over_3_symbols,benchmark_awfy_sieve_noopt,78,performance/evidence/2026-07-16-nr-05-call-census/entries/sieve-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/sieve-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/permute-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/permute-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/mandelbrot-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/mandelbrot-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/towers-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/towers-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/bounce-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/bounce-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/storage-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/storage-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/list-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/list-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/richards-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/richards-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/json-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/json-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/base64-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/base64-opt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/rexxcps-noopt/rxseq;performance/evidence/2026-07-16-nr-05-call-census/entries/rexxcps-opt/rxseq,mechanical-complete,complete,IGT_REG_REG_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_23;W=RXOP_OP_1;K=RXOP_OP_1;B=RXOP_OP_NONE;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE]; BRT_ID_REG[RXOP_EFFECT_CLASSIFIED;R=RXOP_OP_2;W=RXOP_OP_NONE;K=RXOP_OP_NONE;B=RXOP_OP_1;I=RXOP_IMPLICIT_NONE;S=RXOP_SEM_NONE],yes,needs-proof,no,no,no,needs-proof,none-until-runtime-proof,none,instruction-boundary and liveness proof,,unsafe,yes,global-top-25;workload-top-10:sieve;workload-top-10:mandelbrot
