workload,pairs,paired_mean_percent,ci95_low_percent,ci95_high_percent,paired_median_percent,favorable_pairs
Sieve,12,-0.654505,-1.167787,-0.141223,-0.673506,2
Richards,12,0.924804,-0.577911,2.427518,0.420318,8
Towers,12,1.146596,0.203398,2.089794,0.581948,11
RexxCPS,12,-2.013479,-3.370835,-0.656122,-1.322141,0
Pooled core four,48,-0.149146,-0.780096,0.481804,-0.313533,21
