sequence,vm_mode,phase,round,position,cell,vm_binary,image,library,native_cps,process_real_s,effective_count,pass,started_utc,ended_utc,stdout,stderr
1,rxvm,warmup,0,1,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1199320,8.35,100,1,2026-07-19T16:22:43Z,2026-07-19T16:22:51Z,raw/001-rxvm-warmup-r00-p1-cellA.stdout.txt,raw/001-rxvm-warmup-r00-p1-cellA.stderr.txt
2,rxvm,warmup,0,2,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1181655,8.74,100,1,2026-07-19T16:22:51Z,2026-07-19T16:23:00Z,raw/002-rxvm-warmup-r00-p2-cellB.stdout.txt,raw/002-rxvm-warmup-r00-p2-cellB.stderr.txt
3,rxvm,warmup,0,3,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/library.rxbin,1189977,8.42,100,1,2026-07-19T16:23:00Z,2026-07-19T16:23:08Z,raw/003-rxvm-warmup-r00-p3-cellC.stdout.txt,raw/003-rxvm-warmup-r00-p3-cellC.stderr.txt
4,rxbvm,warmup,0,1,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/library.rxbin,1214268,8.53,100,1,2026-07-19T16:23:08Z,2026-07-19T16:23:17Z,raw/004-rxbvm-warmup-r00-p1-cellC.stdout.txt,raw/004-rxbvm-warmup-r00-p1-cellC.stderr.txt
5,rxbvm,warmup,0,2,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1205841,8.31,100,1,2026-07-19T16:23:17Z,2026-07-19T16:23:25Z,raw/005-rxbvm-warmup-r00-p2-cellB.stdout.txt,raw/005-rxbvm-warmup-r00-p2-cellB.stderr.txt
6,rxbvm,warmup,0,3,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1208771,8.29,100,1,2026-07-19T16:23:25Z,2026-07-19T16:23:33Z,raw/006-rxbvm-warmup-r00-p3-cellA.stdout.txt,raw/006-rxbvm-warmup-r00-p3-cellA.stderr.txt
7,rxvm,recorded,1,1,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1211226,8.27,100,1,2026-07-19T16:23:33Z,2026-07-19T16:23:42Z,raw/007-rxvm-recorded-r01-p1-cellA.stdout.txt,raw/007-rxvm-recorded-r01-p1-cellA.stderr.txt
8,rxvm,recorded,1,2,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1215164,8.24,100,1,2026-07-19T16:23:42Z,2026-07-19T16:23:50Z,raw/008-rxvm-recorded-r01-p2-cellB.stdout.txt,raw/008-rxvm-recorded-r01-p2-cellB.stderr.txt
9,rxvm,recorded,1,3,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/prunedrun1/artifacts/candidate/library.rxbin,1220236,8.21,100,1,2026-07-19T16:23:50Z,2026-07-19T16:23:58Z,raw/009-rxvm-recorded-r01-p3-cellC.stdout.txt,raw/009-rxvm-recorded-r01-p3-cellC.stderr.txt
10,rxbvm,recorded,1,1,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1192096,8.40,100,1,2026-07-19T16:23:58Z,2026-07-19T16:24:07Z,raw/010-rxbvm-recorded-r01-p1-cellA.stdout.txt,raw/010-rxbvm-recorded-r01-p1-cellA.stderr.txt
