vm_mode,comparison,n,native_cps_delta_median_percent,native_cps_delta_mean_percent,native_cps_delta_ci95_low_percent,native_cps_delta_ci95_high_percent,native_cps_delta_q1_percent,native_cps_delta_q3_percent,native_cps_favorable_count,native_cps_delta_min_percent,native_cps_delta_max_percent,process_real_delta_median_percent,process_real_delta_mean_percent,process_real_delta_ci95_low_percent,process_real_delta_ci95_high_percent,process_real_delta_q1_percent,process_real_delta_q3_percent,process_real_favorable_count,process_real_delta_min_percent,process_real_delta_max_percent
rxvm,infrastructure_B_vs_A,12,-0.182005,-0.075614,-1.264266,+1.113038,-1.369457,+1.092535,6,-3.536006,+2.978884,+0.222027,+0.113770,-1.072289,+1.299829,-1.041176,+1.391301,6,-2.870264,+3.571429
rxvm,corrected_product_C_vs_B,12,+0.376484,+0.273364,-0.632539,+1.179268,-0.118411,+0.599473,8,-2.719698,+3.549433,-0.358648,-0.246780,-1.123412,+0.629853,-0.597730,+0.114810,8,-3.337041,+2.718676
rxvm,overall_C_vs_A,12,+0.262370,+0.177205,-0.488848,+0.843258,-0.546117,+0.812562,7,-1.582236,+1.913784,-0.294882,-0.152840,-0.824650,+0.518970,-0.782799,+0.545234,7,-1.905830,+1.688782
rxbvm,infrastructure_B_vs_A,12,+0.238665,+0.447613,-0.820689,+1.715916,-0.895267,+1.334527,7,-2.050571,+4.640502,-0.239092,-0.404264,-1.642791,+0.834262,-1.328961,+0.925871,7,-4.415011,+2.045455
rxbvm,corrected_product_C_vs_B,12,+0.836390,+0.845948,+0.198104,+1.493792,-0.127630,+1.760735,8,-0.421351,+2.264191,-0.806889,-0.837218,-1.454439,-0.219997,-1.689699,+0.059382,8,-2.272727,+0.360144
rxbvm,overall_C_vs_A,12,+0.937487,+1.295973,-0.096928,+2.688874,-0.519712,+2.503370,7,-1.297737,+5.305866,-0.892857,-1.238939,-2.583939,+0.106061,-2.378781,+0.509342,7,-5.077263,+1.363636
