vm_mode,round,comparison,left_cell,right_cell,left_position,right_position,left_native_cps,right_native_cps,native_cps_delta_percent,left_process_real_s,right_process_real_s,process_real_delta_percent
rxvm,1,infrastructure_B_vs_A,A,B,1,2,1211226,1215164,+0.325125,8.27,8.24,-0.362757
rxvm,1,corrected_product_C_vs_B,B,C,2,3,1215164,1220236,+0.417392,8.24,8.21,-0.364078
rxvm,1,overall_C_vs_A,A,C,1,3,1211226,1220236,+0.743874,8.27,8.21,-0.725514
rxvm,2,infrastructure_B_vs_A,A,B,3,1,1214738,1204236,-0.864549,8.25,8.32,+0.848485
rxvm,2,corrected_product_C_vs_B,B,C,1,2,1204236,1208712,+0.371688,8.32,8.29,-0.360577
rxvm,2,overall_C_vs_A,A,C,3,2,1214738,1208712,-0.496074,8.25,8.29,+0.484848
rxvm,3,infrastructure_B_vs_A,A,B,2,3,1213080,1197229,-1.306674,8.26,8.37,+1.331719
rxvm,3,corrected_product_C_vs_B,B,C,3,1,1197229,1204634,+0.618512,8.37,8.32,-0.597372
rxvm,3,overall_C_vs_A,A,C,2,1,1213080,1204634,-0.696244,8.26,8.32,+0.726392
rxvm,4,infrastructure_B_vs_A,A,B,3,2,1202359,1205196,+0.235953,8.33,8.31,-0.240096
rxvm,4,corrected_product_C_vs_B,B,C,2,1,1205196,1206526,+0.110355,8.31,8.30,-0.120337
rxvm,4,overall_C_vs_A,A,C,3,1,1202359,1206526,+0.346569,8.33,8.30,-0.360144
rxvm,5,infrastructure_B_vs_A,A,B,1,3,1210118,1191252,-1.559022,8.28,8.41,+1.570048
rxvm,5,corrected_product_C_vs_B,B,C,3,2,1191252,1195794,+0.381280,8.41,8.38,-0.356718
rxvm,5,overall_C_vs_A,A,C,1,2,1210118,1195794,-1.183686,8.28,8.38,+1.207729
rxvm,6,infrastructure_B_vs_A,A,B,2,1,1189372,1199575,+0.857848,8.42,8.35,-0.831354
rxvm,6,corrected_product_C_vs_B,B,C,1,3,1199575,1206690,+0.593127,8.35,8.30,-0.598802
rxvm,6,overall_C_vs_A,A,C,2,3,1189372,1206690,+1.456063,8.42,8.30,-1.425178
rxvm,7,infrastructure_B_vs_A,A,B,2,1,1194647,1216110,+1.796598,8.38,8.24,-1.670644
rxvm,7,corrected_product_C_vs_B,B,C,1,3,1216110,1206816,-0.764240,8.24,8.30,+0.728155
rxvm,7,overall_C_vs_A,A,C,2,3,1194647,1206816,+1.018627,8.38,8.30,-0.954654
rxvm,8,infrastructure_B_vs_A,A,B,1,3,1207532,1188721,-1.557806,8.29,8.43,+1.688782
rxvm,8,corrected_product_C_vs_B,B,C,3,2,1188721,1188426,-0.024817,8.43,8.43,+0.000000
rxvm,8,overall_C_vs_A,A,C,1,2,1207532,1188426,-1.582236,8.29,8.43,+1.688782
rxvm,9,infrastructure_B_vs_A,A,B,3,2,1150028,1184286,+2.978884,8.71,8.46,-2.870264
rxvm,9,corrected_product_C_vs_B,B,C,2,1,1184286,1152077,-2.719698,8.46,8.69,+2.718676
rxvm,9,overall_C_vs_A,A,C,3,1,1150028,1152077,+0.178170,8.71,8.69,-0.229621
rxvm,10,infrastructure_B_vs_A,A,B,2,3,1123481,1149571,+2.322247,8.92,8.71,-2.354260
rxvm,10,corrected_product_C_vs_B,B,C,3,1,1149571,1144982,-0.399192,8.71,8.75,+0.459242
rxvm,10,overall_C_vs_A,A,C,2,1,1123481,1144982,+1.913784,8.92,8.75,-1.905830
rxvm,11,infrastructure_B_vs_A,A,B,3,1,1141573,1134724,-0.599962,8.77,8.83,+0.684151
rxvm,11,corrected_product_C_vs_B,B,C,1,2,1134724,1147734,+1.146534,8.83,8.73,-1.132503
rxvm,11,overall_C_vs_A,A,C,3,2,1141573,1147734,+0.539694,8.77,8.73,-0.456100
rxvm,12,infrastructure_B_vs_A,A,B,1,2,1154523,1113699,-3.536006,8.68,8.99,+3.571429
rxvm,12,corrected_product_C_vs_B,B,C,2,3,1113699,1153229,+3.549433,8.99,8.69,-3.337041
rxvm,12,overall_C_vs_A,A,C,1,3,1154523,1153229,-0.112081,8.68,8.69,+0.115207
rxbvm,1,infrastructure_B_vs_A,A,B,1,2,1192096,1205083,+1.089426,8.40,8.31,-1.071429
rxbvm,1,corrected_product_C_vs_B,B,C,2,3,1205083,1202296,-0.231270,8.31,8.33,+0.240674
rxbvm,1,overall_C_vs_A,A,C,1,3,1192096,1202296,+0.855636,8.40,8.33,-0.833333
rxbvm,2,infrastructure_B_vs_A,A,B,3,1,1199920,1203036,+0.259684,8.35,8.33,-0.239521
rxbvm,2,corrected_product_C_vs_B,B,C,1,2,1203036,1197967,-0.421351,8.33,8.36,+0.360144
rxbvm,2,overall_C_vs_A,A,C,3,2,1199920,1197967,-0.162761,8.35,8.36,+0.119760
rxbvm,3,infrastructure_B_vs_A,A,B,2,3,1195065,1197666,+0.217645,8.38,8.36,-0.238663
rxbvm,3,corrected_product_C_vs_B,B,C,3,1,1197666,1220417,+1.899611,8.36,8.21,-1.794258
rxbvm,3,overall_C_vs_A,A,C,2,1,1195065,1220417,+2.121391,8.38,8.21,-2.028640
rxbvm,4,infrastructure_B_vs_A,A,B,3,2,1202232,1183827,-1.530903,8.33,8.46,+1.560624
rxbvm,4,corrected_product_C_vs_B,B,C,2,1,1183827,1194531,+0.904186,8.46,8.38,-0.945626
rxbvm,4,overall_C_vs_A,A,C,3,1,1202232,1194531,-0.640559,8.33,8.38,+0.600240
rxbvm,5,infrastructure_B_vs_A,A,B,1,3,1177628,1192798,+1.288183,8.51,8.40,-1.292597
rxbvm,5,corrected_product_C_vs_B,B,C,3,2,1192798,1193407,+0.051056,8.40,8.39,-0.119048
rxbvm,5,overall_C_vs_A,A,C,1,2,1177628,1193407,+1.339897,8.51,8.39,-1.410106
rxbvm,6,infrastructure_B_vs_A,A,B,2,1,1194670,1189524,-0.430747,8.38,8.42,+0.477327
rxbvm,6,corrected_product_C_vs_B,B,C,1,3,1189524,1186279,-0.272798,8.42,8.44,+0.237530
rxbvm,6,overall_C_vs_A,A,C,2,3,1194670,1186279,-0.702370,8.38,8.44,+0.715990
rxbvm,7,infrastructure_B_vs_A,A,B,2,1,1199132,1176632,-1.876357,8.35,8.51,+1.916168
rxbvm,7,corrected_product_C_vs_B,B,C,1,3,1176632,1193383,+1.423640,8.51,8.39,-1.410106
rxbvm,7,overall_C_vs_A,A,C,2,3,1199132,1193383,-0.479430,8.35,8.39,+0.479042
rxbvm,8,infrastructure_B_vs_A,A,B,1,3,1192440,1184291,-0.683389,8.40,8.46,+0.714286
rxbvm,8,corrected_product_C_vs_B,B,C,3,2,1184291,1204595,+1.714443,8.46,8.32,-1.654846
rxbvm,8,overall_C_vs_A,A,C,1,2,1192440,1204595,+1.019338,8.40,8.32,-0.952381
rxbvm,9,infrastructure_B_vs_A,A,B,3,2,1105721,1157032,+4.640502,9.06,8.66,-4.415011
rxbvm,9,corrected_product_C_vs_B,B,C,2,1,1157032,1155955,-0.093083,8.66,8.66,+0.000000
rxbvm,9,overall_C_vs_A,A,C,3,1,1105721,1155955,+4.543099,9.06,8.66,-4.415011
rxbvm,10,infrastructure_B_vs_A,A,B,2,3,1105795,1138685,+2.974331,9.06,8.80,-2.869757
rxbvm,10,corrected_product_C_vs_B,B,C,3,1,1138685,1164467,+2.264191,8.80,8.60,-2.272727
rxbvm,10,overall_C_vs_A,A,C,2,1,1105795,1164467,+5.305866,9.06,8.60,-5.077263
rxbvm,11,infrastructure_B_vs_A,A,B,3,1,1107388,1123706,+1.473558,9.04,8.91,-1.438053
rxbvm,11,corrected_product_C_vs_B,B,C,1,2,1123706,1147800,+2.144155,8.91,8.73,-2.020202
rxbvm,11,overall_C_vs_A,A,C,3,2,1107388,1147800,+3.649308,9.04,8.73,-3.429204
rxbvm,12,infrastructure_B_vs_A,A,B,1,2,1138366,1115023,-2.050571,8.80,8.98,+2.045455
rxbvm,12,corrected_product_C_vs_B,B,C,2,3,1115023,1123593,+0.768594,8.98,8.92,-0.668151
rxbvm,12,overall_C_vs_A,A,C,1,3,1138366,1123593,-1.297737,8.80,8.92,+1.363636
