vm_mode,cell,n,native_cps_median,native_cps_mean,native_cps_min,native_cps_max,process_real_median_s,process_real_mean_s,process_real_min_s,process_real_max_s
rxvm,A,12,1198503.000,1184389.750,1123481,1214738,8.355,8.463,8.25,8.92
rxvm,B,12,1194240.500,1183313.583,1113699,1216110,8.390,8.472,8.24,8.99
rxvm,C,12,1200214.000,1186321.333,1144982,1220236,8.350,8.449,8.21,8.75
rxbvm,A,12,1192268.000,1167537.750,1105721,1202232,8.400,8.588,8.33,9.06
rxbvm,B,12,1184059.000,1172275.250,1115023,1205083,8.460,8.550,8.31,8.98
rxbvm,C,12,1193395.000,1182057.500,1123593,1220417,8.390,8.478,8.21,8.92
