vm_mode,cell,position,n,native_cps_mean,process_real_mean_s
rxvm,A,1,4,1195849.750,8.380
rxvm,A,2,4,1180145.000,8.495
rxvm,A,3,4,1177174.500,8.515
rxvm,B,1,4,1188661.250,8.435
rxvm,B,2,4,1179586.250,8.500
rxvm,B,3,4,1181693.250,8.480
rxvm,C,1,4,1177054.750,8.515
rxvm,C,2,4,1185166.500,8.457
rxvm,C,3,4,1196742.750,8.375
rxbvm,A,1,4,1175132.500,8.527
rxbvm,A,2,4,1173665.500,8.543
rxbvm,A,3,4,1153815.250,8.695
rxbvm,B,1,4,1173224.500,8.543
rxbvm,B,2,4,1165241.250,8.603
rxbvm,B,3,4,1178360.000,8.505
rxbvm,C,1,4,1183842.500,8.463
rxbvm,C,2,4,1185942.250,8.450
rxbvm,C,3,4,1176387.750,8.520
