vm,mode,cursorless_instructions,x1_instructions,delta,delta_percent,cursorless_dcopy,x1_dcopy,cursorless_dtos,x1_dtos,cursorless_decimal_copy_bytes,x1_decimal_copy_bytes
rxvm,noopt,143099442,143099442,0,0.000000,2780000,2780000,2500000,2500000,122320000,122320000
rxbvm,noopt,143099442,143099414,-28,-0.000020,2780000,2780000,2500000,2500000,122320000,122320000
rxvm,opt,53659088,52839051,-820037,-1.528235,2220000,1400000,2220000,2220000,97680000,61600000
rxbvm,opt,53659041,52839051,-819990,-1.528149,2220000,1400000,2220000,2220000,97680000,61600000
