compiler,vm,executable_bytes,text_bytes,sha256
MinGW GCC 15.2.0,rxvm,3636842,3357168,885B80DE593C4B82C904528DC59D2BA102F74246F5EE946798079253E4A4D960
MinGW GCC 15.2.0,rxbvm,3609194,3332784,5169ED9468C014ABD1E3343F945FF979C8F642E752104EFF5D0A2FF9A461AE2F
Clang 22.1.8 GNU target,rxvm,1212416,1016992,E2D1755CC02538F769592DC68FFBE5DC76FA246DCD2C10919D3312A2404673A8
Clang 22.1.8 GNU target,rxbvm,1204224,1012784,0C9715D9696F90CAECBBF3150515CAD03A113F759672CF0B5A522834F0202C06
