workload,vm,gcc_median,clang_median,metric,clang_over_gcc,gcc_n,clang_n,gcc_relative_mad_percent,clang_relative_mad_percent
Sieve,rxvm,2254336000.000000,2402338000.000000,elapsed_ns,0.938393,10,10,0.315082,0.771478
Sieve,rxbvm,2734896000.000000,2490960500.000000,elapsed_ns,1.097928,10,10,0.496253,1.527202
Permute,rxvm,4255220500.000000,4060441000.000000,elapsed_ns,1.047970,10,10,0.792380,1.369211
Permute,rxbvm,5545304000.000000,4188966000.000000,elapsed_ns,1.323788,10,10,0.438686,1.079073
Bounce,rxvm,2404742500.000000,2639959500.000000,elapsed_ns,0.910901,20,10,1.306959,1.312501
Bounce,rxbvm,3242232000.000000,2491256500.000000,elapsed_ns,1.301444,10,10,1.338892,0.579547
Richards,rxvm,15077003000.000000,16306328000.000000,elapsed_ns,0.924611,10,10,0.369636,0.512516
Richards,rxbvm,15540876500.000000,16208475000.000000,elapsed_ns,0.958812,10,10,0.870240,0.627311
Base64,rxvm,4719787500.000000,4118779000.000000,elapsed_ns,1.145919,10,10,0.411057,0.159404
Base64,rxbvm,5068002500.000000,4051180500.000000,elapsed_ns,1.250994,10,10,0.290055,0.379951
Towers,rxvm,8289640000.000000,8746482500.000000,elapsed_ns,0.947768,20,10,0.621468,0.427692
Towers,rxbvm,8432149500.000000,8882078000.000000,elapsed_ns,0.949344,10,10,0.528554,0.460534
RexxCPS,rxvm,9486594.500000,9188302.000000,benchmark_rate,0.968556,10,10,0.488958,1.473509
RexxCPS,rxbvm,8771750.000000,9033640.000000,benchmark_rate,1.029856,10,20,1.671656,1.191961
