platform,compiler,host,rxvm_clauses_per_second,rxbvm_clauses_per_second,oorexx_clauses_per_second,regina_clauses_per_second,netrexx_clauses_per_second,rxvm_over_oorexx,rxbvm_over_oorexx,rxvm_over_regina,rxbvm_over_regina,netrexx_identity,note
macOS,AppleClang 21.0.0,Apple M5,37928815.500000,35545839.500000,38090552.000000,32157585.500000,46030212.000000,0.995754,0.933193,1.179467,1.105364,javac Java 8 class,Different ARM64 hardware; retained formal session
Linux,GCC 15.2.0,Intel i5-1135G7,13716335.500000,13312358.000000,11669765.500000,12502519.500000,7980203.500000,1.175374,1.140756,1.097086,1.064774,javac Java 8 class,Same CPU model as Windows
Linux,Clang 21.1.8,Intel i5-1135G7,13817652.000000,13864294.500000,11861170.000000,12646678.000000,7735307.000000,1.164948,1.168881,1.092591,1.096280,javac Java 8 class,Separate Linux compiler session
Windows baseline,MinGW GCC 15.2.0,Intel i5-1135G7,9441205.500000,8759043.500000,15785329.500000,15192167.000000,16904199.500000,0.598100,0.554885,0.621452,0.576550,ECJ Java 8 class,Supported baseline
Windows current,MinGW GCC 15.2.0,Intel i5-1135G7,9486594.500000,8771750.000000,15698674.000000,15043302.500000,19032852.500000,0.604293,0.558757,0.630619,0.583100,exact retained macOS/Linux Java 8 class,Same-session compiler comparison plus separate exact-class control
Windows current,Clang 22.1.8 GNU target,Intel i5-1135G7,9188302.000000,9033640.000000,15698674.000000,15043302.500000,19032852.500000,0.585292,0.575440,0.610790,0.600509,exact retained macOS/Linux Java 8 class,Same-session compiler comparison plus separate exact-class control
