workload,vm,metric,pairs,control_median,candidate_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total,guard_hit
RXPA-Reentrant,rxbvm,elapsed_ns,12,1228427500.000000,1478704500.000000,12.942200,19.162760,20.675727,22.008581,24.427150,20.382448,18.473761,22.291134,clear_adverse,0,12,yes
RXPA-Reentrant,rxtvm,elapsed_ns,12,1235988500.000000,1414212000.000000,11.060924,13.629516,14.406611,15.651766,17.278532,14.387105,13.315358,15.458851,clear_adverse,0,12,yes
RXPA-Legacy,rxbvm,elapsed_ns,12,1230481000.000000,1479552000.000000,15.775530,18.193139,20.052935,22.248703,22.743388,19.792936,18.039807,21.546065,clear_adverse,0,12,yes
RXPA-Legacy,rxtvm,elapsed_ns,12,1232393000.000000,1422256500.000000,11.975254,15.046155,15.685945,17.721911,19.241232,16.032255,14.704983,17.359528,clear_adverse,0,12,yes
RXPA-Reentrant-Lifecycle,rxbvm,elapsed_ns,12,15343500.000000,15540000.000000,-0.876566,-0.195587,0.403287,2.633042,4.234666,1.104973,-0.013726,2.223673,noisy_inconclusive,4,12,no
RXPA-Reentrant-Lifecycle,rxtvm,elapsed_ns,12,15426500.000000,15548000.000000,-0.941450,-0.138464,0.522885,0.973392,3.657821,0.641824,-0.147413,1.431060,noisy_inconclusive,4,12,no
RXPA-Legacy-Lifecycle,rxbvm,elapsed_ns,12,15325000.000000,15388500.000000,-1.625805,-0.530552,0.721938,1.084080,2.686862,0.454440,-0.282523,1.191404,noisy_inconclusive,4,12,no
RXPA-Legacy-Lifecycle,rxtvm,elapsed_ns,12,15403000.000000,15439500.000000,-0.747712,-0.174378,0.623794,1.015925,2.145665,0.547015,-0.045363,1.139393,noisy_inconclusive,4,12,no
Sieve,rxbvm,elapsed_ns,12,1063593000.000000,1057977500.000000,-1.077465,-0.799531,-0.554089,-0.120316,1.123757,-0.358407,-0.770632,0.053818,noisy_inconclusive,9,12,no
Sieve,rxtvm,elapsed_ns,12,963037000.000000,972435500.000000,-0.851227,-0.113803,1.244542,2.279679,5.411139,1.485589,0.175391,2.795786,clear_adverse,3,12,no
RexxCPS,rxbvm,benchmark_rate,12,44778011.500000,44677862.000000,-1.140658,-0.525191,0.184846,0.632636,1.111682,0.033457,-0.453125,0.520039,noisy_inconclusive,7,12,no
RexxCPS,rxtvm,benchmark_rate,12,45448949.500000,45308139.500000,-3.719089,-0.578715,0.232886,0.663680,2.693412,-0.037650,-1.116279,1.040978,noisy_inconclusive,7,12,no
