rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,4200000,5,1,7,candidate,"PARSEWORDS3_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r5,r1) | SCOPY_REG_REG(r6,r2) | SCOPY_REG_REG(r7,r3)","r1=R11;r2=R5;r3=R42;r4=R47;r5=R52;r6=R40;r7=R56","benchmark_rexxcps_levelb_opt",881
2,4200000,5,1,7,candidate,"SCOPY_REG_REG(r1,r2) | PARSEWORDS3_REG_REG_REG_REG(r3,r4,r5,r1) | SCOPY_REG_REG(r6,r3) | SCOPY_REG_REG(r7,r4)","r1=R47;r2=R60;r3=R11;r4=R5;r5=R42;r6=R52;r7=R40","benchmark_rexxcps_levelb_opt",878
3,3360000,2,1,5,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | STEMGET_REG_REG_REG(r3,r4,r1) | SCOPY_REG_REG(r1,r3) | STOD_REG(r1)","r1=R72;c1=string@34264;r2=R51;r3=R65;r4=R4","benchmark_rexxcps_levelb_opt",531
4,3360000,4,1,7,candidate,"LOAD_REG_STRING(r1,c1) | SCOPY_REG_REG(r2,r1) | PARSEWORDS3_REG_REG_REG_REG(r3,r4,r5,r2) | SCOPY_REG_REG(r6,r3)","r1=R60;c1=string@51432;r2=R47;r3=R11;r4=R5;r5=R42;r6=R52","benchmark_rexxcps_levelb_opt",875
5,2520000,3,1,8,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | SCOPY_REG_REG(r4,r3) | PARSEWORDS3_REG_REG_REG_REG(r5,r6,r7,r4)","r1=R56;r2=R42;r3=R60;c1=string@53856;r4=R48;r5=R10;r6=R3;r7=R43","benchmark_rexxcps_levelb_opt",892
6,2520000,3,1,7,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | LOAD_REG_STRING(r5,c1) | SCOPY_REG_REG(r6,r5)","r1=R40;r2=R5;r3=R56;r4=R42;r5=R60;c1=string@53856;r6=R48","benchmark_rexxcps_levelb_opt",889
7,2520000,3,1,8,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | SCOPY_REG_REG(r5,r6) | LOAD_REG_STRING(r7,c1)","r1=R52;r2=R11;r3=R40;r4=R5;r5=R56;r6=R42;r7=R60;c1=string@53856","benchmark_rexxcps_levelb_opt",886
8,1680000,1,1,8,candidate,"BRF_ID_REG(c1,r1) | CONCAT_REG_STRING_REG(r2,c2,r3) | CONCAT_REG_STRING_REG(r4,c2,r3) | STEMGET_REG_REG_REG(r5,r6,r4)","c1=label@641;r1=R72;r2=R75;c2=string@34264;r3=R51;r4=R79;r5=R71;r6=R4","benchmark_rexxcps_levelb_opt",597
9,1680000,1,1,7,candidate,"BRT_ID_REG(c1,r1) | CONCAT_REG_STRING_REG(r2,c2,r3) | STEMGET_REG_REG_REG(r4,r5,r2) | SCOPY_REG_REG(r2,r4)","c1=label@647;r1=R67;r2=R72;c2=string@34264;r3=R51;r4=R65;r5=R4","benchmark_rexxcps_levelb_opt",528
10,1680000,2,1,7,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | CONCAT_REG_REG_STRING(r3,r1,c2) | STEMGET_REG_REG_REG(r1,r4,r3) | REQ_REG_REG_STRING(r3,r1,c3)","r1=R76;r2=R41;c1=string@42520;r3=R81;c2=string@17520;r4=R8;c3=string@1272","benchmark_rexxcps_levelb_opt",665
11,1680000,2,1,6,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | STEMGET_REG_REG_REG(r2,r3,r1) | REQ_REG_REG_STRING(r1,r2,c2) | BRF_ID_REG(c3,r1)","r1=R81;r2=R76;c1=string@17520;r3=R8;c2=string@1272;c3=label@688","benchmark_rexxcps_levelb_opt",669
12,1680000,1,1,6,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | CONCAT_REG_STRING_REG(r3,c1,r2) | STEMGET_REG_REG_REG(r4,r5,r3) | SCOPY_REG_REG(r3,r4)","r1=R75;c1=string@34264;r2=R51;r3=R79;r4=R71;r5=R4","benchmark_rexxcps_levelb_opt",600
13,1680000,1,1,5,candidate,"DADD_REG_REG_DECIMAL(r1,r1,c1) | DCOPY_REG_REG(r2,r1) | DTOS_REG(r2) | STEMSET_REG_REG_REG(r3,r4,r2)","r1=R79;c1=decimal@40368;r2=R76;r3=R4;r4=R75","benchmark_rexxcps_levelb_opt",617
14,1680000,1,1,4,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | LOAD_REG_INT(r3,c1) | STRLEN_REG_REG(r3,r1)","r1=R71;r2=R25;r3=R72;c1=int:0","benchmark_rexxcps_levelb_opt",553
15,1680000,1,1,4,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | REQ_REG_REG_STRING(r1,r1,c1) | BRF_ID_REG(c2,r1)","r1=R72;r2=R25;c1=string@39024;c2=label@593","benchmark_rexxcps_levelb_opt",579
16,1680000,1,1,6,candidate,"DCOPY_REG_REG(r1,r2) | DTOS_REG(r1) | STEMSET_REG_REG_REG(r3,r4,r1) | DEQ_REG_REG_DECIMAL(r2,r5,c1)","r1=R76;r2=R79;r3=R4;r4=R75;r5=R25;c1=decimal@40800","benchmark_rexxcps_levelb_opt",621
17,1680000,1,1,9,candidate,"DGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | CONCAT_REG_STRING_REG(r4,c2,r5) | STEMGET_REG_REG_REG(r6,r7,r4)","r1=R67;r2=R25;r3=R68;c1=label@647;r4=R72;c2=string@34264;r5=R51;r6=R65;r7=R4","benchmark_rexxcps_levelb_opt",524
18,1680000,1,1,8,candidate,"DLT_REG_REG_DECIMAL(r1,r2,c1) | BRF_ID_REG(c2,r1) | CONCAT_REG_STRING_REG(r3,c3,r4) | CONCAT_REG_STRING_REG(r5,c3,r4)","r1=R72;r2=R25;c1=decimal@39576;c2=label@641;r3=R75;c3=string@34264;r4=R51;r5=R79","benchmark_rexxcps_levelb_opt",593
19,1680000,1,1,4,candidate,"DTOS_REG(r1) | LOAD_REG_INT(r2,c1) | STRLEN_REG_REG(r2,r1) | BR_ID(c2)","r1=R71;r2=R72;c1=int:0;c2=label@566","benchmark_rexxcps_levelb_opt",556
20,1680000,1,1,7,candidate,"DTOS_REG(r1) | STEMSET_REG_REG_REG(r2,r3,r1) | DEQ_REG_REG_DECIMAL(r4,r5,c1) | BRF_ID_REG(c2,r4)","r1=R76;r2=R4;r3=R75;r4=R79;r5=R25;c1=decimal@40800;c2=label@641","benchmark_rexxcps_levelb_opt",624
21,1680000,1,1,4,candidate,"SCOPY_REG_REG(r1,r2) | STOD_REG(r1) | DADD_REG_REG_DECIMAL(r1,r1,c1) | DCOPY_REG_REG(r3,r1)","r1=R79;r2=R71;c1=decimal@40368;r3=R76","benchmark_rexxcps_levelb_opt",612
22,1680000,1,1,4,candidate,"SCOPY_REG_REG(r1,r2) | STOD_REG(r1) | DGT_REG_REG_REG(r1,r3,r1) | BRF_ID_REG(c1,r1)","r1=R72;r2=R65;r3=R25;c1=label@553","benchmark_rexxcps_levelb_opt",539
