cell,vm,null,endlife,copy,icopy,fcopy,scopy,dcopy,bcopy,result
canonical-noopt,rxvm,1359139,1301489,109152,1127115,403,801506,13900,4200,0
canonical-noopt,rxbvm,1359142,1301497,109152,1127115,403,801509,13900,4200,0
canonical-opt,rxvm,1359142,1379697,109152,1125713,403,805703,11100,8400,0
canonical-opt,rxbvm,1359145,1379705,109152,1125713,403,805706,11100,8400,0
opaque-noopt,rxvm,14325,13507,1245,11525,7,8396,139,42,0
opaque-noopt,rxbvm,14325,13507,1245,11525,7,8396,139,42,0
opaque-opt,rxvm,14328,14326,1245,11511,7,8491,111,84,0
opaque-opt,rxbvm,14325,14318,1245,11511,7,8488,111,84,0
