artifact,baseline_bytes,candidate_bytes,delta_bytes,delta_pct,guard_hit
rxc,2599520,2616448,16928,0.651197,0
rxas,529208,529208,0,0.000000,0
rxlink,145416,145416,0,0.000000,0
rxdas,195048,195048,0,0.000000,0
rxvm,899224,916168,16944,1.884291,0
rxbvm,882840,899768,16928,1.917448,0
rxcexits.rxbin,1210849,1460028,249179,20.578867,1
generic.rxas,106013,112723,6710,6.329412,1
generic.rxbin,32741,35248,2507,7.657066,0
generic-linked.rxbin,21065,7440,-13625,-64.680750,0
parse_frozen.rxas,80985,86773,5788,7.147003,1
parse_frozen-linked.rxbin,23004,23940,936,4.068858,0
rexxcps-linked.rxbin,209273,195599,-13674,-6.534049,0
richards-linked.rxbin,16358,16358,0,0.000000,0
