workload,metric,vm,image,n,min,median,mean,max,relative_mad_pct,span_pct
generic,elapsed_seconds,rxvm,baseline,12,2.989082,3.089790,3.089944,3.186622,1.323294,6.608711
generic,elapsed_seconds,rxvm,candidate,12,0.282811,0.284340,0.286526,0.304174,0.465450,7.553726
generic,elapsed_seconds,rxbvm,baseline,12,2.976800,3.049899,3.052634,3.117909,1.111216,4.740291
generic,elapsed_seconds,rxbvm,candidate,12,0.277122,0.282578,0.282702,0.287427,0.812170,3.718638
parse_frozen,elapsed_seconds,rxvm,baseline,12,1.676355,1.697453,1.697490,1.718181,0.429327,2.495042
parse_frozen,elapsed_seconds,rxvm,candidate,12,0.043475,0.046319,0.045967,0.047712,1.706606,9.746253
parse_frozen,elapsed_seconds,rxbvm,baseline,12,1.674496,1.698868,1.710503,1.791468,0.376047,6.985503
parse_frozen,elapsed_seconds,rxbvm,candidate,12,0.043078,0.043708,0.044009,0.045633,0.577935,5.931416
richards,elapsed_seconds,rxvm,baseline,36,0.574653,0.580392,0.580502,0.588310,0.417813,2.376581
richards,elapsed_seconds,rxvm,candidate,36,0.575638,0.579819,0.580904,0.590497,0.300871,2.581345
richards,elapsed_seconds,rxbvm,baseline,36,0.579158,0.582716,0.583534,0.587924,0.303589,1.513565
richards,elapsed_seconds,rxbvm,candidate,36,0.575557,0.583181,0.583592,0.593568,0.304656,3.129333
rexxcps,cps,rxvm,baseline,12,1176464.000000,1233822.000000,1229597.083333,1239846.000000,0.299679,5.387500
rexxcps,cps,rxvm,candidate,12,1782412.000000,1792683.000000,1792568.916667,1801762.000000,0.213284,1.085608
rexxcps,cps,rxbvm,baseline,12,1179269.000000,1221808.000000,1217564.833333,1226182.000000,0.337082,3.978142
rexxcps,cps,rxbvm,candidate,12,1767409.000000,1778033.500000,1777795.250000,1783262.000000,0.262987,0.896963
