category,artifact,image,path,bytes,sha256
product,rxc,baseline,cmake-build-nr14-baseline/bin/rxc,2599520,75c3cb5cef701067e5a40de51e46826be053363f94dfa298c46a349cbff0a719
product,rxc,candidate,cmake-build-nr14-candidate/bin/rxc,2616448,d34e19e573017b77785d1b5f739dc8912575dd4cc70c2ebeb36d1a99e5e7924d
product,rxas,baseline,cmake-build-nr14-baseline/bin/rxas,529208,1e13f3ae94729b791890896ad02a92b2c9780f318941703856d103af5f4cea36
product,rxas,candidate,cmake-build-nr14-candidate/bin/rxas,529208,ef07618978cbb262b35fc1ddb6dc7dc353efe64e538a84bb76d38a3fc7455ba1
product,rxlink,baseline,cmake-build-nr14-baseline/bin/rxlink,145416,a1c9ea15a25e17e81bcdd963bc5694ddf349fb8eba20daced8c9ebcb7feae2a8
product,rxlink,candidate,cmake-build-nr14-candidate/bin/rxlink,145416,0de69718abe82e64160788bebb1c317f83ae8341a38b6b103f4578c11df7562b
product,rxdas,baseline,cmake-build-nr14-baseline/bin/rxdas,195048,035fd115cdc3942d59141a26fa154dbd2492f4108286783946e38aff52592016
product,rxdas,candidate,cmake-build-nr14-candidate/bin/rxdas,195048,15e67454aca098409eb62d6f127fe0920d79a694f78aa602e4f93caebc50cf75
product,rxvm,baseline,cmake-build-nr14-baseline/bin/rxvm,899224,c2ac29da0a300c62353c70407363d894dd1c0b852ae1b52abbcb01d8f24eda1c
product,rxvm,candidate,cmake-build-nr14-candidate/bin/rxvm,916168,b14aebab11d08f5259b60913a68535658026329dd4c3fd788341b1699a20bbdc
product,rxbvm,baseline,cmake-build-nr14-baseline/bin/rxbvm,882840,35d915769d8132c2478cbba2117b1c796f12156a4c91ead657b3e16d28308f60
product,rxbvm,candidate,cmake-build-nr14-candidate/bin/rxbvm,899768,443040da9c4d8d2a48dbb636e41daca7fb450e005653032b977bb1fb9e1b4fe7
compiler-exit,rxcexits.rxbin,baseline,cmake-build-nr14-baseline/bin/rxcexits.rxbin,1210849,97f2ac92753f2699c7163da90bc87311148c08e881666750c7ee45ed68928b09
compiler-exit,rxcexits.rxbin,candidate,cmake-build-nr14-candidate/bin/rxcexits.rxbin,1460028,d296aedbb96782e2481ed153e152e0b1b72126a189993a8b2dc9c227235fde8c
workload,generic.rxas,baseline,/tmp/nr14-hybrid-images.aoZms1/baseline-generic.rxas,106013,fa33c24cb95eef31a158adba7e2e453744bbfe790caedf5844f80a256412e571
workload,generic.rxas,candidate,/tmp/nr14-hybrid-images.aoZms1/candidate-generic.rxas,112723,148f16d229975f3234a5b4adb562a3f98acb8a8bd7f123cf14718b63edeea81f
workload,generic.rxbin,baseline,/tmp/nr14-hybrid-images.aoZms1/baseline-generic.rxbin,32741,02864d4fb1e3dfbdf750106f0a8733d18d68cbd1538dd61c44cc01983c77c9ea
workload,generic.rxbin,candidate,/tmp/nr14-hybrid-images.aoZms1/candidate-generic.rxbin,35248,d9b976dc60c46002776f619c8e6f668c79aa2c77f8e6e1c4a8826e9f641e1e38
workload,generic-linked.rxbin,baseline,/tmp/nr14-hybrid-images.aoZms1/baseline-generic-linked.rxbin,21065,ff026ed056996b9e2afb8eceb105ff60dff72dea5a67522ca3cacc3130024016
workload,generic-linked.rxbin,candidate,/tmp/nr14-hybrid-images.aoZms1/candidate-generic-linked.rxbin,7440,8ca83cdb64b0df101f21015d4fe43a6668370d52f13e6fb2c379915c9962a572
workload,parse_frozen.rxas,baseline,cmake-build-nr14-baseline/tests/benchmarks/benchmark_parse_frozen_opt.rxas,80985,88694f9eff4e5567a7155c37f14684413a33f5b2f7331024d2154e66cc64b9bf
workload,parse_frozen.rxas,candidate,cmake-build-nr14-candidate/tests/benchmarks/benchmark_parse_frozen_opt.rxas,86773,06e35b3d294d912a3daca7cdac910fd660f94084c2ccf4f755b0a3722416f850
workload,parse_frozen-linked.rxbin,baseline,/tmp/nr14-hybrid-images.aoZms1/baseline-parse_frozen-linked.rxbin,23004,f6ddb322b05f70b5272edbcbe41cad16170a2d5ef0075a576d98df124f595a10
workload,parse_frozen-linked.rxbin,candidate,/tmp/nr14-hybrid-images.aoZms1/candidate-parse_frozen-linked.rxbin,23940,77809ea024dec8e899c6d3cbaa7dce4636ab82939ee00658b88572ca0ff70e20
workload,rexxcps-linked.rxbin,baseline,/tmp/nr14-hybrid-images.aoZms1/baseline-rexxcps_levelb-linked.rxbin,209273,8e49b8d82aa0a6c872c9aa08ec97bc3b10ec9bb82529c2015c4cea3d15a96c8a
workload,rexxcps-linked.rxbin,candidate,/tmp/nr14-hybrid-images.aoZms1/candidate-rexxcps_levelb-linked.rxbin,195599,e63425d71ab296ffdb4e8925f1c546e2d210fde311d1d8769c8b5687bb9ac440
workload,richards-linked.rxbin,baseline,/tmp/nr14-hybrid-images.aoZms1/baseline-awfy_richards-linked.rxbin,16358,613d2a0866348522da9c2ad284fbeefdf0a59bf827030e067e88392194f91cad
workload,richards-linked.rxbin,candidate,/tmp/nr14-hybrid-images.aoZms1/candidate-awfy_richards-linked.rxbin,16358,613d2a0866348522da9c2ad284fbeefdf0a59bf827030e067e88392194f91cad
source,parse_frozen_generic.crexx,candidate,tests/benchmarks/parse_frozen_generic.crexx,4043,fe97f3fe10662652c478532eed368403d3bef91e24fd248fc3d0b429ada09d59
source,nr14_generic_prepared_compare.crexx,candidate,performance/pocs/nr14_generic_prepared_compare.crexx,2817,383f090149ee243a61c7dcf22cb8e651823a1bcb835897ade687da910d17ff30
