round,order,window,elapsed_seconds,user_seconds,system_seconds,peak_rss_bytes
1,20-100,20,0.27,0.24,0.02,233766912
1,20-100,100,0.28,0.25,0.02,233668608
2,100-20,20,0.27,0.24,0.02,233652224
2,100-20,100,0.28,0.25,0.02,199114752
3,20-100,20,0.27,0.24,0.02,233619456
3,20-100,100,0.28,0.25,0.02,233652224
4,100-20,20,0.27,0.24,0.02,233635840
4,100-20,100,0.28,0.25,0.02,233619456
5,20-100,20,0.27,0.24,0.02,233750528
5,20-100,100,0.28,0.25,0.02,233668608
6,100-20,20,0.26,0.24,0.02,233635840
6,100-20,100,0.28,0.25,0.02,233619456
7,20-100,20,0.27,0.24,0.02,233734144
7,20-100,100,0.28,0.25,0.02,233635840
8,100-20,20,0.27,0.24,0.02,233750528
8,100-20,100,0.28,0.25,0.02,233619456
9,20-100,20,0.27,0.24,0.02,233734144
9,20-100,100,0.28,0.25,0.02,233603072
10,100-20,20,0.27,0.24,0.02,233652224
10,100-20,100,0.28,0.25,0.02,233717760
11,20-100,20,0.27,0.24,0.02,233766912
11,20-100,100,0.28,0.25,0.02,233635840
12,100-20,20,0.27,0.24,0.02,233668608
12,100-20,100,0.28,0.25,0.02,233603072
