rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
36,40000,1,1,5,candidate,"IADD_REG_REG_INT(r1,r1,c1) | IMOD_REG_REG_INT(r1,r1,c2) | ISETATTR1_REG_INT_REG(r2,c3,r1)","r1=R3;c1=int:13849;c2=int:65536;r2=R5;c3=int:1","benchmark_awfy_bounce_noopt",178
37,40000,1,1,4,candidate,"IMOD_REG_REG_INT(r1,r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LINKATTR1_REG_REG_INT(r1,r2,c2)","r1=R3;c1=int:65536;r2=R5;c2=int:1","benchmark_awfy_bounce_noopt",182
38,40000,1,1,4,candidate,"IMULT_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | IADD_REG_REG_INT(r1,r1,c2)","r1=R3;r2=R2;c1=int:1309;c2=int:13849","benchmark_awfy_bounce_noopt",172
39,40000,1,1,3,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LINKATTR1_REG_REG_INT(r2,r1,c1) | RET_REG(r2)","r1=R5;c1=int:1;r2=R3","benchmark_awfy_bounce_noopt",186
40,40000,1,1,5,candidate,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IMULT_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1)","r1=R2;r2=R5;c1=int:1;r3=R3;c2=int:1309","benchmark_awfy_bounce_noopt",168
41,40000,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LINKATTR1_REG_REG_INT(r1,r2,c2) | IMULT_REG_REG_INT(r3,r1,c3)","c1=int:18;c2=int:1;r1=R2;r2=R5;r3=R3;c3=int:1309","benchmark_awfy_bounce_noopt",164
42,40000,1,1,4,candidate,"UNLINK_REG(r1) | IADD_REG_REG_INT(r2,r2,c1) | IMOD_REG_REG_INT(r2,r2,c2)","r1=R2;r2=R3;c1=int:13849;c2=int:65536","benchmark_awfy_bounce_noopt",176
43,35900,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2) | RET_REG(r3)","r1=R9;c1=int:4;r2=R2;r3=R0;c2=int:1","benchmark_awfy_bounce_noopt",509
44,35800,1,1,5,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | LOAD_REG_INT(r3,c2) | LINKATTR1_REG_REG_INT(r2,r1,c2)","r1=R9;c1=int:2;r2=R7;r3=R0;c2=int:1","benchmark_awfy_bounce_noopt",370
45,35800,1,1,6,candidate,"ISUB_REG_INT_REG(r1,c1,r1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | LOAD_REG_INT(r3,c3)","r1=R7;c1=int:0;r2=R9;c2=int:2;r3=R0;c3=int:1","benchmark_awfy_bounce_noopt",366
46,35800,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ILT_REG_REG_INT(r4,r2,c2)","r1=R0;c1=int:1;r2=R7;r3=R9;r4=R6;c2=int:0","benchmark_awfy_bounce_noopt",374
47,35800,1,1,4,candidate,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r1) | ISUB_REG_INT_REG(r3,c1,r3)","r1=R6;r2=R3;r3=R7;c1=int:0","benchmark_awfy_bounce_noopt",361
48,35800,1,1,5,candidate,"UNLINK_REG(r1) | ISUB_REG_INT_REG(r2,c1,r2) | ISETATTR1_REG_INT_REG(r3,c2,r2)","r1=R6;r2=R7;c1=int:0;r3=R9;c2=int:2","benchmark_awfy_bounce_noopt",364
49,35500,1,1,7,candidate,"ISUB_REG_INT_REG(r1,c1,r2) | ISETATTR1_REG_INT_REG(r3,c2,r1) | LOAD_REG_INT(r4,c3)","r1=R5;c1=int:0;r2=R2;r3=R9;c2=int:4;r4=R0;c3=int:1","benchmark_awfy_bounce_noopt",460
50,35500,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | ILT_REG_REG_INT(r4,r2,c3)","r1=R0;c1=int:1;r2=R7;r3=R9;c2=int:3;r4=R6;c3=int:0","benchmark_awfy_bounce_noopt",468
51,35500,1,1,4,candidate,"SWAP_REG_REG(r1,r2) | UNLINK_REG(r1) | ISUB_REG_INT_REG(r2,c1,r3)","r1=R3;r2=R5;c1=int:0;r3=R2","benchmark_awfy_bounce_noopt",455
52,35500,1,1,6,candidate,"UNLINK_REG(r1) | ISUB_REG_INT_REG(r2,c1,r3) | ISETATTR1_REG_INT_REG(r4,c2,r2)","r1=R3;r2=R5;c1=int:0;r3=R2;r4=R9;c2=int:4","benchmark_awfy_bounce_noopt",458
53,35400,1,1,7,candidate,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | IGT_REG_REG_INT(r4,r2,c3)","r1=R0;c1=int:1;r2=R7;r3=R9;c2=int:3;r4=R6;c3=int:500","benchmark_awfy_bounce_noopt",419
54,30000,3,1,7,candidate,"ISETATTR1_REG_INT_REG(r1,c1,r2) | SETTP_REG_INT(r3,c2) | CALL1_REG_FUNC_REG(r4,c3,r3)","r1=R2;c1=int:1;r2=R7;r3=R0;c2=int:256;r4=R4;c3=func@10400","benchmark_awfy_bounce_noopt",222
55,20000,2,1,6,candidate,"IMOD_REG_REG_INT(r1,r2,c1) | ISUB_REG_REG_INT(r1,r1,c2) | ISETATTR1_REG_INT_REG(r3,c3,r1)","r1=R6;r2=R4;c1=int:300;c2=int:150;r3=R2;c3=int:2","benchmark_awfy_bounce_noopt",248
56,10200,3,1,5,candidate,"SETATTRS_REG_INT(r1,c1) | SETOBJTYPE_REG_STRING(r1,c2) | NUMSCI_INT_INT_INT(c3,c4,c4)","r1=R0;c1=int:2;c2=string@8;c3=int:18;c4=int:1","benchmark_awfy_bounce_noopt",143
57,10000,1,1,8,candidate,"BRT_ID_REG(c1,r1) | MINLINKATTR1_REG_REG_REG_INT(r2,r3,r4,c2) | MKREF_REG_REG(r5,r6)","c1=label@578;r1=R6;r2=R7;r3=R0;r4=R4;c2=int:0;r5=R9;r6=R2","benchmark_awfy_bounce_noopt",551
58,10000,1,1,3,candidate,"COPY_REG_REG(r1,r2) | UNLINK_REG(r1) | INC_REG(r3)","r1=R7;r2=R10;r3=R4","benchmark_awfy_bounce_noopt",569
59,10000,1,1,6,candidate,"IMOD_REG_REG_INT(r1,r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | SETTP_REG_INT(r3,c3)","r1=R7;c1=int:500;r2=R2;c2=int:1;r3=R0;c3=int:256","benchmark_awfy_bounce_noopt",218
60,10000,1,1,7,candidate,"IMOD_REG_REG_INT(r1,r2,c1) | ISETATTR1_REG_INT_REG(r3,c2,r1) | SETTP_REG_INT(r4,c3)","r1=R6;r2=R4;c1=int:500;r3=R2;c2=int:3;r4=R0;c3=int:256","benchmark_awfy_bounce_noopt",233
61,10000,1,1,4,candidate,"ISUB_REG_REG_INT(r1,r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | RET_REG(r2)","r1=R6;c1=int:150;r2=R2;c2=int:4","benchmark_awfy_bounce_noopt",271
62,10000,1,1,6,candidate,"ISUB_REG_REG_INT(r1,r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | SETTP_REG_INT(r3,c3)","r1=R6;c1=int:150;r2=R2;c2=int:2;r3=R0;c3=int:256","benchmark_awfy_bounce_noopt",252
63,10000,1,1,7,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | MKREF_REG_REG(r4,r5) | SETTP_REG_INT(r4,c2)","r1=R7;r2=R0;r3=R4;c1=int:0;r4=R9;r5=R2;c2=int:768","benchmark_awfy_bounce_noopt",554
64,10000,1,1,5,candidate,"MKREF_REG_REG(r1,r2) | SETTP_REG_INT(r1,c1) | CALL1_REG_FUNC_REG(r3,c2,r1)","r1=R9;r2=R2;c1=int:768;r3=R10;c2=func@11656","benchmark_awfy_bounce_noopt",559
65,10000,1,1,4,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | UNLINK_REG(r1) | LINKREF_REG_REG(r1,r2)","c1=int:18;c2=int:1;r1=R0;r2=R9","benchmark_awfy_bounce_noopt",202
66,10000,1,1,5,candidate,"SETOBJTYPE_REG_STRING(r1,c1) | NUMSCI_INT_INT_INT(c2,c3,c3) | UNLINK_REG(r2)","r1=R2;c1=string@9;c2=int:18;c3=int:1;r2=R0","benchmark_awfy_bounce_noopt",199
67,10000,1,1,3,candidate,"UNLINK_REG(r1) | INC_REG(r2) | BR_ID(c1)","r1=R7;r2=R4;c1=label@547","benchmark_awfy_bounce_noopt",572
68,5000,1,1,7,candidate,"BRT_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | GETATTRS_REG_REG_INT(r3,r4,c3)","c1=label@651;r1=R8;r2=R5;c2=int:1;r3=R11;r4=R0;c3=int:0","benchmark_awfy_bounce_noopt",591
69,5000,1,1,3,candidate,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | INC_REG(r3)","r1=R7;r2=R6;r3=R10","benchmark_awfy_bounce_noopt",643
70,5000,1,1,3,candidate,"ENDLIFE_REG(r1) | INC_REG(r2) | BR_ID(c1)","r1=R6;r2=R10;c1=label@587","benchmark_awfy_bounce_noopt",645
71,5000,1,1,6,candidate,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_REG(r3,r4,r1) | BRT_ID_REG(c2,r3)","r1=R11;r2=R0;c1=int:0;r3=R12;r4=R5;c2=label@641","benchmark_awfy_bounce_noopt",597
72,5000,1,1,6,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | LOAD_REG_INT(r4,c2)","r1=R8;r2=R10;r3=R9;c1=label@651;r4=R5;c2=int:1","benchmark_awfy_bounce_noopt",587
73,5000,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGT_REG_REG_REG(r4,r1,r2)","r1=R5;c1=int:1;r2=R11;r3=R0;c2=int:0;r4=R12","benchmark_awfy_bounce_noopt",594
74,5000,1,1,2,candidate,"UNLINK_REG(r1) | ENDLIFE_REG(r1) | ENDLIFE_REG(r2)","r1=R7;r2=R6","benchmark_awfy_bounce_noopt",641
75,200,2,1,5,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r3,r1) | BRT_ID_REG(c2,r2)","r1=R5;c1=int:100;r2=R6;r3=R4;c2=label@578","benchmark_awfy_bounce_noopt",544
76,200,2,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r1,r2)","r1=R4;c1=int:1;r2=R5;c2=int:100;r3=R6","benchmark_awfy_bounce_noopt",541
77,100,1,1,4,candidate,"ASSERTINITIALIZED_REG(r1) | NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r2)","r1=R16;c1=int:18;c2=int:1;r2=R0","benchmark_awfy_bounce_noopt",530
78,100,1,1,6,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | CALL_REG_FUNC(r4,c2)","r1=R4;r2=R5;r3=R1;c1=label@107;r4=R6;c2=func@5224","benchmark_awfy_bounce_noopt",64
79,100,1,1,4,candidate,"LOAD_REG_INT(r1,c1) | ISETATTR1_REG_INT_REG(r2,c2,r1) | RET_REG(r2)","r1=R2;c1=int:74755;r2=R0;c2=int:1","benchmark_awfy_bounce_noopt",153
80,100,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3)","r1=R1;c1=int:0;r2=R10;c2=int:1;r3=R9;c3=int:50","benchmark_awfy_bounce_noopt",578
81,100,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | LOAD_REG_INT(r1,c3) | ISETATTR1_REG_INT_REG(r2,c2,r1)","c1=int:18;c2=int:1;r1=R2;c3=int:74755;r2=R0","benchmark_awfy_bounce_noopt",149
82,100,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | NULL_REG(r1) | CALL_REG_FUNC(r2,c3)","c1=int:18;c2=int:1;r1=R0;r2=R2;c3=func@9352","benchmark_awfy_bounce_noopt",532
83,100,1,1,6,candidate,"SETOBJTYPE_REG_STRING(r1,c1) | NUMSCI_INT_INT_INT(c2,c3,c3) | LOAD_REG_INT(r2,c4)","r1=R0;c1=string@8;c2=int:18;c3=int:1;r2=R2;c4=int:74755","benchmark_awfy_bounce_noopt",146
84,100,1,1,4,candidate,"SETOBJTYPE_REG_STRING(r1,c1) | NUMSCI_INT_INT_INT(c2,c3,c3) | RET_REG(r1)","r1=R0;c1=string@10;c2=int:18;c3=int:1","benchmark_awfy_bounce_noopt",521
85,1,1,1,5,candidate,"BRF_ID_REG(c1,r1) | MINLINKATTR1_REG_REG_INT(r2,r3,c2) | STOI_REG(r2)","c1=label@39;r1=R4;r2=R5;r3=R0;c2=int:1","benchmark_awfy_bounce_noopt",27
86,1,1,1,5,candidate,"BRTPANDT_ID_REG_INT(c1,r1,c2) | COPY_REG_REG(r2,r1) | BR_ID(c3)","c1=label@13;r1=R12;c2=int:512;r2=R0;c3=label@16","benchmark_awfy_bounce_noopt",4
87,1,1,1,3,candidate,"CONCAT_REG_REG_REG(r1,r1,r2) | SAY_REG(r1) | SAY_STRING(c1)","r1=R10;r2=R2;c1=string@7928","benchmark_awfy_bounce_noopt",121
88,1,1,1,5,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | SCONCAT_REG_REG_STRING(r1,r1,c2) | ITOS_REG(r3)","r1=R10;c1=string@7368;r2=R1;c2=string@7520;r3=R2","benchmark_awfy_bounce_noopt",111
89,1,1,1,4,candidate,"ENDLIFE_REG(r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c1,r2)","r1=R6;r2=R1;r3=R10;c1=string@7368","benchmark_awfy_bounce_noopt",107
90,1,1,1,5,candidate,"GETATTRS_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r1,r1,c2) | BRF_ID_REG(c3,r1)","r1=R4;r2=R0;c1=int:0;c2=int:1;c3=label@39","benchmark_awfy_bounce_noopt",19
91,1,1,1,4,candidate,"IGETUNLINK_REG_REG(r1,r2) | ILT_REG_REG_INT(r2,r1,c1) | BRF_ID_REG(c2,r2)","r1=R1;r2=R5;c1=int:1;c2=label@58","benchmark_awfy_bounce_noopt",36
92,1,1,1,5,candidate,"IGTE_REG_REG_INT(r1,r1,c1) | BRF_ID_REG(c2,r1) | MINLINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R4;c1=int:1;c2=label@39;r2=R5;r3=R0","benchmark_awfy_bounce_noopt",23
93,1,1,1,2,candidate,"ITOS_REG(r1) | CONCAT_REG_REG_REG(r2,r2,r1) | SAY_REG(r2)","r1=R2;r2=R10","benchmark_awfy_bounce_noopt",119
94,1,1,1,4,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | SCONCAT_REG_REG_STRING(r2,r2,c2)","r1=R1;r2=R10;c1=string@7368;c2=string@7520","benchmark_awfy_bounce_noopt",109
95,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | GETATTRS_REG_REG_INT(r2,r3,c2) | IGTE_REG_REG_INT(r2,r2,c1)","r1=R1;c1=int:1;r2=R4;r3=R0;c2=int:0","benchmark_awfy_bounce_noopt",16
96,1,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | IGT_REG_REG_REG(r2,r1,r3) | BRT_ID_REG(c2,r2)","r1=R5;c1=int:1;r2=R4;r3=R1;c2=label@107","benchmark_awfy_bounce_noopt",61
97,1,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | IGT_REG_REG_REG(r3,r2,r4)","r1=R2;c1=int:0;r2=R5;c2=int:1;r3=R4;r4=R1","benchmark_awfy_bounce_noopt",58
98,1,1,1,4,candidate,"MINLINKATTR1_REG_REG_INT(r1,r2,c1) | STOI_REG(r1) | IGETUNLINK_REG_REG(r3,r1)","r1=R5;r2=R0;c1=int:1;r3=R1","benchmark_awfy_bounce_noopt",30
99,1,1,1,6,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | BRTPANDT_ID_REG_INT(c3,r1,c4) | COPY_REG_REG(r2,r1)","c1=int:18;c2=int:1;c3=label@13;r1=R12;c4=int:512;r2=R0","benchmark_awfy_bounce_noopt",0
100,1,1,1,3,candidate,"SAY_REG(r1) | SAY_STRING(c1) | RET_INT(c2)","r1=R10;c1=string@7928;c2=int:0","benchmark_awfy_bounce_noopt",125
101,1,1,1,3,candidate,"SCONCAT_REG_REG_STRING(r1,r1,c1) | ITOS_REG(r2) | CONCAT_REG_REG_REG(r1,r1,r2)","r1=R10;c1=string@7520;r2=R2","benchmark_awfy_bounce_noopt",115
102,1,1,1,3,candidate,"STOI_REG(r1) | IGETUNLINK_REG_REG(r2,r1) | ILT_REG_REG_INT(r1,r2,c1)","r1=R5;r2=R1;c1=int:1","benchmark_awfy_bounce_noopt",34
