variant,vm,mode,family,size,iterations,elapsed_us,checksum
opt,rxvm,get-hit,ascii,64,10000,38581,28587
opt,rxvm,get-miss,ascii,64,10000,33999,10000
opt,rxvm,set-existing,ascii,64,5000,17348,162276
opt,rxvm,set-new,ascii,64,1000,16974,1064
opt,rxvm,reset-default,ascii,64,10000,987,70
opt,rxvm,reset-selective,ascii,64,5000,35068,23893
opt,rxvm,multi-tail,ascii,64,10000,34827,28587
opt,rxvm,get-hit,ascii,1024,5000,138244,19560
opt,rxvm,get-hit,collision,256,2000,19847,7136
opt,rxvm,get-hit,unicode,64,5000,17441,14290
opt,rxvm,get-hit,long,64,5000,20533,14290
opt,rxvm,histogram,ascii,64,1000,39843,8000
opt,rxbvm,get-hit,ascii,64,10000,33982,28587
opt,rxbvm,get-miss,ascii,64,10000,35210,10000
opt,rxbvm,set-existing,ascii,64,5000,17535,162276
opt,rxbvm,set-new,ascii,64,1000,17142,1064
opt,rxbvm,reset-default,ascii,64,10000,1071,70
opt,rxbvm,reset-selective,ascii,64,5000,35242,23893
opt,rxbvm,multi-tail,ascii,64,10000,35275,28587
opt,rxbvm,get-hit,ascii,1024,5000,137433,19560
opt,rxbvm,get-hit,collision,256,2000,20088,7136
opt,rxbvm,get-hit,unicode,64,5000,17501,14290
opt,rxbvm,get-hit,long,64,5000,20499,14290
opt,rxbvm,histogram,ascii,64,1000,39164,8000
noopt,rxvm,get-hit,ascii,64,10000,34604,28587
noopt,rxvm,get-miss,ascii,64,10000,35034,10000
noopt,rxvm,set-existing,ascii,64,5000,17761,162276
noopt,rxvm,set-new,ascii,64,1000,16925,1064
noopt,rxvm,reset-default,ascii,64,10000,1010,70
noopt,rxvm,reset-selective,ascii,64,5000,35745,23893
noopt,rxvm,multi-tail,ascii,64,10000,39222,28587
noopt,rxvm,get-hit,ascii,1024,5000,149401,19560
noopt,rxvm,get-hit,collision,256,2000,19893,7136
noopt,rxvm,get-hit,unicode,64,5000,17850,14290
noopt,rxvm,get-hit,long,64,5000,20804,14290
noopt,rxvm,histogram,ascii,64,1000,40164,8000
noopt,rxbvm,get-hit,ascii,64,10000,34729,28587
noopt,rxbvm,get-miss,ascii,64,10000,34843,10000
noopt,rxbvm,set-existing,ascii,64,5000,17480,162276
noopt,rxbvm,set-new,ascii,64,1000,16959,1064
noopt,rxbvm,reset-default,ascii,64,10000,1104,70
noopt,rxbvm,reset-selective,ascii,64,5000,35222,23893
noopt,rxbvm,multi-tail,ascii,64,10000,35800,28587
noopt,rxbvm,get-hit,ascii,1024,5000,137484,19560
noopt,rxbvm,get-hit,collision,256,2000,20468,7136
noopt,rxbvm,get-hit,unicode,64,5000,17845,14290
noopt,rxbvm,get-hit,long,64,5000,20953,14290
noopt,rxbvm,histogram,ascii,64,1000,40662,8000
