profile,total_instructions,get_calls,set_calls,strlen,strchar,rxhash,imod,seq,linkattr1,minlinkattr1,setlinkattr1,unlink,copy,scopy,ret_copy_nonlocal,direct_bytecode_calls,frame_activations,frame_reuses,string_buffers,string_buffer_bytes,attribute_value_blocks,attribute_value_bytes,value_slots,value_slot_bytes
access-noopt-rxbvm-get-hit-ascii-64.csv,126010,1000,64,2064,6231,0,7231,1000,12064,4384,1128,9746,1065,2259,1000,2131,2132,2125,0,0,48,412672,1841,456568
access-noopt-rxbvm-get-miss-ascii-64.csv,172453,1000,64,1064,13375,0,13375,0,16208,384,1128,14890,1065,1259,1000,1131,1132,1126,0,0,48,412672,1838,455824
access-noopt-rxbvm-multi-tail-ascii-64.csv,148991,1000,128,2128,7517,0,8517,1178,14539,4007,1245,10595,1129,2452,1000,2196,2197,2190,0,0,83,670592,2881,714488
access-noopt-rxbvm-reset-default-ascii-64.csv,37569,1,1064,66,380,0,380,1,3219,386,129,2898,66,1261,2,1134,1135,1127,0,0,48,412672,1844,457312
access-noopt-rxbvm-set-existing-ascii-64.csv,67738,0,564,564,3303,0,3803,500,6636,2384,628,4818,565,1259,0,631,632,627,0,0,42,281728,1290,319920
access-noopt-rxvm-get-hit-ascii-64.csv,126010,1000,64,2064,6231,0,7231,1000,12064,4384,1128,9746,1065,2259,1000,2131,2132,2125,0,0,48,412672,1841,456568
access-noopt-rxvm-get-miss-ascii-64.csv,172453,1000,64,1064,13375,0,13375,0,16208,384,1128,14890,1065,1259,1000,1131,1132,1126,0,0,48,412672,1838,455824
access-noopt-rxvm-multi-tail-ascii-64.csv,148991,1000,128,2128,7517,0,8517,1178,14539,4007,1245,10595,1129,2452,1000,2196,2197,2190,0,0,83,670592,2881,714488
access-noopt-rxvm-reset-default-ascii-64.csv,37569,1,1064,66,380,0,380,1,3219,386,129,2898,66,1261,2,1134,1135,1127,0,0,48,412672,1844,457312
access-noopt-rxvm-set-existing-ascii-64.csv,67738,0,564,564,3303,0,3803,500,6636,2384,628,4818,565,1259,0,631,632,627,0,0,42,281728,1290,319920
access-opt-rxbvm-get-hit-ascii-1024.csv,259812,500,1024,2024,10477,0,10977,4131,33552,16228,1726,23803,1525,6647,500,1527,1528,1523,0,0,84,3507712,14296,3545408
access-opt-rxbvm-get-hit-ascii-16.csv,105696,1000,16,2016,5521,0,6521,1000,10730,4096,1032,8652,1017,1099,1000,1019,1020,1015,0,0,30,257920,1192,295616
access-opt-rxbvm-get-hit-ascii-256.csv,158214,1000,256,2256,8252,0,9252,1466,17513,6546,1434,13769,1257,2539,1000,1259,1260,1255,0,0,66,1031680,4312,1069376
access-opt-rxbvm-get-hit-collision-256.csv,812438,200,256,656,9120,0,9320,52740,118529,107671,457,64311,457,1739,200,459,460,455,2560,81920,66,1031680,4312,1069376
access-opt-rxbvm-get-hit-long-64.csv,396250,500,64,1064,36579,0,37079,527,39966,2441,625,38621,565,887,500,567,568,563,263,31104,48,412672,1816,450368
access-opt-rxbvm-get-hit-unicode-64.csv,91232,500,64,1064,6123,0,6623,500,9456,2384,628,8138,565,887,500,567,568,563,0,0,48,412672,1816,450368
access-opt-rxbvm-get-miss-ascii-64.csv,168125,1000,64,1064,13375,0,13375,0,16208,384,1128,14890,1065,1387,1000,1067,1068,1063,0,0,48,412672,1816,450368
access-opt-rxbvm-histogram-ascii-64.csv,297032,1003,1064,3167,10389,0,10389,1993,21263,6383,2136,13931,2068,5496,1003,2171,2172,2166,3,192,58,440448,1935,479880
access-opt-rxbvm-multi-tail-ascii-64.csv,140457,1000,128,2128,7517,0,8517,1178,14539,4007,1245,10595,1129,1580,1000,1132,1133,1128,0,0,83,670592,2856,708288
access-opt-rxbvm-reset-default-ascii-64.csv,33225,1,1064,66,380,0,380,1,3219,386,129,2898,67,1388,1,1068,1069,1064,0,0,54,543616,2344,581312
access-opt-rxbvm-reset-selective-ascii-64.csv,125684,500,1064,1564,6231,0,6731,1000,13064,4384,1128,10246,1065,2387,500,1567,1568,1563,0,0,48,412672,1816,450368
access-opt-rxbvm-set-existing-ascii-64.csv,64904,0,564,564,3303,0,3803,500,6636,2384,628,4818,565,1387,0,567,568,564,0,0,42,281728,1268,314464
access-opt-rxbvm-set-new-ascii-64.csv,28849,0,164,164,1567,0,1567,43,3787,912,286,2725,167,687,0,167,168,164,100,3200,64,984064,4100,1016800
access-opt-rxvm-get-hit-ascii-1024.csv,259812,500,1024,2024,10477,0,10977,4131,33552,16228,1726,23803,1525,6647,500,1527,1528,1523,0,0,84,3507712,14296,3545408
access-opt-rxvm-get-hit-ascii-16.csv,105696,1000,16,2016,5521,0,6521,1000,10730,4096,1032,8652,1017,1099,1000,1019,1020,1015,0,0,30,257920,1192,295616
access-opt-rxvm-get-hit-ascii-256.csv,158214,1000,256,2256,8252,0,9252,1466,17513,6546,1434,13769,1257,2539,1000,1259,1260,1255,0,0,66,1031680,4312,1069376
access-opt-rxvm-get-hit-collision-256.csv,812438,200,256,656,9120,0,9320,52740,118529,107671,457,64311,457,1739,200,459,460,455,2560,81920,66,1031680,4312,1069376
access-opt-rxvm-get-hit-long-64.csv,396250,500,64,1064,36579,0,37079,527,39966,2441,625,38621,565,887,500,567,568,563,263,31104,48,412672,1816,450368
access-opt-rxvm-get-hit-unicode-64.csv,91232,500,64,1064,6123,0,6623,500,9456,2384,628,8138,565,887,500,567,568,563,0,0,48,412672,1816,450368
access-opt-rxvm-get-miss-ascii-64.csv,168125,1000,64,1064,13375,0,13375,0,16208,384,1128,14890,1065,1387,1000,1067,1068,1063,0,0,48,412672,1816,450368
access-opt-rxvm-histogram-ascii-64.csv,297032,1003,1064,3167,10389,0,10389,1993,21263,6383,2136,13931,2068,5496,1003,2171,2172,2166,3,192,58,440448,1935,479880
access-opt-rxvm-multi-tail-ascii-64.csv,140457,1000,128,2128,7517,0,8517,1178,14539,4007,1245,10595,1129,1580,1000,1132,1133,1128,0,0,83,670592,2856,708288
access-opt-rxvm-reset-default-ascii-64.csv,33225,1,1064,66,380,0,380,1,3219,386,129,2898,67,1388,1,1068,1069,1064,0,0,54,543616,2344,581312
