rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1000000,2,1,6,over_3_symbols,"IADD_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r3) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R19;r2=R17;r3=R18;r4=R5;r5=R16;c1=int:1","benchmark_awfy_bounce_opt",1049
2,1000000,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_REG(r3,r4,r1) | UNLINK_REG(r1) | UNLINK_REG(r4)","r1=R18;r2=R16;c1=int:2;r3=R19;r4=R17","benchmark_awfy_bounce_opt",1045
3,1000000,2,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGT_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | BRF_ID_REG(c3,r3)","r1=R19;r2=R16;c1=int:1;r3=R18;c2=int:500;c3=label@1172","benchmark_awfy_bounce_opt",1091
4,1000000,2,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ILT_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | BRF_ID_REG(c3,r3)","r1=R20;r2=R16;c1=int:1;r3=R19;c2=int:0;c3=label@1245","benchmark_awfy_bounce_opt",1172
5,1000000,2,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_INT(r3,r2,c2) | IADD_REG_REG_REG(r4,r1,r3) | UNLINK_REG(r3)","r1=R17;r2=R16;c1=int:1;r3=R18;c2=int:2;r4=R19","benchmark_awfy_bounce_opt",1041
6,1000000,2,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r2,r4) | UNLINK_REG(r2)","r1=R17;r2=R5;r3=R16;c1=int:1;r4=R19","benchmark_awfy_bounce_opt",1055
7,1000000,2,1,6,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r3,r5)","r1=R18;r2=R17;r3=R5;r4=R16;c1=int:1;r5=R19","benchmark_awfy_bounce_opt",1053
8,510000,2,1,7,over_3_symbols,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | MINATTRS_REG_REG_INT(r4,r2,c2) | LINKATTR1_REG_REG_REG(r5,r4,r2)","r1=R7;r2=R6;r3=R5;c1=label@985;r4=R0;c2=int:0;r5=R8","benchmark_awfy_bounce_opt",949
9,500000,1,1,7,over_3_symbols,"BRT_ID_REG(c1,r1) | MINATTRS_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r2,r3) | MKREF_REG_REG(r5,r4)","c1=label@1425;r1=R13;r2=R0;r3=R6;c2=int:0;r4=R14;r5=R7","benchmark_awfy_bounce_opt",1014
10,500000,1,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | LOAD_REG_INT(r3,c1) | LINKATTR1_REG_REG_INT(r4,r1,c2) | LINKATTR1_REG_REG_INT(r5,r1,c3)","r1=R16;r2=R8;r3=R14;c1=int:0;r4=R17;c2=int:1;r5=R18;c3=int:2","benchmark_awfy_bounce_opt",1035
11,500000,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r1) | BR_ID(c1)","r1=R15;r2=R14;r3=R8;r4=R16;r5=R20;c1=label@1413","benchmark_awfy_bounce_opt",1402
12,500000,1,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r3,c1) | IGT_REG_REG_INT(r4,r1,c2)","r1=R19;r2=R5;r3=R16;c1=int:1;r4=R18;c2=int:500","benchmark_awfy_bounce_opt",1086
13,500000,1,1,7,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r3,r4,c1) | LINKATTR1_REG_REG_INT(r5,r4,c2)","r1=R5;r2=R19;r3=R18;r4=R16;c1=int:3;r5=R17;c2=int:4","benchmark_awfy_bounce_opt",1061
14,500000,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c2)","r1=R19;r2=R16;c1=int:3;r3=R5;c2=int:1","benchmark_awfy_bounce_opt",1082
15,500000,1,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r4,r2,c2)","r1=R5;r2=R16;c1=int:1;r3=R19;r4=R18;c2=int:3","benchmark_awfy_bounce_opt",1057
16,500000,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | MKREF_REG_REG(r4,r1) | UNLINK_REG(r1) | UNLINK_REG(r5)","r1=R14;r2=R0;r3=R6;r4=R7;r5=R8","benchmark_awfy_bounce_opt",1021
17,500000,1,1,7,over_3_symbols,"LINKREF_REG_REG(r1,r2) | COPY_REG_REG(r3,r1) | LOAD_REG_INT(r4,c1) | LINKATTR1_REG_REG_INT(r5,r3,c2)","r1=R8;r2=R7;r3=R16;r4=R14;c1=int:0;r5=R17;c2=int:1","benchmark_awfy_bounce_opt",1032
18,500000,1,1,8,over_3_symbols,"LOAD_REG_INT(r1,c1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_INT(r4,r3,c3) | IADD_REG_REG_REG(r5,r2,r4)","r1=R14;c1=int:0;r2=R17;r3=R16;c2=int:1;r4=R18;c3=int:2;r5=R19","benchmark_awfy_bounce_opt",1038
19,500000,1,1,5,over_3_symbols,"MINATTRS_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r1,r2) | MKREF_REG_REG(r4,r3) | UNLINK_REG(r3)","r1=R0;r2=R6;c1=int:0;r3=R14;r4=R7","benchmark_awfy_bounce_opt",1017
20,500000,1,1,3,candidate,"MKREF_REG_REG(r1,r2) | UNLINK_REG(r2) | UNLINK_REG(r3) | LINKREF_REG_REG(r3,r1)","r1=R7;r2=R14;r3=R8","benchmark_awfy_bounce_opt",1025
