rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,4200000,5,1,7,candidate,"PARSEWORDS3_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r5,r1) | SCOPY_REG_REG(r6,r2) | SCOPY_REG_REG(r7,r3)","r1=R11;r2=R5;r3=R42;r4=R47;r5=R52;r6=R40;r7=R56","benchmark_rexxcps_levelb_opt",878
2,4200000,5,1,7,candidate,"SCOPY_REG_REG(r1,r2) | PARSEWORDS3_REG_REG_REG_REG(r3,r4,r5,r1) | SCOPY_REG_REG(r6,r3) | SCOPY_REG_REG(r7,r4)","r1=R47;r2=R60;r3=R11;r4=R5;r5=R42;r6=R52;r7=R40","benchmark_rexxcps_levelb_opt",875
3,3360000,2,1,5,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | STEMGET_REG_REG_REG(r3,r4,r1) | SCOPY_REG_REG(r1,r3) | STOD_REG(r1)","r1=R72;c1=string@34264;r2=R51;r3=R65;r4=R4","benchmark_rexxcps_levelb_opt",531
4,3360000,4,1,7,candidate,"LOAD_REG_STRING(r1,c1) | SCOPY_REG_REG(r2,r1) | PARSEWORDS3_REG_REG_REG_REG(r3,r4,r5,r2) | SCOPY_REG_REG(r6,r3)","r1=R60;c1=string@51352;r2=R47;r3=R11;r4=R5;r5=R42;r6=R52","benchmark_rexxcps_levelb_opt",872
5,2520000,3,1,8,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | SCOPY_REG_REG(r4,r3) | PARSEWORDS3_REG_REG_REG_REG(r5,r6,r7,r4)","r1=R56;r2=R42;r3=R60;c1=string@53776;r4=R48;r5=R10;r6=R3;r7=R43","benchmark_rexxcps_levelb_opt",889
6,2520000,3,1,7,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | LOAD_REG_STRING(r5,c1) | SCOPY_REG_REG(r6,r5)","r1=R40;r2=R5;r3=R56;r4=R42;r5=R60;c1=string@53776;r6=R48","benchmark_rexxcps_levelb_opt",886
7,2520000,3,1,8,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | SCOPY_REG_REG(r5,r6) | LOAD_REG_STRING(r7,c1)","r1=R52;r2=R11;r3=R40;r4=R5;r5=R56;r6=R42;r7=R60;c1=string@53776","benchmark_rexxcps_levelb_opt",883
8,1680000,1,1,8,candidate,"BRF_ID_REG(c1,r1) | CONCAT_REG_STRING_REG(r2,c2,r3) | CONCAT_REG_STRING_REG(r4,c2,r3) | STEMGET_REG_REG_REG(r5,r6,r4)","c1=label@638;r1=R72;r2=R75;c2=string@34264;r3=R51;r4=R79;r5=R71;r6=R4","benchmark_rexxcps_levelb_opt",594
9,1680000,1,1,7,candidate,"BRT_ID_REG(c1,r1) | CONCAT_REG_STRING_REG(r2,c2,r3) | STEMGET_REG_REG_REG(r4,r5,r2) | SCOPY_REG_REG(r2,r4)","c1=label@644;r1=R67;r2=R72;c2=string@34264;r3=R51;r4=R65;r5=R4","benchmark_rexxcps_levelb_opt",528
10,1680000,2,1,7,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | CONCAT_REG_REG_STRING(r3,r1,c2) | STEMGET_REG_REG_REG(r1,r4,r3) | REQ_REG_REG_STRING(r3,r1,c3)","r1=R76;r2=R41;c1=string@42440;r3=R81;c2=string@17520;r4=R8;c3=string@1272","benchmark_rexxcps_levelb_opt",662
11,1680000,2,1,6,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | STEMGET_REG_REG_REG(r2,r3,r1) | REQ_REG_REG_STRING(r1,r2,c2) | BRF_ID_REG(c3,r1)","r1=R81;r2=R76;c1=string@17520;r3=R8;c2=string@1272;c3=label@685","benchmark_rexxcps_levelb_opt",666
