benchmark,vm,mode,lifecycle,phase,sequence,elapsed_ns,platform,crexx_version,vm_role,result_role
deltablue,rxvm,opt,process,warmup,1,2395429000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,product,process-smoke
deltablue,rxvm,opt,process,recorded,1,2428071000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,product,process-smoke
deltablue,rxvm,opt,process,recorded,2,2438375000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,product,process-smoke
deltablue,rxvm,opt,process,recorded,3,2434585000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,product,process-smoke
deltablue,rxvm,opt,process,recorded,4,2425292000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,product,process-smoke
deltablue,rxvm,opt,process,recorded,5,2426961000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,product,process-smoke
deltablue,rxtvm,opt,process,warmup,1,2440741000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,concrete-engine-control,process-smoke
deltablue,rxtvm,opt,process,recorded,1,2440023000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,concrete-engine-control,process-smoke
deltablue,rxtvm,opt,process,recorded,2,2442642000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,concrete-engine-control,process-smoke
deltablue,rxtvm,opt,process,recorded,3,2441886000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,concrete-engine-control,process-smoke
deltablue,rxtvm,opt,process,recorded,4,2433826000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,concrete-engine-control,process-smoke
deltablue,rxtvm,opt,process,recorded,5,2428420000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,concrete-engine-control,process-smoke
deltablue,rxtvm,noopt,process,warmup,1,143081000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,concrete-engine-control,process-smoke
deltablue,rxtvm,noopt,process,recorded,1,145152000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,concrete-engine-control,process-smoke
deltablue,rxtvm,noopt,process,recorded,2,135818000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,concrete-engine-control,process-smoke
deltablue,rxtvm,noopt,process,recorded,3,146007000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,concrete-engine-control,process-smoke
deltablue,rxtvm,noopt,process,recorded,4,135822000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,concrete-engine-control,process-smoke
deltablue,rxtvm,noopt,process,recorded,5,147007000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,concrete-engine-control,process-smoke
deltablue,rxvm,noopt,process,warmup,1,144671000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,product,process-smoke
deltablue,rxvm,noopt,process,recorded,1,146577000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,product,process-smoke
deltablue,rxvm,noopt,process,recorded,2,132511000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,product,process-smoke
deltablue,rxvm,noopt,process,recorded,3,131411000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,product,process-smoke
deltablue,rxvm,noopt,process,recorded,4,131999000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,product,process-smoke
deltablue,rxvm,noopt,process,recorded,5,135836000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g00188b13ca51.dirty 20260817,product,process-smoke
