workload,vm,round,baseline_ns,candidate_ns,delta_percent
JSON,rxbvm,10,273184000,257752000,-5.648939909
JSON,rxbvm,9,269208000,258957000,-3.807836320
JSON,rxbvm,5,267466000,260040000,-2.776427658
JSON,rxbvm,11,267871000,261112000,-2.523229465
JSON,rxbvm,7,272319000,265518000,-2.497438666
JSON,rxbvm,4,270638000,264963000,-2.096896962
JSON,rxbvm,2,263904000,258969000,-1.869998181
JSON,rxbvm,12,269591000,265214000,-1.623570520
JSON,rxbvm,8,267143000,264286000,-1.069464669
JSON,rxbvm,6,266623000,263915000,-1.015666315
JSON,rxbvm,1,264664000,263878000,-0.296980322
JSON,rxbvm,3,268009000,272640000,1.727927047
JSON,rxvm,1,269403000,258839000,-3.921262941
JSON,rxvm,4,264861000,256791000,-3.046881194
JSON,rxvm,11,266822000,258949000,-2.950656243
JSON,rxvm,9,265117000,259043000,-2.291063945
JSON,rxvm,6,266695000,260779000,-2.218264309
JSON,rxvm,12,269561000,265088000,-1.659364671
JSON,rxvm,10,263609000,263217000,-0.148705090
JSON,rxvm,5,265667000,265616000,-0.019196965
JSON,rxvm,8,262786000,264816000,0.772491685
JSON,rxvm,2,258216000,261310000,1.198221644
JSON,rxvm,3,263356000,269439000,2.309801182
JSON,rxvm,7,263943000,271798000,2.976021338
List,rxbvm,8,200894000,184204000,-8.307863849
List,rxbvm,12,200315000,185800000,-7.246087412
List,rxbvm,6,199138000,184846000,-7.176932579
List,rxbvm,11,199004000,185503000,-6.784285743
List,rxbvm,1,199711000,186196000,-6.767278718
List,rxbvm,9,197286000,185796000,-5.824032116
List,rxbvm,7,196980000,185664000,-5.744745659
List,rxbvm,4,195513000,184634000,-5.564335875
List,rxbvm,2,196068000,185382000,-5.450149948
List,rxbvm,10,196087000,185496000,-5.401173969
List,rxbvm,5,196339000,185774000,-5.380999190
List,rxbvm,3,196227000,186459000,-4.977908239
List,rxvm,1,196956000,181906000,-7.641300595
List,rxvm,11,196004000,181260000,-7.522295463
List,rxvm,10,193043000,179555000,-6.987044337
List,rxvm,3,195104000,181699000,-6.870694604
List,rxvm,7,193256000,180736000,-6.478453450
List,rxvm,5,194956000,182559000,-6.358870720
List,rxvm,9,193348000,182382000,-5.671638703
List,rxvm,4,191951000,182432000,-4.959078098
List,rxvm,6,192549000,184058000,-4.409786600
List,rxvm,2,191022000,183408000,-3.985928322
List,rxvm,12,193534000,186258000,-3.759546126
List,rxvm,8,191214000,188304000,-1.521855094
Permute,rxbvm,7,83893000,79219000,-5.571382594
Permute,rxbvm,1,83308000,79566000,-4.491765497
Permute,rxbvm,9,83777000,80066000,-4.429616721
Permute,rxbvm,8,82990000,79803000,-3.840221713
Permute,rxbvm,6,82630000,79850000,-3.364395498
Permute,rxbvm,11,83127000,80393000,-3.288943424
Permute,rxbvm,2,83149000,80523000,-3.158185907
Permute,rxbvm,12,83367000,80739000,-3.152326460
Permute,rxbvm,4,83051000,80772000,-2.744097001
Permute,rxbvm,5,81453000,79795000,-2.035529692
Permute,rxbvm,3,81551000,80400000,-1.411386740
Permute,rxbvm,10,81330000,81532000,0.248370835
Permute,rxvm,12,82301000,78187000,-4.998724195
Permute,rxvm,6,82382000,78598000,-4.593236387
Permute,rxvm,8,81982000,78522000,-4.220438633
Permute,rxvm,10,82286000,78821000,-4.210922879
Permute,rxvm,5,81212000,77803000,-4.197655519
Permute,rxvm,9,82206000,78966000,-3.941318152
Permute,rxvm,2,81631000,78565000,-3.755926058
Permute,rxvm,3,80892000,78360000,-3.130099392
Permute,rxvm,4,81129000,78896000,-2.752406661
Permute,rxvm,1,81717000,79492000,-2.722811655
Permute,rxvm,11,84737000,82561000,-2.567945526
Permute,rxvm,7,81439000,79477000,-2.409165142
Richards,rxbvm,7,595507000,586394000,-1.530292675
Richards,rxbvm,2,589193000,584981000,-0.714876110
Richards,rxbvm,12,593862000,589862000,-0.673557156
Richards,rxbvm,6,593462000,590608000,-0.480906949
Richards,rxbvm,4,589889000,587413000,-0.419739985
Richards,rxbvm,5,593684000,591317000,-0.398696950
Richards,rxbvm,11,589766000,588191000,-0.267055069
Richards,rxbvm,3,589959000,588759000,-0.203403965
Richards,rxbvm,10,589972000,588792000,-0.200009492
Richards,rxbvm,1,595858000,597518000,0.278589865
Richards,rxbvm,8,588525000,591028000,0.425300539
Richards,rxbvm,9,589250000,593467000,0.715655494
Richards,rxvm,10,586271000,584663000,-0.274275889
Richards,rxvm,8,590313000,588714000,-0.270873249
Richards,rxvm,2,587204000,585662000,-0.262600391
Richards,rxvm,12,587928000,586482000,-0.245948483
Richards,rxvm,1,587640000,586836000,-0.136818460
Richards,rxvm,7,585679000,585463000,-0.036880271
Richards,rxvm,9,587410000,587917000,0.086311094
Richards,rxvm,6,585915000,586506000,0.100867873
Richards,rxvm,3,586015000,587446000,0.244191702
Richards,rxvm,11,584736000,586356000,0.277048104
Richards,rxvm,4,584110000,588334000,0.723151461
Richards,rxvm,5,582327000,586834000,0.773963769
