rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
463,20,3,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | SETSTRPOS_REG_REG(r2,r3) | SUBSTRING_REG_REG_REG(r4,r2,r5) | SCOPY_REG_REG(r1,r4)","c1=label@5910;r1=R21;r2=R18;r3=R13;r4=R17;r5=R20","trace",5895
464,20,3,1,7,over_3_symbols,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c2) | LOAD_REG_STRING(r4,c3)","r1=R12;c1=string@321248;r2=R10;c2=int:0;r3=R13;r4=R15;c3=string@31136","trace",5832
465,18,3,2,5,over_3_symbols,"BRT_ID_REG(c1,r1) | NULL_REG(r2) | NULL_REG(r3) | NULL_REG(r4)","c1=label@1831;r1=R43;r2=R31;r3=R32;r4=R33","benchmark_rexxcps_levelb_noopt",413
466,18,2,1,5,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | REQ_REG_REG_STRING(r4,r4,c1)","r1=R18;r2=R19;r3=R20;r4=R21;c1=string@322688","trace",5949
467,18,2,1,6,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | ENDLIFE_REG(r3) | REQ_REG_REG_STRING(r4,r5,c1)","r1=R15;r2=R14;r3=R13;r4=R24;r5=R12;c1=string@322688","trace",6298
468,18,2,1,6,over_3_symbols,"ENDLIFE_REG(r1) | ENDLIFE_REG(r2) | REQ_REG_REG_STRING(r3,r4,c1) | BRF_ID_REG(c2,r3)","r1=R14;r2=R13;r3=R24;r4=R12;c1=string@322688;c2=label@6472","trace",6300
469,18,17,1,7,over_3_symbols,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | SETTP_REG_INT(r3,c3) | SWAP_REG_REG(r4,r3)","r1=R7;c1=string@1502952;r2=R5;c2=int:2;r3=R3;c3=int:256;r4=R6","trace",15731
470,17,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SCOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | LOAD_REG_STRING(r3,c2)","r1=R5;r2=R6;c1=int:10;r3=R4;c2=string@31136","trace",12405
471,17,2,1,5,over_3_symbols,"SCOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | LOAD_REG_STRING(r2,c1) | LINKATTR1_REG_REG_INT(r1,r3,c2)","r1=R5;r2=R4;c1=string@31136;r3=R6;c2=int:13","trace",12409
472,16,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | ISUB_REG_REG_REG(r2,r3,r4) | SETSTRPOS_REG_REG(r5,r2) | SUBSTRING_REG_REG_REG(r6,r5,r4)","c1=label@6259;r1=R12;r2=R16;r3=R14;r4=R13;r5=R15;r6=R17","trace",6240
473,16,1,1,6,over_3_symbols,"BRF_ID_REG(c1,r1) | LOAD_REG_INT(r2,c2) | COPY_REG_REG(r3,r4) | BPOFF()","c1=label@12504;r1=R5;r2=R29;c2=int:0;r3=R7;r4=R30","trace",12493
