rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
317,28,2,2,4,over_3_symbols,"BRTPANDT_ID_REG_INT(c1,r1,c2) | LOAD_REG_STRING(r1,c3)","c1=label@15343;r1=R9;c2=int:256;c3=string@31136","_address",15333
318,28,1,1,3,candidate,"BRT_ID_REG(c1,r1) | FTOD_REG(r2)","c1=label@821;r1=R50;r2=R52","benchmark_rexxcps_levelb_noopt",553
319,28,1,1,5,over_3_symbols,"CONCAT_REG_REG_REG(r1,r2,r3) | CONCAT_REG_REG_STRING(r2,r4,c1)","r1=R59;r2=R55;r3=R30;r4=R29;c1=string@26552","benchmark_rexxcps_levelb_noopt",725
320,28,2,1,5,over_3_symbols,"CONCAT_REG_REG_STRING(r1,r2,c1) | LOAD_REG_INT(r3,c2)","r1=R60;r2=R27;c1=string@26552;r3=R59;c2=int:2","benchmark_rexxcps_levelb_noopt",862
321,28,11,1,5,over_3_symbols,"COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1)","r1=R3;r2=R8;r3=R7;r4=R1;c1=int:2","_address",5818
322,28,1,1,3,candidate,"DADD_REG_REG_REG(r1,r1,r2) | DCOPY_REG_REG(r3,r1)","r1=R63;r2=R62;r3=R60","benchmark_rexxcps_levelb_noopt",768
323,28,1,1,3,candidate,"DGT_REG_REG_REG(r1,r2,r1) | BRF_ID_REG(c1,r1)","r1=R48;r2=R52;c1=label@601","benchmark_rexxcps_levelb_noopt",592
324,28,1,1,3,candidate,"FADD_REG_REG_REG(r1,r2,r1) | BR_ID(c1)","r1=R52;r2=R49;c1=label@549","benchmark_rexxcps_levelb_noopt",815
325,28,1,1,3,candidate,"FEQ_REG_REG_REG(r1,r2,r1) | BRF_ID_REG(c1,r1)","r1=R63;r2=R52;c1=label@813","benchmark_rexxcps_levelb_noopt",804
326,28,1,1,3,candidate,"FLT_REG_REG_REG(r1,r2,r1) | BRF_ID_REG(c1,r1)","r1=R56;r2=R52;c1=label@813","benchmark_rexxcps_levelb_noopt",712
327,28,1,1,4,over_3_symbols,"FTOD_REG(r1) | CONCAT_REG_REG_STRING(r2,r3,c1)","r1=R52;r2=R45;r3=R29;c1=string@26552","benchmark_rexxcps_levelb_noopt",556
328,28,1,1,3,candidate,"FTOS_REG(r1) | LOAD_REG_INT(r2,c1)","r1=R48;r2=R47;c1=int:1","benchmark_rexxcps_levelb_noopt",604
329,28,1,1,2,candidate,"FTOS_REG(r1) | REQ_REG_REG_STRING(r1,r1,c1)","r1=R48;c1=string@31304","benchmark_rexxcps_levelb_noopt",632
330,28,1,1,3,candidate,"ILT_REG_INT_REG(r1,c1,r1) | BRF_ID_REG(c2,r1)","r1=R48;c1=int:17;c2=label@629","benchmark_rexxcps_levelb_noopt",620
331,28,1,1,4,over_3_symbols,"ISUB_REG_REG_INT(r1,r2,c1) | ILT_REG_INT_REG(r1,c2,r1)","r1=R48;r2=R46;c1=int:1;c2=int:17","benchmark_rexxcps_levelb_noopt",616
332,28,1,1,2,candidate,"ITOD_REG(r1) | DADD_REG_REG_REG(r2,r2,r1)","r1=R62;r2=R63","benchmark_rexxcps_levelb_noopt",766
333,28,1,1,2,candidate,"ITOF_REG(r1) | FEQ_REG_REG_REG(r1,r2,r1)","r1=R63;r2=R52","benchmark_rexxcps_levelb_noopt",802
334,28,1,1,2,candidate,"ITOF_REG(r1) | FLT_REG_REG_REG(r1,r2,r1)","r1=R56;r2=R52","benchmark_rexxcps_levelb_noopt",710
335,28,1,1,3,candidate,"ITOS_REG(r1) | LOAD_REG_INT(r2,c1)","r1=R45;r2=R46;c1=int:1","benchmark_rexxcps_levelb_noopt",646
336,28,11,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | COPY_REG_REG(r1,r3)","r1=R7;r2=R1;c1=int:2;r3=R3","_address",5821
337,28,2,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | COPY_REG_REG(r4,r1)","r1=R38;r2=R43;r3=R2;r4=R37","_address",14170
338,28,1,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LOAD_REG_STRING(r4,c1)","r1=R106;r2=R24;r3=R107;r4=R105;c1=string@31136","parseExec",5535
339,28,2,1,4,over_3_symbols,"LOAD_REG_FLOAT(r1,c1) | LOAD_REG_FLOAT(r2,c2)","r1=R52;c1=float@28760;r2=R51;c2=float@29064","benchmark_rexxcps_levelb_noopt",540
340,28,1,1,2,candidate,"LOAD_REG_INT(r1,c1) | ITOD_REG(r1)","r1=R62;c1=int:1","benchmark_rexxcps_levelb_noopt",763
341,28,1,1,5,over_3_symbols,"LOAD_REG_STRING(r1,c1) | IADD_REG_REG_INT(r2,r3,c2)","r1=R120;c1=string@31136;r2=R112;r3=R118;c2=int:1","parseExec",4662
