opcode	class	family	components	component_count	terminal_transition	coherence_shape	side_effect_policy	review_bar	producer	handler_shape	rxvm_count	rxvm_saved_dispatches	rxvm_component_handler_avg_ns	rxvm_macro_handler_avg_ns	rxvm_handler_delta_percent	rxvm_component_full_avg_ns	rxvm_macro_full_avg_ns	rxvm_full_delta_percent	rxvm_full_delta_share_ppm	rxvm_macro_time_share_percent	rxvm_profile_signal	rxvm_observation_band	rxbvm_count	rxbvm_saved_dispatches	rxbvm_component_handler_avg_ns	rxbvm_macro_handler_avg_ns	rxbvm_handler_delta_percent	rxbvm_component_full_avg_ns	rxbvm_macro_full_avg_ns	rxbvm_full_delta_percent	rxbvm_full_delta_share_ppm	rxbvm_macro_time_share_percent	rxbvm_profile_signal	rxbvm_observation_band	coherence_review	implementation_review	decision	review_notes	temporary_register_policy
MINIGETATTR1_REG_REG_INT	2	attribute-index-link	MINATTRS_REG_INT;LINKATTR1_REG_REG_INT;ICOPY_REG_REG;UNLINK_REG	4	sequential	direct-attribute-read	compiler-temp-elided	normal	rxc-direct	conditional-capacity-and-field-read	0	0	53.240522	0.000000	-100.000000	95.259398	10.668843	-88.800220	0.000000	0.000000	inactive	zero	0	0	52.947956	0.000000	-100.000000	95.973671	10.914233	-88.627889	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Elides the compiler-only attribute alias.	compiler-temporary-elided
ISETATTR1_REG_INT_REG	2	attribute-index-link	LINKATTR1_REG_REG_INT;ICOPY_REG_REG;UNLINK_REG	3	sequential	direct-attribute-write	compiler-temp-elided	normal	rxc-direct-or-combiner	direct-validated-field-write	19253	38506	38.013511	13.131616	-65.455399	69.527668	23.800458	-65.768364	-722.301465	0.020743	indicated-saving	1000+	19253	38506	37.867607	13.772139	-63.630817	70.136894	24.686372	-64.802587	-715.859740	0.021692	indicated-saving	1000+	pending	pending-hot-path-audit	undecided	Elides the compiler-only attribute alias.	compiler-temporary-elided
ISETATTR1_REG_INT_INT	2	attribute-index-link	LINKATTR1_REG_REG_INT;LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG	4	sequential	direct-attribute-write	compiler-temp-elided	normal	rxc-direct	direct-validated-constant-field-write	0	0	50.844977	0.000000	-100.000000	92.863853	10.668843	-88.511307	0.000000	0.000000	inactive	zero	0	0	50.090094	0.000000	-100.000000	93.115809	10.914233	-88.278862	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Elides the compiler-only alias and loaded register.	compiler-temporary-elided
RELINKATTR1_REG_REG_INT	2	attribute-index-link	UNLINK_REG;LINKATTR1_REG_REG_INT	2	sequential	relink	exact-effects	normal	rxc-combiner	restore-validate-and-link	0	0	25.357916	0.000000	-100.000000	46.367354	10.668843	-76.990616	0.000000	0.000000	inactive	zero	0	0	25.440233	0.000000	-100.000000	46.953090	10.914233	-76.755028	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
UNLINKRELINKATTR1_REG_REG_REG_INT	2	attribute-index-link	UNLINK_REG;UNLINK_REG;LINKATTR1_REG_REG_INT	3	sequential	cleanup-and-relink	exact-effects	normal	rxc-combiner	two-restores-validate-and-link	0	0	37.789977	0.000000	-100.000000	69.304134	10.668843	-84.605763	0.000000	0.000000	inactive	zero	0	0	37.913663	0.000000	-100.000000	70.182950	10.914233	-84.448883	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
LINKSETATTRS_REG_REG_INT_INT	2	attribute-index-link	LINKATTR1_REG_REG_INT;SETATTRS_REG_INT	2	sequential	link-and-capacity	exact-effects	normal	rxc-combiner	validate-link-and-set-capacity	0	0	27.636881	0.000000	-100.000000	48.646319	10.668843	-78.068551	0.000000	0.000000	inactive	zero	0	0	26.608156	0.000000	-100.000000	48.121014	10.914233	-77.319196	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
LINKSETATTRSADD_REG_REG_INT_INT_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_INT;SETATTRS_REG_INT;IADD_REG_REG_INT	3	sequential	link-capacity-and-index	exact-effects	coherence-review	rxc-combiner	validate-link-capacity-and-checked-add	0	0	40.574559	0.000000	-100.000000	72.088716	10.668843	-85.200399	0.000000	0.000000	inactive	zero	0	0	38.850427	0.000000	-100.000000	71.119713	10.914233	-84.653717	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Retains the calculated index register.	no-compiler-temporary-output
LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_INT;SETATTRS_REG_INT;IADD_REG_REG_INT;LINKATTR1_REG_REG_REG	4	sequential	link-capacity-index-and-link	compiler-temp-elided	normal	rxc-combiner	validate-link-capacity-checked-add-and-link	0	0	53.863599	0.000000	-100.000000	95.882475	10.668843	-88.873000	0.000000	0.000000	inactive	zero	0	0	52.159841	0.000000	-100.000000	95.185557	10.914233	-88.533730	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	The adjusted-index temporary is local to the handler.	compiler-temporary-elided
SETATTRSADD_REG_INT_REG_REG_INT	2	attribute-index-link	SETATTRS_REG_INT;IADD_REG_REG_INT	2	sequential	capacity-and-index	exact-effects	coherence-review	rxc-combiner	set-capacity-and-checked-add	0	0	27.648705	0.000000	-100.000000	48.658143	10.668843	-78.073880	0.000000	0.000000	inactive	zero	0	0	25.883625	0.000000	-100.000000	47.396483	10.914233	-76.972484	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Retains the calculated index register.	no-compiler-temporary-output
LINKILOAD_REG_REG_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_REG;LOAD_REG_INT	2	sequential	independent-bundle	exact-effects	clear-advantage-required	rxc-combiner	validate-link-and-set-int	0	0	26.120506	0.000000	-100.000000	47.129944	10.668843	-77.362921	0.000000	0.000000	inactive	zero	0	0	25.531901	0.000000	-100.000000	47.044759	10.914233	-76.800322	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Couples an alias result and an independent load.	no-compiler-temporary-output
SETLINKILOAD_REG_REG_INT_REG_REG_INT	2	attribute-index-link	SETATTRS_REG_INT;LINKATTR1_REG_REG_REG;LOAD_REG_INT	3	sequential	independent-bundle	exact-effects	clear-advantage-required	rxc-combiner	capacity-validate-link-and-set-int	0	0	40.831532	0.000000	-100.000000	72.345689	10.668843	-85.252967	0.000000	0.000000	inactive	zero	0	0	39.173256	0.000000	-100.000000	71.442542	10.914233	-84.723062	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Couples capacity/link work and an independent load.	no-compiler-temporary-output
UNLINKLINKATTR1_REG_REG_REG_INT	2	attribute-index-link	UNLINK_REG;LINKATTR1_REG_REG_INT	2	sequential	cleanup-and-link	exact-effects	normal	rxc-combiner	restore-validate-and-link	15	15	25.357916	83.200000	228.102675	46.367354	93.868843	102.445978	0.584580	0.000102	possible-slowdown	1-99	15	15	25.440233	52.733333	107.283221	46.953090	63.647566	35.555648	0.204859	0.000065	possible-slowdown	1-99	pending	pending-hot-path-audit	undecided	Unlike RELINKATTR1 the unlinked and linked destination registers differ.	no-compiler-temporary-output
LINKATTR1ADD_REG_REG_REG_INT	2	attribute-index-link	IADD_REG_REG_INT;LINKATTR1_REG_REG_REG	2	sequential	index-and-link	compiler-temp-elided	normal	rxc-combiner	checked-add-validate-and-link	0	0	26.226718	0.000000	-100.000000	47.236156	10.668843	-77.413821	0.000000	0.000000	inactive	zero	0	0	25.551685	0.000000	-100.000000	47.064543	10.914233	-76.810074	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	The adjusted-index temporary is local to the handler.	compiler-temporary-elided
ISETATTR1_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_REG;LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG	4	sequential	direct-attribute-write	compiler-temp-elided	normal	rxc-direct	direct-register-indexed-constant-write	0	0	51.208162	0.000000	-100.000000	93.227038	10.668843	-88.556064	0.000000	0.000000	inactive	zero	0	0	50.432706	0.000000	-100.000000	93.458422	10.914233	-88.321831	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Elides the compiler-only alias and loaded register.	compiler-temporary-elided
STOIATTR1_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_INT;STOI_REG;ICOPY_REG_REG;UNLINK_REG	4	sequential	direct-attribute-conversion	compiler-temp-elided	normal	rxc-combiner	direct-string-attribute-conversion	0	0	67.823885	0.000000	-100.000000	109.842761	10.668843	-90.287168	0.000000	0.000000	inactive	zero	0	0	72.654055	0.000000	-100.000000	115.679770	10.914233	-90.565133	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Elides alias and conversion-temporary effects.	compiler-temporary-elided
MINSTOIATTR1_REG_REG_INT	2	attribute-index-link	MINATTRS_REG_INT;LINKATTR1_REG_REG_INT;STOI_REG;ICOPY_REG_REG;UNLINK_REG	5	sequential	direct-attribute-conversion	compiler-temp-elided	normal	rxc-direct-or-combiner	capacity-and-direct-string-attribute-conversion	1	4	83.050896	667.000000	703.121975	135.574491	677.668843	399.849815	0.444754	0.000055	possible-slowdown	1-99	1	4	87.734403	2042.000000	2227.479217	141.516548	2052.914233	1350.653133	1.563658	0.000167	possible-slowdown	1-99	pending	pending-hot-path-audit	undecided	Elides alias and conversion-temporary effects.	compiler-temporary-elided
ILOADSETUNLINK_REG_REG_INT	2	unlink-cleanup	LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG	3	sequential	constant-store-and-cleanup	trace-temp-preserved	clear-advantage-required	rxc-combiner	set-int-copy-and-restore	0	0	37.919123	0.000000	-100.000000	69.433279	10.668843	-84.634396	0.000000	0.000000	inactive	zero	0	0	37.123292	0.000000	-100.000000	69.392579	10.914233	-84.271758	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Wide variant retains the loaded register for TRACE-visible writes.	trace-temporary-register-passed
ILOADSETUNLINKN_REG_REG_INT_REG	2	unlink-cleanup	LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG;UNLINK_REG	4	sequential	constant-store-and-cleanup	trace-temp-preserved	clear-advantage-required	rxc-combiner	set-int-copy-and-two-restores	15	45	50.351184	44.400000	-11.819353	92.370060	55.068843	-40.382368	-0.459050	0.000055	indicated-saving	1-99	15	45	49.596723	50.000000	0.813113	92.622438	60.914233	-34.233827	-0.389093	0.000061	indicated-saving	1-99	pending	pending-hot-path-audit	undecided	Wide variant retains the loaded register for TRACE-visible writes.	trace-temporary-register-passed
LINKILOADSETUNLINK_REG_REG_REG_REG_INT	2	attribute-index-link	LINKATTR1_REG_REG_REG;LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG	4	sequential	direct-attribute-write	trace-temp-preserved	clear-advantage-required	rxc-combiner	validate-link-set-int-copy-and-restore	0	0	51.208162	0.000000	-100.000000	93.227038	10.668843	-88.556064	0.000000	0.000000	inactive	zero	0	0	50.432706	0.000000	-100.000000	93.458422	10.914233	-88.321831	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Wide variant retains alias and loaded-register TRACE-visible writes.	trace-temporary-register-passed
