opcode	class	family	components	component_count	terminal_transition	coherence_shape	side_effect_policy	review_bar	producer	handler_shape	rxvm_count	rxvm_saved_dispatches	rxvm_component_handler_avg_ns	rxvm_macro_handler_avg_ns	rxvm_handler_delta_percent	rxvm_component_full_avg_ns	rxvm_macro_full_avg_ns	rxvm_full_delta_percent	rxvm_full_delta_share_ppm	rxvm_macro_time_share_percent	rxvm_profile_signal	rxvm_observation_band	rxbvm_count	rxbvm_saved_dispatches	rxbvm_component_handler_avg_ns	rxbvm_macro_handler_avg_ns	rxbvm_handler_delta_percent	rxbvm_component_full_avg_ns	rxbvm_macro_full_avg_ns	rxbvm_full_delta_percent	rxbvm_full_delta_share_ppm	rxbvm_macro_time_share_percent	rxbvm_profile_signal	rxbvm_observation_band	coherence_review	implementation_review	decision	review_notes	temporary_register_policy
SETTPSWAPSETTPSWAP_REG_INT_REG_REG_REG	1	call-window-preparation	SETTP_REG_INT;SWAP_REG_REG;SETTP_REG_INT;SWAP_REG_REG	4	sequential	call-setup	exact-effects	normal	rxas-backstop	inline-status-and-swaps	1407	4221	74.855178	18.363895	-75.467436	116.874054	29.032737	-75.158954	-101.400086	0.002120	indicated-saving	1000+	1407	4221	73.172532	17.886994	-75.555044	116.198248	28.801226	-75.213717	-100.596156	0.002059	indicated-saving	1000+	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
NULLN_REG_REG	1	multi-null	NULL_REG;NULL_REG	2	sequential	homogeneous-bulk	exact-effects	normal	rxas-backstop	inline-value-zero	116308	116308	25.485321	13.682068	-46.313926	46.494759	24.350911	-47.626546	-2113.041680	0.130559	indicated-saving	1000+	116308	116308	25.262105	13.746733	-45.583582	46.774963	24.660966	-47.277424	-2104.105443	0.130798	indicated-saving	1000+	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
NULLN_REG_REG_REG	1	multi-null	NULL_REG;NULL_REG;NULL_REG	3	sequential	homogeneous-bulk	exact-effects	normal	rxas-backstop	inline-value-zero	31450	62900	38.227981	14.567313	-61.893585	69.742138	25.236156	-63.815053	-1148.376848	0.037588	indicated-saving	1000+	31450	62900	37.893158	15.266486	-59.711760	70.162445	26.180719	-62.685566	-1131.575583	0.039278	indicated-saving	1000+	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
NULLN_REG_REG_REG_REG	1	multi-null	NULL_REG;NULL_REG;NULL_REG;NULL_REG	4	sequential	homogeneous-bulk	exact-effects	normal	rxas-backstop	inline-value-zero	239426	718278	50.970642	15.437004	-69.713931	92.989517	26.105846	-71.926033	-13138.228228	0.303235	indicated-saving	1000+	239426	718278	50.524210	15.831990	-68.664548	93.549926	26.746223	-71.409681	-13084.661908	0.310097	indicated-saving	1000+	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
ILOADCOPY_REG_REG_INT	1	constant-load-direct-destination	LOAD_REG_INT;ICOPY_REG_REG	2	sequential	producer-consumer	exact-effects	coherence-review	rxas-backstop	set-int-and-field-copy	0	0	25.487061	0.000000	-100.000000	46.496499	10.668843	-77.054525	0.000000	0.000000	inactive	zero	0	0	24.649861	0.000000	-100.000000	46.162719	10.914233	-76.357041	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Retains the component load register as an explicit output.	temporary-register-passed
ILOADN_REG_INT_REG_INT	1	constant-load-direct-destination	LOAD_REG_INT;LOAD_REG_INT	2	sequential	homogeneous-bulk	exact-effects	normal	rxas-backstop	two-set-int-calls	0	0	25.662932	0.000000	-100.000000	46.672370	10.668843	-77.140988	0.000000	0.000000	inactive	zero	0	0	24.444974	0.000000	-100.000000	45.957831	10.914233	-76.251637	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
ILOADN_REG_REG_INT	1	constant-load-direct-destination	LOAD_REG_INT;LOAD_REG_INT	2	sequential	homogeneous-bulk	exact-effects	normal	rxas-backstop	two-set-int-calls	0	0	25.662932	0.000000	-100.000000	46.672370	10.668843	-77.140988	0.000000	0.000000	inactive	zero	0	0	24.444974	0.000000	-100.000000	45.957831	10.914233	-76.251637	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
SWAPCALL_REG_FUNC_REG_REG_REG	2	call-window-through-call	SWAP_REG_REG;CALL_REG_FUNC_REG	2	call_enter_frame	call-setup-and-call	exact-effects	normal	rxc-direct	inline-swap-and-call-macro	802	802	221.966825	121.588529	-45.222207	242.439228	131.820568	-45.627377	-72.786050	0.008000	exact-cell-required	100-999	802	802	221.513116	115.912718	-47.672300	242.711400	126.409231	-47.917885	-76.304972	0.007605	exact-cell-required	100-999	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG	2	call-window-through-call	SETTP_REG_INT;SWAP_REG_REG;CALL_REG_FUNC_REG	3	call_enter_frame	call-setup-and-call	exact-effects	normal	rxc-direct	inline-status-swap-and-call-macro	10100	20200	234.763994	257.353069	9.622035	265.741117	267.585109	0.693905	15.280085	0.213253	exact-cell-required	1000+	10100	20200	234.020632	248.497327	6.186076	265.975345	258.993840	-2.624869	-57.684761	0.205321	exact-cell-required	1000+	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
SETTPCALL_REG_FUNC_REG_REG_INT	2	call-window-through-call	SETTP_REG_INT;CALL_REG_FUNC_REG	2	call_enter_frame	call-setup-and-call	exact-effects	normal	rxc-direct	inline-status-and-call-macro	56968	56968	210.133575	255.025365	21.363454	230.605979	265.257405	15.026248	1619.561606	1.191955	exact-cell-required	1000+	56968	56968	209.941882	236.075341	12.447949	231.140166	246.571854	6.676333	719.175785	1.100202	exact-cell-required	1000+	pass-coherent-call-setup	pass-current-macro-fastest	retain	Exact 20M-call dual-VM review rejects the global CALL-average slowdown; matched return-image layout saves in both VMs.	no-compiler-temporary-output
UNLINKN_REG_REG	2	unlink-cleanup	UNLINK_REG;UNLINK_REG	2	sequential	homogeneous-cleanup	exact-effects	normal	rxc-combiner	inline-alias-restores	44136	44136	24.864123	13.980220	-43.773523	45.873561	24.649063	-46.267387	-768.556467	0.050624	indicated-saving	1000+	44136	44136	24.946861	13.610499	-45.442037	46.459719	24.524732	-47.212914	-791.992397	0.049143	indicated-saving	1000+	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
ISETUNLINK_REG_REG	2	unlink-cleanup	ICOPY_REG_REG;UNLINK_REG	2	sequential	store-and-cleanup	exact-effects	normal	rxc-direct-or-combiner	inline-field-copy-and-restore	9800	9800	25.087657	15.488980	-38.260556	46.097094	26.157822	-43.254944	-160.317439	0.012454	indicated-saving	1000+	9800	9800	24.900805	14.942245	-39.992925	46.413663	25.856478	-44.291237	-164.808795	0.011979	indicated-saving	1000+	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
IGETUNLINK_REG_REG	2	unlink-cleanup	ICOPY_REG_REG;UNLINK_REG	2	sequential	load-and-cleanup	exact-effects	normal	rxc-direct-or-combiner	save-restore-and-field-copy	40331	40331	25.087657	13.569661	-45.911006	46.097094	24.238504	-47.418587	-723.280134	0.044901	indicated-saving	1000+	40331	40331	24.900805	12.882968	-48.262844	46.413663	23.797201	-48.728026	-746.198396	0.042506	indicated-saving	1000+	pending	pending-hot-path-audit	undecided		no-compiler-temporary-output
ILOADSETUNLINK_REG_INT	2	unlink-cleanup	LOAD_REG_INT;ICOPY_REG_REG;UNLINK_REG	3	sequential	constant-store-and-cleanup	compiler-temp-elided	normal	rxc-direct	set-int-through-alias-and-restore	0	0	37.919123	0.000000	-100.000000	69.433279	10.668843	-84.634396	0.000000	0.000000	inactive	zero	0	0	37.123292	0.000000	-100.000000	69.392579	10.914233	-84.271758	0.000000	0.000000	inactive	zero	pending	pending-hot-path-audit	undecided	Compact form removes the compiler-only loaded register.	compiler-temporary-elided
