vm,opcode,class,family,components,component_count,terminal_transition,coherence_shape,side_effect_policy,review_bar,producer,handler_shape,candidate_count,saved_dispatches,baseline_macro_count,baseline_macro_average_ns,candidate_macro_total_ns,candidate_macro_average_ns,baseline_component_average_ns,estimated_baseline_handler_total_ns,handler_delta_ns,handler_delta_percent,baseline_terminal_transition_average_ns,candidate_terminal_transition_average_ns,estimated_baseline_full_average_ns,candidate_full_average_ns,estimated_baseline_full_total_ns,candidate_full_total_ns,full_delta_ns,full_delta_percent,candidate_profile_total_ns,full_delta_share_ppm,candidate_macro_time_share_percent,component_averages_below_timer_min,candidate_macro_below_timer_min,profile_signal,observation_band,calculation_status,missing_components,timer_read_min_ns,baseline_instruction_count,candidate_instruction_count,temporary_register_policy
rxvm,NUMCTX_INT_INT_INT_INT_INT,2,numeric-context,SETNUMDGTS_INT;SETNUMFUZ_INT;SETNUMFRM_INT;SETNUMCAS_INT;SETNUMSTD_INT,5,sequential,context-unit,exact-effects,normal,rxc-direct,validation-and-context-sync,0,0,0,0.000000,0,0.000000,281.000000,0.000,0.000,-100.000000,10.504719,10.668843,333.523595,10.668843,0.000,0.000,0.000,-96.801173,1218862209,0.000000,0.000000,0,0,inactive,zero,missing-components,SETNUMDGTS_INT;SETNUMFRM_INT,41,17746147,16220865,no-compiler-temporary-output
rxvm,SWAPN_REG_REG_REG_REG,1,multi-swap,SWAP_REG_REG;SWAP_REG_REG,2,sequential,homogeneous-bulk,exact-effects,normal,rxas-backstop,inline-swaps,11200,11200,0,0.000000,607071,54.202768,49.260839,551721.393,55349.607,10.032166,10.504719,10.668843,70.270276,64.871610,787027.096,726562.037,-60465.059,-7.682716,1218862209,-49.607789,0.049806,2,0,indicated-saving,1000+,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,SWAPN_REG_REG_REG_REG_REG_REG,1,multi-swap,SWAP_REG_REG;SWAP_REG_REG;SWAP_REG_REG,3,sequential,homogeneous-bulk,exact-effects,normal,rxas-backstop,inline-swaps,1409,2818,0,0.000000,35334,25.077360,73.891258,104112.783,-68778.783,-66.061804,10.504719,10.668843,105.405415,35.746202,148516.229,50366.399,-98149.830,-66.086939,1218862209,-80.525780,0.002899,3,1,indicated-saving,1000+,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,SWAPN_REG_REG_REG_REG_REG_REG_REG_REG,1,multi-swap,SWAP_REG_REG;SWAP_REG_REG;SWAP_REG_REG;SWAP_REG_REG,4,sequential,homogeneous-bulk,exact-effects,normal,rxas-backstop,inline-swaps,1406,4218,0,0.000000,55546,39.506401,98.521677,138521.478,-82975.478,-59.900803,10.504719,10.668843,140.540553,50.175244,197600.017,70546.393,-127053.625,-64.298387,1218862209,-104.239531,0.004557,4,1,indicated-saving,1000+,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,SETTPSWAP_REG_INT_REG,1,call-window-preparation,SETTP_REG_INT;SWAP_REG_REG,2,sequential,call-setup,exact-effects,normal,rxas-backstop,inline-status-and-swap,2800,2800,0,0.000000,46106,16.466429,37.427589,104797.250,-58691.250,-56.004571,10.504719,10.668843,58.437027,27.135271,163623.676,75978.759,-87644.916,-53.564936,1218862209,-71.907157,0.003783,2,1,indicated-saving,1000+,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,LOADSETTP2_REG_INT_REG_INT,1,call-window-preparation,LOAD_REG_INT;SETTP_REG_INT,2,sequential,call-setup,exact-effects,normal,rxas-backstop,set-int-and-inline-status,5610,5610,0,0.000000,93071,16.590196,25.628636,143776.647,-50705.647,-35.266956,10.504719,10.668843,46.638074,27.259039,261639.593,152923.207,-108716.386,-41.551963,1218862209,-89.194976,0.007636,2,1,indicated-saving,1000+,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,LOADSETTPSWAP_REG_INT_REG_INT_REG,1,call-window-preparation,LOAD_REG_INT;SETTP_REG_INT;SWAP_REG_REG,3,sequential,call-setup,exact-effects,normal,rxas-backstop,set-int-status-and-swap,56274,112548,0,0.000000,839935,14.925809,50.259055,2828278.069,-1988343.069,-70.302248,10.504719,10.668843,81.773212,25.594652,4601705.723,1440313.448,-3161392.275,-68.700444,1218862209,-2593.724091,0.068911,3,1,indicated-saving,1000+,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,SWAPSETTP_REG_REG_REG_INT,1,call-window-preparation,SWAP_REG_REG;SETTP_REG_INT,2,sequential,call-setup,exact-effects,normal,rxas-backstop,inline-swap-and-status,2,2,0,0.000000,2125,1062.500000,37.427589,74.855,2050.145,2738.814959,10.504719,10.668843,58.437027,1073.168843,116.874,2146.338,2029.464,1736.453527,1218862209,1.665048,0.000174,2,0,possible-slowdown,1-99,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,SWAPSETTPSWAP_REG_REG_REG_INT_REG,1,call-window-preparation,SWAP_REG_REG;SETTP_REG_INT;SWAP_REG_REG,3,sequential,call-setup,exact-effects,normal,rxas-backstop,inline-swaps-and-status,0,0,0,0.000000,0,0.000000,62.058008,0.000,0.000,-100.000000,10.504719,10.668843,93.572165,10.668843,0.000,0.000,0.000,-88.598273,1218862209,0.000000,0.000000,3,0,inactive,zero,complete,,41,17746147,16220865,no-compiler-temporary-output
rxvm,SETTPSWAPSETTP_REG_INT_REG_REG,1,call-window-preparation,SETTP_REG_INT;SWAP_REG_REG;SETTP_REG_INT,3,sequential,call-setup,exact-effects,normal,rxas-backstop,inline-status-and-swap,0,0,0,0.000000,0,0.000000,50.224759,0.000,0.000,-100.000000,10.504719,10.668843,81.738916,10.668843,0.000,0.000,0.000,-86.947658,1218862209,0.000000,0.000000,3,0,inactive,zero,complete,,41,17746147,16220865,no-compiler-temporary-output
