benchmark,vm,mode,lifecycle,phase,sequence,elapsed_ns,platform,crexx_version
sieve,rxvm,opt,process,warmup,1,24016000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,warmup,2,23680000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,1,23199000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,2,24012000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,3,23132000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,4,23105000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,5,22787000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,6,23299000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,7,23357000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,8,23054000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,9,23624000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
sieve,rxvm,opt,process,recorded,10,23188000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,warmup,1,97685000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,warmup,2,95969000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,1,98491000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,2,94854000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,3,97620000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,4,97581000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,5,104326000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,6,142974000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,7,113446000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,8,105104000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,9,96632000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
permute,rxvm,opt,process,recorded,10,97267000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,warmup,1,187512000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,warmup,2,184163000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,1,186183000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,2,185150000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,3,184900000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,4,183937000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,5,186411000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,6,183854000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,7,185886000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,8,185040000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,9,186675000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
mandelbrot,rxvm,opt,process,recorded,10,185810000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,warmup,1,687569000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,warmup,2,685225000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,1,726378000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,2,764305000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,3,714401000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,4,687535000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,5,684764000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,6,685588000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,7,693582000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,8,685343000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,9,685761000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
towers,rxvm,opt,process,recorded,10,689013000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,warmup,1,11503485000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,warmup,2,11474847000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,recorded,1,11481296000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,recorded,2,11536269000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,recorded,3,11611681000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,recorded,4,11997903000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,recorded,5,12655478000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,recorded,6,12809908000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,recorded,7,12969407000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,recorded,8,13421279000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,recorded,9,13299693000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
rexxcps,rxvm,opt,process,recorded,10,13408249000,os=macos,macOS 64 crexx-1.0.0-beta.3+local.g44dd4dbf3da6.dirty 20260715
