workload,runtime,variant,lifecycle,phase,sequence,elapsed_ns,exit_code,correctness,benchmark_metric,benchmark_unit
crexxrag_sha256_4096x10000,rxbvm,production-append,steady-state-kernel,recorded,1,116680000,0,pass,93685,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
crexxrag_sha256_4096x10000,rxbvm,production-append,steady-state-kernel,recorded,2,108940000,0,pass,95446,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
crexxrag_sha256_4096x10000,rxbvm,production-append,steady-state-kernel,recorded,3,116339000,0,pass,91435,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
crexxrag_sha256_4096x10000,rxbvm,production-append,steady-state-kernel,recorded,4,113995000,0,pass,92814,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
crexxrag_sha256_4096x10000,rxbvm,production-append,steady-state-kernel,recorded,5,113659000,0,pass,93749,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
crexxrag_sha256_4096x10000,rxbvm,production-append,steady-state-kernel,recorded,6,120665000,0,pass,95997,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
crexxrag_sha256_4096x10000,rxbvm,production-append,steady-state-kernel,recorded,7,110876000,0,pass,93639,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
crexxrag_sha256_4096x10000,rxbvm,production-append,steady-state-kernel,recorded,8,117551000,0,pass,91674,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
crexxrag_sha256_4096x10000,rxbvm,production-append,steady-state-kernel,recorded,9,117866000,0,pass,93949,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
crexxrag_sha256_4096x10000,rxbvm,production-append,steady-state-kernel,recorded,10,117404000,0,pass,97477,digest=D41D438C379110C7F7B2C561B1F04F26C1B4549110791F8E022F48974280C13E
