comparison,workload,crexx_cell,reference_cell,ratio_higher_is_better
rxvm/oorexx,Sieve,sieve-rxvm,sieve-oorexx,6.516121
rxvm/netrexx,Sieve,sieve-rxvm,sieve-netrexx,1.754652
rxbvm/oorexx,Sieve,sieve-rxbvm,sieve-oorexx,6.124168
rxbvm/netrexx,Sieve,sieve-rxbvm,sieve-netrexx,1.649107
rxvm/oorexx,Permute,permute-rxvm,permute-oorexx,7.405386
rxvm/netrexx,Permute,permute-rxvm,permute-netrexx,0.499471
rxbvm/oorexx,Permute,permute-rxbvm,permute-oorexx,7.352688
rxbvm/netrexx,Permute,permute-rxbvm,permute-netrexx,0.495916
rxvm/oorexx,Bounce,bounce-rxvm,bounce-oorexx,3.371172
rxvm/netrexx,Bounce,bounce-rxvm,bounce-netrexx,1.511862
rxbvm/oorexx,Bounce,bounce-rxbvm,bounce-oorexx,3.486335
rxbvm/netrexx,Bounce,bounce-rxbvm,bounce-netrexx,1.563509
rxvm/oorexx,Richards,richards-rxvm,richards-oorexx,0.568085
rxvm/netrexx,Richards,richards-rxvm,richards-netrexx,0.357265
rxbvm/oorexx,Richards,richards-rxbvm,richards-oorexx,0.570686
rxbvm/netrexx,Richards,richards-rxbvm,richards-netrexx,0.358901
rxvm/oorexx,Base64,base64-rxvm,base64-oorexx,0.819304
rxvm/netrexx,Base64,base64-rxvm,base64-netrexx,0.953328
rxbvm/oorexx,Base64,base64-rxbvm,base64-oorexx,0.845634
rxbvm/netrexx,Base64,base64-rxbvm,base64-netrexx,0.983966
