pair,baseline_entry,candidate_entry,baseline_mode,candidate_mode,baseline_median_ns,candidate_median_ns,delta_ns,delta_percent
List-stripped-repeat,list-stripped-baseline-repeat,list-stripped-candidate-repeat,opt-stripped-baseline-second,opt-stripped-candidate-first,263453000,273951000,10498000,3.985
JSON-stripped-repeat,json-stripped-baseline-repeat,json-stripped-candidate-repeat,opt-stripped-baseline-second,opt-stripped-candidate-first,352745000,383215000,30470000,8.638
