entry,name,value
list-stripped-candidate-repeat,schema_version,5
list-stripped-candidate-repeat,vm_mode,rxvm
list-stripped-candidate-repeat,result,0
list-stripped-candidate-repeat,timer_read_min_ns,41
list-stripped-candidate-repeat,timer_zero_deltas,739
list-stripped-candidate-repeat,interrupt_polls,85994333
list-stripped-candidate-repeat,invalid_events,0
list-stripped-candidate-repeat,counter_overflow,0
list-stripped-candidate-repeat,procedure_tracking_unavailable,0
list-stripped-candidate-repeat,allocation_tracking_unavailable,0
list-stripped-candidate-repeat,census_tracking_unavailable,0
list-stripped-candidate-repeat,metadata_tracking_unavailable,0
list-stripped-baseline-repeat,schema_version,5
list-stripped-baseline-repeat,vm_mode,rxvm
list-stripped-baseline-repeat,result,0
list-stripped-baseline-repeat,timer_read_min_ns,41
list-stripped-baseline-repeat,timer_zero_deltas,801
list-stripped-baseline-repeat,interrupt_polls,85994333
list-stripped-baseline-repeat,invalid_events,0
list-stripped-baseline-repeat,counter_overflow,0
list-stripped-baseline-repeat,procedure_tracking_unavailable,0
list-stripped-baseline-repeat,allocation_tracking_unavailable,0
list-stripped-baseline-repeat,census_tracking_unavailable,0
list-stripped-baseline-repeat,metadata_tracking_unavailable,0
json-stripped-candidate-repeat,schema_version,5
json-stripped-candidate-repeat,vm_mode,rxvm
json-stripped-candidate-repeat,result,0
json-stripped-candidate-repeat,timer_read_min_ns,41
json-stripped-candidate-repeat,timer_zero_deltas,673
json-stripped-candidate-repeat,interrupt_polls,145210032
json-stripped-candidate-repeat,invalid_events,0
json-stripped-candidate-repeat,counter_overflow,0
json-stripped-candidate-repeat,procedure_tracking_unavailable,0
json-stripped-candidate-repeat,allocation_tracking_unavailable,0
json-stripped-candidate-repeat,census_tracking_unavailable,0
json-stripped-candidate-repeat,metadata_tracking_unavailable,0
json-stripped-baseline-repeat,schema_version,5
json-stripped-baseline-repeat,vm_mode,rxvm
json-stripped-baseline-repeat,result,0
json-stripped-baseline-repeat,timer_read_min_ns,41
json-stripped-baseline-repeat,timer_zero_deltas,732
json-stripped-baseline-repeat,interrupt_polls,145210032
json-stripped-baseline-repeat,invalid_events,0
json-stripped-baseline-repeat,counter_overflow,0
json-stripped-baseline-repeat,procedure_tracking_unavailable,0
json-stripped-baseline-repeat,allocation_tracking_unavailable,0
json-stripped-baseline-repeat,census_tracking_unavailable,0
json-stripped-baseline-repeat,metadata_tracking_unavailable,0
