rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
131,500,1,1,6,candidate,"IGT_REG_REG_REG(r1,r2,r3) | BRT_ID_REG(c1,r1) | SETTP_REG_INT(r4,c2)","r1=R8;r2=R9;r3=R5;c1=label@94;r4=R4;c2=int:256","benchmark_base64_roundtrip_noopt",69
132,500,1,1,6,candidate,"IMULT_REG_REG_INT(r1,r1,c1) | ISUB_REG_REG_REG(r2,r1,r3) | LOAD_REG_INT(r4,c2)","r1=R13;c1=int:3;r2=R4;r3=R6;r4=R11;c2=int:2","benchmark_base64_roundtrip_noopt",678
133,500,1,1,6,candidate,"IMULT_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c2) | SWAP_REG_REG(r2,r4)","r1=R2;r2=R8;c1=int:4;r3=R7;c2=int:2;r4=R6","benchmark_base64_roundtrip_noopt",349
134,500,1,1,6,candidate,"ISUB_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c1) | LOAD_REG_INT(r4,c2)","r1=R11;r2=R2;c1=int:1;r3=R12;r4=R9;c2=int:4","benchmark_base64_roundtrip_noopt",635
135,500,1,1,7,candidate,"ISUB_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1) | SWAP_REG_REG(r5,r6)","r1=R4;r2=R13;r3=R6;r4=R11;c1=int:2;r5=R12;r6=R7","benchmark_base64_roundtrip_noopt",682
136,500,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | BSETU8_REG_REG_REG(r2,r3,r1) | IADD_REG_REG_INT(r4,r4,c2)","r1=R17;c1=int:61;r2=R6;r3=R18;r4=R4;c2=int:3","benchmark_base64_roundtrip_noopt",545
137,500,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | BSETU8_REG_REG_REG(r2,r3,r1) | IGT_REG_REG_INT(r1,r4,c2)","r1=R21;c1=int:61;r2=R6;r3=R20;r4=R15;c2=int:2","benchmark_base64_roundtrip_noopt",513
138,500,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | ILTE_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2)","r1=R5;c1=int:0;r2=R15;r3=R3;r4=R2;c2=label@1001","benchmark_base64_roundtrip_noopt",707
139,500,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | ILT_REG_REG_REG(r2,r3,r4) | BRF_ID_REG(c2,r2)","r1=R5;c1=int:0;r2=R16;r3=R4;r4=R3;c2=label@562","benchmark_base64_roundtrip_noopt",374
140,500,1,1,5,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c1) | ILT_REG_REG_REG(r3,r1,r4)","r1=R4;c1=int:0;r2=R5;r3=R16;r4=R3","benchmark_base64_roundtrip_noopt",371
141,500,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | ILTE_REG_REG_REG(r3,r1,r4)","r1=R3;c1=int:1;r2=R5;c2=int:0;r3=R15;r4=R2","benchmark_base64_roundtrip_noopt",704
142,500,1,1,6,candidate,"LOAD_REG_INT(r1,c1) | LOAD_REG_INT(r2,c2) | LOAD_REG_INT(r3,c3)","r1=R6;c1=int:0;r2=R11;c2=int:1;r3=R8;c3=int:4","benchmark_base64_roundtrip_noopt",591
143,500,1,1,9,candidate,"LOAD_REG_STRING(r1,c1) | LOAD_REG_INT(r2,c2) | SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG(r3,c3,r2,r4,c4,r5)","r1=R0;c1=string@15312;r2=R8;c2=int:1;r3=R2;c3=func@6288;r4=R25;c4=int:256;r5=R9","benchmark_base64_roundtrip_noopt",575
144,500,1,1,3,candidate,"LOAD_REG_STRING(r1,c1) | SCOPY_REG_REG(r2,r1) | STOBIN_REG(r2)","r1=R7;c1=string@15312;r2=R0","benchmark_base64_roundtrip_noopt",320
145,500,1,1,5,candidate,"NULL_REG(r1) | LOAD_REG_STRING(r2,c1) | LOAD_REG_INT(r3,c2)","r1=R7;r2=R0;c1=string@15312;r3=R8;c2=int:1","benchmark_base64_roundtrip_noopt",573
146,500,1,1,4,candidate,"NULL_REG(r1) | LOAD_REG_STRING(r2,c1) | SCOPY_REG_REG(r3,r2)","r1=R6;r2=R7;c1=string@15312;r3=R0","benchmark_base64_roundtrip_noopt",318
147,500,1,1,5,candidate,"REQ_REG_REG_STRING(r1,r1,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r2,r2,c3)","r1=R13;c1=string@34032;c2=label@635;r2=R6;c3=int:1","benchmark_base64_roundtrip_noopt",624
148,500,1,1,6,candidate,"REQ_REG_REG_STRING(r1,r2,c1) | BRF_ID_REG(c2,r1) | IADD_REG_REG_INT(r3,r3,c3)","r1=R13;r2=R8;c1=string@34032;c2=label@674;r3=R6;c3=int:1","benchmark_base64_roundtrip_noopt",663
149,500,1,1,3,candidate,"SCOPY_REG_REG(r1,r2) | STOBIN_REG(r1) | LOAD_REG_INT(r2,c1)","r1=R0;r2=R7;c1=int:1","benchmark_base64_roundtrip_noopt",323
150,500,1,1,8,candidate,"STOBIN_REG(r1) | LOAD_REG_INT(r2,c1) | SETTPSWAPCALL_REG_FUNC_REG_REG_INT_REG(r3,c2,r2,r4,c3,r5)","r1=R0;r2=R7;c1=int:1;r3=R3;c2=func@15992;r4=R23;c3=int:256;r5=R8","benchmark_base64_roundtrip_noopt",326
151,500,1,1,5,candidate,"SWAP_REG_REG(r1,r2) | IADD_REG_REG_INT(r2,r3,c1) | IDIV_REG_REG_INT(r2,r2,c2)","r1=R23;r2=R8;r3=R3;c1=int:2;c2=int:3","benchmark_base64_roundtrip_noopt",338
152,500,1,1,5,candidate,"SWAP_REG_REG(r1,r2) | REQ_REG_REG_STRING(r3,r3,c1) | BRF_ID_REG(c2,r3)","r1=R2;r2=R10;r3=R13;c1=string@34032;c2=label@635","benchmark_base64_roundtrip_noopt",621
153,500,1,1,6,candidate,"SWAP_REG_REG(r1,r2) | REQ_REG_REG_STRING(r3,r4,c1) | BRF_ID_REG(c2,r3)","r1=R25;r2=R10;r3=R13;r4=R8;c1=string@34032;c2=label@674","benchmark_base64_roundtrip_noopt",660
154,500,1,1,6,candidate,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | REQ_REG_REG_STRING(r5,r5,c1)","r1=R25;r2=R9;r3=R2;r4=R10;r5=R13;c1=string@34032","benchmark_base64_roundtrip_noopt",618
155,2,2,1,5,candidate,"SWAP_REG_REG(r1,r2) | INE_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R3;r2=R9;r3=R7;c1=int:1368;c2=label@142","benchmark_base64_roundtrip_noopt",104
