rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,2014400,12,1,8,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2) | IADD_REG_REG_INT(r3,r4,c3) | LINKATTR1_REG_REG_REG(r5,r1,r3)","r1=R21;r2=R17;c1=int:2;c2=int:6;r3=R22;r4=R15;c3=int:1;r5=R20","benchmark_awfy_permute_opt",210
2,1007200,6,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | ICOPY_REG_REG(r5,r3) | UNLINK_REG(r3)","r1=R22;r2=R15;c1=int:1;r3=R20;r4=R21;r5=R19","benchmark_awfy_permute_opt",217
3,1007200,6,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1) | UNLINK_REG(r1) | UNLINK_REG(r2)","r1=R20;r2=R21;r3=R22;r4=R19","benchmark_awfy_permute_opt",221
4,1007200,6,1,7,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2) | ICOPY_REG_REG(r5,r4)","r1=R21;c1=int:6;r2=R22;r3=R15;c2=int:1;r4=R20;r5=R19","benchmark_awfy_permute_opt",214
5,503900,4,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | ICOPY_REG_REG(r3,r5) | UNLINK_REG(r3)","r1=R21;r2=R15;c1=int:1;r3=R22;r4=R20;r5=R16","benchmark_awfy_permute_opt",243
6,503900,4,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | UNLINK_REG(r3) | COPY_REG_REG(r4,r5)","r1=R22;r2=R16;r3=R20;r4=R11;r5=R17","benchmark_awfy_permute_opt",251
7,503900,4,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | UNLINK_REG(r3) | UNLINK_REG(r1)","r1=R19;r2=R20;r3=R21","benchmark_awfy_permute_opt",225
8,503900,4,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r1,r4) | UNLINK_REG(r1) | UNLINK_REG(r2)","r1=R22;r2=R20;r3=R21;r4=R16","benchmark_awfy_permute_opt",247
9,503900,4,1,7,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2) | ICOPY_REG_REG(r4,r5)","r1=R20;c1=int:6;r2=R21;r3=R15;c2=int:1;r4=R22;r5=R16","benchmark_awfy_permute_opt",240
10,503900,4,1,8,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | SETATTRS_REG_INT(r2,c2) | IADD_REG_REG_INT(r4,r5,c3)","r1=R18;r2=R20;r3=R17;c1=int:2;c2=int:6;r4=R21;r5=R15;c3=int:1","benchmark_awfy_permute_opt",234
11,503900,4,1,6,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | SETATTRS_REG_INT(r3,c2)","r1=R19;r2=R18;r3=R20;r4=R17;c1=int:2;c2=int:6","benchmark_awfy_permute_opt",232
12,503900,4,1,6,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | UNLINK_REG(r3) | LINKATTR1_REG_REG_INT(r4,r5,c1)","r1=R21;r2=R19;r3=R18;r4=R20;r5=R17;c1=int:2","benchmark_awfy_permute_opt",230
13,503900,4,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | UNLINK_REG(r3) | UNLINK_REG(r4)","r1=R20;r2=R21;r3=R19;r4=R18","benchmark_awfy_permute_opt",228
14,503300,2,1,8,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | ICOPY_REG_REG(r5,r6) | LINKATTR1_REG_REG_INT(r7,r1,c1)","r1=R12;r2=R28;r3=R9;r4=R3;r5=R10;r6=R7;r7=R14;c1=int:2","benchmark_awfy_permute_opt",850
15,503300,2,1,9,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | LINKATTR1_REG_REG_INT(r5,r6,c2) | SETATTRS_REG_INT(r5,c3)","r1=R14;r2=R9;c1=int:1;r3=R15;r4=R13;r5=R17;r6=R12;c2=int:2;c3=int:6","benchmark_awfy_permute_opt",888
16,503300,2,1,8,over_3_symbols,"ICOPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r6,c1) | SETATTRS_REG_INT(r5,c2)","r1=R9;r2=R3;r3=R10;r4=R7;r5=R14;r6=R12;c1=int:2;c2=int:6","benchmark_awfy_permute_opt",853
17,503300,2,1,9,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | SETATTRS_REG_INT(r3,c2) | IADD_REG_REG_INT(r5,r6,c3)","r1=R10;r2=R7;r3=R14;r4=R12;c1=int:2;c2=int:6;r5=R15;r6=R9;c3=int:1","benchmark_awfy_permute_opt",856
18,503300,2,1,10,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LINKATTR1_REG_REG_INT(r4,r5,c1) | SETATTRS_REG_INT(r4,c2) | IADD_REG_REG_INT(r6,r7,c3)","r1=R15;r2=R13;r3=R14;r4=R17;r5=R12;c1=int:2;c2=int:6;r6=R18;r7=R10;c3=int:1","benchmark_awfy_permute_opt",892
19,503300,2,1,9,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2) | LINKATTR1_REG_REG_INT(r5,r6,c3)","r1=R13;c1=int:6;r2=R14;r3=R9;c2=int:1;r4=R15;r5=R17;r6=R12;c3=int:2","benchmark_awfy_permute_opt",885
20,433000,2,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | ICOPY_REG_REG(r3,r1)","r1=R12;r2=R7;c1=int:1;r3=R8;r4=R11","benchmark_awfy_permute_opt",125
21,433000,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IADD_REG_REG_INT(r3,r1,c1) | UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r4,r2,c1)","r1=R7;r2=R11;c1=int:1;r3=R12;r4=R8","benchmark_awfy_permute_opt",121
22,433000,2,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r2,r4) | UNLINK_REG(r2)","r1=R7;r2=R8;r3=R11;c1=int:1;r4=R12","benchmark_awfy_permute_opt",129
23,432951,2,1,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_permute_opt",0
24,432951,2,1,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2) | SETNUMSTD_INT(c2)","c1=int:0;c2=int:1","benchmark_awfy_permute_opt",2
25,432950,1,1,4,over_3_symbols,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","r1=R28;c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_permute_opt",770
26,432950,1,1,5,over_3_symbols,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | INE_REG_REG_INT(r2,r3,c1) | BRF_ID_REG(c2,r2)","r1=R2;r2=R4;r3=R29;c1=int:0;c2=label@1076","benchmark_awfy_permute_opt",796
27,432950,1,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | INE_REG_REG_INT(r3,r4,c2)","r1=R2;r2=R28;c1=int:1;r3=R4;r4=R29;c2=int:0","benchmark_awfy_permute_opt",792
