-- Install configuration: "Release"
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/share/crexx/messages
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/share/crexx/messages/diagnostics.en_GB.msg
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/share/crexx/messages/diagnostics.nl_NL.msg
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/share/crexx/messages/diagnostics.de_DE.msg
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/share/crexx/messages/diagnostics.en_US.msg
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/include/crexx_version.h
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/./VERSION
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/./BUILDINFO
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/bin/libcrexxsaa.dylib
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/include/crexxsaa.h
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/bin/crexxsaa
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/bin/maclib.rexx
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/bin/macsys.rexx
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/bin/mathlib.rexx
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/bin/syslib.rexx
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/bin/rxpp-sh
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/examples/functions/array-formatting/arrayformatdemo.rxbin
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/examples/exits/pprint/pprint_example.rxbin
-- Up-to-date: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/examples
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/examples/hello.dSYM
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/examples/hello.dSYM/Contents
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/examples/hello.dSYM/Contents/Resources
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/examples/hello.dSYM/Contents/Resources/Relocations
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/examples/hello.dSYM/Contents/Resources/Relocations/aarch64
-- Installing: /Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/qa-closeout/install-prefix/examples/hello.dSYM/Contents/Resources/DWARF
