rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
219,200,1,1,1,candidate,"BPOFF() | BR_ID(c1)","c1=label@427","benchmark_rexxcps_levelb_opt",397
220,200,1,1,2,candidate,"BPOFF() | LOAD_REG_INT(r1,c1)","r1=R93;c1=int:0","benchmark_rexxcps_levelb_opt",991
221,200,1,1,0,candidate,"BPOFF() | RET()","","trace",9677
222,200,1,1,2,candidate,"BRF_ID_REG(c1,r1) | BPOFF()","c1=label@400;r1=R38","benchmark_rexxcps_levelb_opt",394
223,200,1,1,3,candidate,"BRF_ID_REG(c1,r1) | RET_INT(c2)","c1=label@10033;r1=R0;c2=int:0","trace",10028
224,200,1,1,2,candidate,"FADD_REG_REG_REG(r1,r2,r1) | BPOFF()","r1=R22;r2=R93","benchmark_rexxcps_levelb_opt",987
225,200,1,1,2,candidate,"LOAD_REG_INT(r1,c1) | BPOFF()","r1=R24;c1=int:0","trace",9674
226,200,1,1,2,candidate,"LOAD_REG_STRING(r1,c1) | RET()","r1=R2;c1=string@464","benchmark_rexxcps_levelb_opt",3994
227,200,1,1,4,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | BEQ_ID_REG_INT(c3,r1,c2)","c1=int:18;c2=int:1;c3=label@10024;r1=R10","trace",10014
228,200,1,1,4,candidate,"NUMSCI_INT_INT_INT(c1,c2,c2) | SETTP_REG_INT(r1,c3)","c1=int:18;c2=int:1;r1=R14;c3=int:256","trace",14431
229,200,1,1,5,candidate,"NUMSCI_INT_INT_INT(c1,c2,c3) | LOAD_REG_STRING(r1,c4)","c1=int:18;c2=int:1;c3=int:2;r1=R0;c4=string@464","benchmark_rexxcps_levelb_opt",3987
230,200,1,1,3,candidate,"UNLINK_REG(r1) | REQ_REG_REG_STRING(r1,r2,c1)","r1=R5;r2=R2;c1=string@1526048","trace",9665
231,121,2,2,3,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2)","r1=R15;c1=label@83;r2=R13","benchmark_rexxcps_levelb_opt",66
232,120,1,1,6,candidate,"BRT_ID_REG(c1,r1) | MINLINKATTR1_REG_REG_REG_INT(r2,r3,r4,c2)","c1=label@4766;r1=R18;r2=R17;r3=R20;r4=R19;c2=int:0","trace",4738
233,120,1,1,6,candidate,"MINLINKATTR1_REG_REG_REG_INT(r1,r2,r3,c1) | REQ_REG_REG_REG(r4,r1,r5)","r1=R17;r2=R20;r3=R19;c1=int:0;r4=R16;r5=R21","trace",4741
234,120,1,1,3,candidate,"REQ_REG_REG_REG(r1,r2,r3) | UNLINK_REG(r2)","r1=R16;r2=R17;r3=R21","trace",4746
