rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,385000,5,1,7,candidate,"PARSEWORDS3_REG_REG_REG_REG(r1,r2,r3,r4) | SCOPY_REG_REG(r5,r1) | SCOPY_REG_REG(r6,r2) | SCOPY_REG_REG(r7,r3)","r1=R11;r2=R5;r3=R42;r4=R47;r5=R52;r6=R40;r7=R56","benchmark_rexxcps_levelb_opt",891
2,385000,5,1,7,candidate,"SCOPY_REG_REG(r1,r2) | PARSEWORDS3_REG_REG_REG_REG(r3,r4,r5,r1) | SCOPY_REG_REG(r6,r3) | SCOPY_REG_REG(r7,r4)","r1=R47;r2=R60;r3=R11;r4=R5;r5=R42;r6=R52;r7=R40","benchmark_rexxcps_levelb_opt",888
3,308000,2,1,5,candidate,"CONCAT_REG_STRING_REG(r1,c1,r2) | STEMGET_REG_REG_REG(r3,r4,r1) | SCOPY_REG_REG(r1,r3) | STOD_REG(r1)","r1=R72;c1=string@34184;r2=R51;r3=R65;r4=R4","benchmark_rexxcps_levelb_opt",538
4,308000,2,1,5,candidate,"ITOS_REG(r1) | CONCAT_REG_STRING_REG(r2,c1,r1) | STEMGET_REG_REG_REG(r3,r4,r2) | SCOPY_REG_REG(r2,r3)","r1=R51;r2=R72;c1=string@34184;r3=R65;r4=R4","benchmark_rexxcps_levelb_opt",536
5,308000,4,1,7,candidate,"LOAD_REG_STRING(r1,c1) | SCOPY_REG_REG(r2,r1) | PARSEWORDS3_REG_REG_REG_REG(r3,r4,r5,r2) | SCOPY_REG_REG(r6,r3)","r1=R60;c1=string@51272;r2=R47;r3=R11;r4=R5;r5=R42;r6=R52","benchmark_rexxcps_levelb_opt",885
6,231000,3,1,8,candidate,"SCOPY_REG_REG(r1,r2) | LOAD_REG_STRING(r3,c1) | SCOPY_REG_REG(r4,r3) | PARSEWORDS3_REG_REG_REG_REG(r5,r6,r7,r4)","r1=R56;r2=R42;r3=R60;c1=string@53696;r4=R48;r5=R10;r6=R3;r7=R43","benchmark_rexxcps_levelb_opt",902
7,231000,3,1,7,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | LOAD_REG_STRING(r5,c1) | SCOPY_REG_REG(r6,r5)","r1=R40;r2=R5;r3=R56;r4=R42;r5=R60;c1=string@53696;r6=R48","benchmark_rexxcps_levelb_opt",899
8,231000,3,1,8,candidate,"SCOPY_REG_REG(r1,r2) | SCOPY_REG_REG(r3,r4) | SCOPY_REG_REG(r5,r6) | LOAD_REG_STRING(r7,c1)","r1=R52;r2=R11;r3=R40;r4=R5;r5=R56;r6=R42;r7=R60;c1=string@53696","benchmark_rexxcps_levelb_opt",896
9,154000,1,1,5,candidate,"BRF_ID_REG(c1,r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c2,r2) | ITOS_REG(r2)","c1=label@649;r1=R72;r2=R51;r3=R75;c2=string@34184","benchmark_rexxcps_levelb_opt",601
10,154000,1,1,7,candidate,"BRT_ID_REG(c1,r1) | ITOS_REG(r2) | CONCAT_REG_STRING_REG(r3,c2,r2) | STEMGET_REG_REG_REG(r4,r5,r3)","c1=label@655;r1=R67;r2=R51;r3=R72;c2=string@34184;r4=R65;r5=R4","benchmark_rexxcps_levelb_opt",533
11,154000,2,1,7,candidate,"CONCAT_REG_REG_STRING(r1,r2,c1) | CONCAT_REG_REG_STRING(r3,r1,c2) | STEMGET_REG_REG_REG(r1,r4,r3) | REQ_REG_REG_STRING(r3,r1,c3)","r1=R76;r2=R41;c1=string@42360;r3=R81;c2=string@17440;r4=R8;c3=string@1272","benchmark_rexxcps_levelb_opt",675
