rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,769814,41,1,8,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2) | IADD_REG_REG_INT(r3,r4,c3) | LINKATTR1_REG_REG_REG(r5,r1,r3)","r1=R8;r2=R12;c1=int:21;c2=int:6;r3=R9;r4=R13;c3=int:1;r5=R7","benchmark_awfy_richards_noopt",931
2,469639,24,1,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3) | SETNUMCAS_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_richards_noopt",0
3,469639,24,1,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2) | SETNUMSTD_INT(c2)","c1=int:0;c2=int:1","benchmark_awfy_richards_noopt",2
4,469637,22,1,4,over_3_symbols,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","r1=R17;c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_richards_noopt",386
5,417083,26,1,7,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2) | SWAP_REG_REG(r4,r5)","r1=R5;c1=int:4;r2=R17;c2=int:256;r3=R6;r4=R7;r5=R0","benchmark_awfy_richards_noopt",463
6,322582,15,1,8,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SWAP_REG_REG(r3,r4) | CALL_REG_FUNC_REG(r5,c2,r6)","r1=R17;c1=int:256;r2=R3;r3=R6;r4=R0;r5=R11;c2=func@20104;r6=R2","benchmark_awfy_richards_noopt",503
7,304812,15,1,4,over_3_symbols,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2)","c1=int:1;r1=R1;r2=R3;c2=int:18","benchmark_awfy_richards_noopt",889
8,290777,4,1,7,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2) | BRF_ID_REG(c3,r4)","r1=R3;c1=int:6;r2=R4;r3=R8;c2=int:1;r4=R2;c3=label@1659","benchmark_awfy_richards_noopt",1640
9,245462,13,1,7,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2) | IADD_REG_REG_INT(r3,r4,c3)","r1=R8;r2=R12;c1=int:24;c2=int:6;r3=R9;r4=R13;c3=int:1","benchmark_awfy_richards_noopt",957
10,245462,13,1,5,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r2,r3,c1) | SETATTRS_REG_INT(r2,c2)","r1=R7;r2=R8;r3=R12;c1=int:24;c2=int:6","benchmark_awfy_richards_noopt",955
11,218896,6,1,5,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2) | SETATTRS_REG_INT(r1,c3)","c1=int:1;r1=R8;r2=R12;c2=int:21;c3=int:6","benchmark_awfy_richards_noopt",927
12,218896,6,1,7,over_3_symbols,"SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2) | SETATTRS_REG_INT(r1,c3) | IADD_REG_REG_INT(r3,r4,c1)","c1=int:1;r1=R8;r2=R12;c2=int:21;c3=int:6;r3=R9;r4=R13","benchmark_awfy_richards_noopt",929
13,182074,19,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2) | UNLINK_REG(r3)","r1=R7;c1=int:0;r2=R5;r3=R4","benchmark_awfy_richards_noopt",1203
14,172394,2,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | LOAD_REG_INT(r3,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r4,r2)","r1=R6;r2=R13;c1=int:2;r3=R3;c2=int:256;r4=R4","benchmark_awfy_richards_noopt",4163
15,165076,5,1,5,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | UNLINK_REG(r2) | UNLINK_REG(r3) | BRF_ID_REG(c2,r1)","r1=R5;r2=R2;c1=int:0;r3=R3;c2=label@1767","benchmark_awfy_richards_noopt",1751
16,163476,9,1,5,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1) | ICOPY_REG_REG(r2,r4) | UNLINK_REG(r2)","r1=R8;r2=R10;r3=R12;c1=int:22;r4=R13","benchmark_awfy_richards_noopt",1067
17,158027,14,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | ICOPY_REG_REG(r4,r1) | UNLINK_REG(r1) | UNLINK_REG(r2)","r1=R7;r2=R6;r3=R1;r4=R0","benchmark_awfy_richards_noopt",1385
18,149489,12,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | LOAD_REG_INT(r4,c1) | ICOPY_REG_REG(r1,r4) | UNLINK_REG(r1)","r1=R5;r2=R6;r3=R10;r4=R7;c1=int:0","benchmark_awfy_richards_noopt",1351
19,106953,2,1,4,over_3_symbols,"BTOI_REG(r1) | IEQ_REG_REG_INT(r2,r1,c1) | UNLINK_REG(r1) | UNLINK_REG(r3)","r1=R2;r2=R5;c1=int:0;r3=R3","benchmark_awfy_richards_noopt",1749
20,106953,2,1,7,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | BTOI_REG(r3) | IEQ_REG_REG_INT(r5,r3,c2)","r1=R4;r2=R9;c1=int:1;r3=R2;r4=R3;r5=R5;c2=int:0","benchmark_awfy_richards_noopt",1741
21,106953,2,1,5,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | BTOI_REG(r1) | IEQ_REG_REG_INT(r4,r1,c1) | UNLINK_REG(r1)","r1=R2;r2=R3;r3=R4;r4=R5;c1=int:0","benchmark_awfy_richards_noopt",1745
22,106953,2,1,6,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2) | BTOI_REG(r4)","r1=R3;c1=int:6;r2=R4;r3=R9;c2=int:1;r4=R2","benchmark_awfy_richards_noopt",1738
23,106605,3,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1) | UNLINK_REG(r3)","r1=R1;r2=R13;c1=int:2;r3=R2","benchmark_awfy_richards_noopt",4139
24,106605,1,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | IGTE_REG_REG_INT(r3,r1,c2) | UNLINK_REG(r1) | BRF_ID_REG(c3,r3)","r1=R2;r2=R13;c1=int:2;r3=R1;c2=int:0;c3=label@4284","benchmark_awfy_richards_noopt",4150
25,106604,1,1,7,over_3_symbols,"BRF_ID_REG(c1,r1) | LINKATTR1_REG_REG_INT(r2,r3,c2) | LOAD_REG_INT(r4,c2) | SETTP_REG_INT(r3,c3)","c1=label@4284;r1=R1;r2=R6;r3=R13;c2=int:2;r4=R3;c3=int:256","benchmark_awfy_richards_noopt",4160
