rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,1191496,95,1,2,candidate,"UNLINK_REG(r1) | UNLINK_REG(r2)","r1=R10;r2=R7","benchmark_awfy_richards_noopt",953
2,1069650,66,1,4,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4)","r1=R6;r2=R17;r3=R7;r4=R0","benchmark_awfy_richards_noopt",469
3,862469,46,1,5,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1)","r1=R9;r2=R13;c1=int:1;r3=R7;r4=R8","benchmark_awfy_richards_noopt",938
4,862469,46,1,5,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2)","r1=R8;c1=int:6;r2=R9;r3=R13;c2=int:1","benchmark_awfy_richards_noopt",935
5,769814,41,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2)","r1=R8;r2=R12;c1=int:21;c2=int:6","benchmark_awfy_richards_noopt",931
6,491985,63,1,2,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1)","r1=R1;r2=R3","benchmark_awfy_richards_noopt",267
7,469639,24,1,1,candidate,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1)","c1=int:1","benchmark_awfy_richards_noopt",6
8,469639,24,1,2,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2)","c1=int:18;c2=int:0","benchmark_awfy_richards_noopt",0
9,469639,24,1,1,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1)","c1=int:1","benchmark_awfy_richards_noopt",4
10,469639,24,1,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2)","c1=int:0;c2=int:1","benchmark_awfy_richards_noopt",2
11,469637,22,1,2,candidate,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1)","r1=R17;c1=int:18","benchmark_awfy_richards_noopt",386
12,469637,45,1,4,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2)","r1=R8;c1=int:1;r2=R5;c2=int:256","benchmark_awfy_richards_noopt",95
13,469637,45,1,3,candidate,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1)","r1=R5;c1=int:256;r2=R9","benchmark_awfy_richards_noopt",98
14,469632,40,1,5,over_3_symbols,"SWAP_REG_REG(r1,r2) | CALL_REG_FUNC_REG(r3,c1,r4)","r1=R9;r2=R5;r3=R6;c1=func@10104;r4=R8","benchmark_awfy_richards_noopt",101
15,424680,14,1,3,candidate,"UNLINK_REG(r1) | BRF_ID_REG(c1,r2)","r1=R9;c1=label@860;r2=R8","benchmark_awfy_richards_noopt",850
16,396914,25,1,4,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R8;r2=R10;r3=R12;c1=int:22","benchmark_awfy_richards_noopt",1067
17,329389,17,1,4,over_3_symbols,"IEQ_REG_REG_INT(r1,r2,c1) | BRF_ID_REG(c2,r1)","r1=R9;r2=R6;c1=int:0;c2=label@180","benchmark_awfy_richards_noopt",145
18,304812,15,1,4,over_3_symbols,"SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2)","c1=int:1;r1=R1;r2=R3;c2=int:18","benchmark_awfy_richards_noopt",893
19,290777,4,1,4,over_3_symbols,"LINKATTR1_REG_REG_REG(r1,r2,r3) | BRF_ID_REG(c1,r1)","r1=R2;r2=R3;r3=R4;c1=label@1659","benchmark_awfy_richards_noopt",1647
