rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,862469,46,1,6,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2)","r1=R8;c1=int:6;r2=R9;r3=R13;c2=int:1;r4=R7","benchmark_awfy_richards_noopt",935
2,769814,41,1,7,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2) | IADD_REG_REG_INT(r3,r4,c3)","r1=R8;r2=R12;c1=int:21;c2=int:6;r3=R9;r4=R13;c3=int:1","benchmark_awfy_richards_noopt",931
3,469639,24,1,3,candidate,"SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2) | SETNUMFRM_INT(c3)","c1=int:18;c2=int:0;c3=int:1","benchmark_awfy_richards_noopt",0
4,469639,24,1,1,candidate,"SETNUMFRM_INT(c1) | SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1)","c1=int:1","benchmark_awfy_richards_noopt",4
5,469639,24,1,2,candidate,"SETNUMFUZ_INT(c1) | SETNUMFRM_INT(c2) | SETNUMCAS_INT(c2)","c1=int:0;c2=int:1","benchmark_awfy_richards_noopt",2
6,469637,22,1,3,candidate,"ASSERTINITIALIZED_REG(r1) | SETNUMDGTS_INT(c1) | SETNUMFUZ_INT(c2)","r1=R17;c1=int:18;c2=int:0","benchmark_awfy_richards_noopt",386
7,469637,45,1,5,over_3_symbols,"LOAD_REG_INT(r1,c1) | SETTP_REG_INT(r2,c2) | SWAP_REG_REG(r3,r2)","r1=R8;c1=int:1;r2=R5;c2=int:256;r3=R9","benchmark_awfy_richards_noopt",95
8,417083,26,1,5,over_3_symbols,"SETTP_REG_INT(r1,c1) | SWAP_REG_REG(r2,r1) | SWAP_REG_REG(r3,r4)","r1=R17;c1=int:256;r2=R6;r3=R7;r4=R0","benchmark_awfy_richards_noopt",466
9,417078,21,1,7,over_3_symbols,"SWAP_REG_REG(r1,r2) | SWAP_REG_REG(r3,r4) | CALL_REG_FUNC_REG(r5,c1,r6)","r1=R3;r2=R17;r3=R6;r4=R0;r5=R11;c1=func@20104;r6=R2","benchmark_awfy_richards_noopt",506
10,304812,15,1,4,over_3_symbols,"SETNUMCAS_INT(c1) | SETNUMSTD_INT(c1) | LINKATTR1_REG_REG_INT(r1,r2,c2)","c1=int:1;r1=R1;r2=R3;c2=int:18","benchmark_awfy_richards_noopt",891
11,290777,4,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c2,r3)","r1=R4;r2=R8;c1=int:1;r3=R2;r4=R3;c2=label@1659","benchmark_awfy_richards_noopt",1643
