sequence,vm,phase,phase_sequence,source_sha256,rxas_sha256,image_sha256,library_sha256,native_cps,process_real_s,effective_count,pass,stdout,stderr
1,rxvm,warmup,1,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,868fb7fdac2b387dca9ba227d0ca949431e51ea87ebb06928e874360592ee515,b379535d9b8913da3842b1caa39089471cef276a894130e14338dfac84a26c98,300cbc91222cd4add83278b517c96b81fe44359bdbbf1b977e6e7dfd1861e027,1177753,8.51,100,1,raw/01-rxvm-warmup-1.stdout.txt,raw/01-rxvm-warmup-1.stderr.txt
2,rxvm,recorded,1,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,868fb7fdac2b387dca9ba227d0ca949431e51ea87ebb06928e874360592ee515,b379535d9b8913da3842b1caa39089471cef276a894130e14338dfac84a26c98,300cbc91222cd4add83278b517c96b81fe44359bdbbf1b977e6e7dfd1861e027,1203145,8.33,100,1,raw/02-rxvm-recorded-1.stdout.txt,raw/02-rxvm-recorded-1.stderr.txt
3,rxvm,recorded,2,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,868fb7fdac2b387dca9ba227d0ca949431e51ea87ebb06928e874360592ee515,b379535d9b8913da3842b1caa39089471cef276a894130e14338dfac84a26c98,300cbc91222cd4add83278b517c96b81fe44359bdbbf1b977e6e7dfd1861e027,1194385,8.39,100,1,raw/03-rxvm-recorded-2.stdout.txt,raw/03-rxvm-recorded-2.stderr.txt
4,rxvm,recorded,3,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,868fb7fdac2b387dca9ba227d0ca949431e51ea87ebb06928e874360592ee515,b379535d9b8913da3842b1caa39089471cef276a894130e14338dfac84a26c98,300cbc91222cd4add83278b517c96b81fe44359bdbbf1b977e6e7dfd1861e027,1213159,8.26,100,1,raw/04-rxvm-recorded-3.stdout.txt,raw/04-rxvm-recorded-3.stderr.txt
5,rxbvm,warmup,1,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,868fb7fdac2b387dca9ba227d0ca949431e51ea87ebb06928e874360592ee515,b379535d9b8913da3842b1caa39089471cef276a894130e14338dfac84a26c98,300cbc91222cd4add83278b517c96b81fe44359bdbbf1b977e6e7dfd1861e027,1190920,8.41,100,1,raw/05-rxbvm-warmup-1.stdout.txt,raw/05-rxbvm-warmup-1.stderr.txt
6,rxbvm,recorded,1,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,868fb7fdac2b387dca9ba227d0ca949431e51ea87ebb06928e874360592ee515,b379535d9b8913da3842b1caa39089471cef276a894130e14338dfac84a26c98,300cbc91222cd4add83278b517c96b81fe44359bdbbf1b977e6e7dfd1861e027,1189443,8.42,100,1,raw/06-rxbvm-recorded-1.stdout.txt,raw/06-rxbvm-recorded-1.stderr.txt
7,rxbvm,recorded,2,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,868fb7fdac2b387dca9ba227d0ca949431e51ea87ebb06928e874360592ee515,b379535d9b8913da3842b1caa39089471cef276a894130e14338dfac84a26c98,300cbc91222cd4add83278b517c96b81fe44359bdbbf1b977e6e7dfd1861e027,1183390,8.46,100,1,raw/07-rxbvm-recorded-2.stdout.txt,raw/07-rxbvm-recorded-2.stderr.txt
8,rxbvm,recorded,3,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,868fb7fdac2b387dca9ba227d0ca949431e51ea87ebb06928e874360592ee515,b379535d9b8913da3842b1caa39089471cef276a894130e14338dfac84a26c98,300cbc91222cd4add83278b517c96b81fe44359bdbbf1b977e6e7dfd1861e027,1176634,8.51,100,1,raw/08-rxbvm-recorded-3.stdout.txt,raw/08-rxbvm-recorded-3.stderr.txt
