vm,opcode,baseline_count,candidate_count,delta
rxvm,SETNUMDGTS_INT,108498,0,-108498
rxvm,SETNUMFUZ_INT,108502,4,-108498
rxvm,SETNUMFRM_INT,108498,0,-108498
rxvm,SETNUMCAS_INT,108500,2,-108498
rxvm,SETNUMSTD_INT,108502,4,-108498
rxvm,NUMSCI_INT_INT_INT,0,108498,108498
rxvm,numeric_setup_total,542500,108508,-433992
rxbvm,SETNUMDGTS_INT,108498,0,-108498
rxbvm,SETNUMFUZ_INT,108502,4,-108498
rxbvm,SETNUMFRM_INT,108498,0,-108498
rxbvm,SETNUMCAS_INT,108500,2,-108498
rxbvm,SETNUMSTD_INT,108502,4,-108498
rxbvm,NUMSCI_INT_INT_INT,0,108498,108498
rxbvm,numeric_setup_total,542500,108508,-433992
